PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM                                                                

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 9.238E+01 1.197E+01 3.758E-06 
1.500E-03 1.131E+02 1.072E+01 5.590E-06 
2.000E-03 1.306E+02 9.749E+00 7.413E-06 
2.500E-03 1.461E+02 8.967E+00 9.205E-06 
3.000E-03 1.600E+02 8.324E+00 1.096E-05 
4.000E-03 1.848E+02 7.322E+00 1.438E-05 
5.000E-03 2.066E+02 6.571E+00 1.765E-05 
6.000E-03 2.263E+02 5.982E+00 2.080E-05 
7.000E-03 2.444E+02 5.505E+00 2.384E-05 
8.000E-03 2.613E+02 5.110E+00 2.677E-05 
9.000E-03 2.771E+02 4.775E+00 2.961E-05 
1.000E-02 2.921E+02 4.488E+00 3.236E-05 
1.250E-02 3.206E+02 3.917E+00 3.895E-05 
1.500E-02 3.448E+02 3.491E+00 4.523E-05 
1.750E-02 3.657E+02 3.157E+00 5.127E-05 
2.000E-02 3.838E+02 2.889E+00 5.711E-05 
2.250E-02 3.996E+02 2.667E+00 6.277E-05 
2.500E-02 4.132E+02 2.480E+00 6.829E-05 
2.750E-02 4.250E+02 2.321E+00 7.370E-05 
3.000E-02 4.351E+02 2.183E+00 7.902E-05 
3.500E-02 4.510E+02 1.955E+00 8.943E-05 
4.000E-02 4.620E+02 1.774E+00 9.964E-05 
4.500E-02 4.692E+02 1.627E+00 1.097E-04 
5.000E-02 4.734E+02 1.504E+00 1.198E-04 
5.500E-02 4.752E+02 1.401E+00 1.298E-04 
6.000E-02 4.751E+02 1.311E+00 1.398E-04 
6.500E-02 4.737E+02 1.234E+00 1.499E-04 
7.000E-02 4.712E+02 1.166E+00 1.601E-04 
7.500E-02 4.680E+02 1.106E+00 1.703E-04 
8.000E-02 4.642E+02 1.052E+00 1.807E-04 
8.500E-02 4.601E+02 1.003E+00 1.911E-04 
9.000E-02 4.558E+02 9.597E-01 2.017E-04 
9.500E-02 4.513E+02 9.200E-01 2.124E-04 
1.000E-01 4.468E+02 8.837E-01 2.232E-04 
1.250E-01 4.245E+02 7.406E-01 2.791E-04 
1.500E-01 4.045E+02 6.400E-01 3.381E-04 
1.750E-01 3.867E+02 5.651E-01 4.001E-04 
2.000E-01 3.710E+02 5.070E-01 4.649E-04 
2.250E-01 3.568E+02 4.604E-01 5.325E-04 
2.500E-01 3.440E+02 4.222E-01 6.028E-04 
2.750E-01 3.323E+02 3.903E-01 6.757E-04 
3.000E-01 3.215E+02 3.632E-01 7.511E-04 
3.500E-01 3.017E+02 3.195E-01 9.097E-04 
4.000E-01 2.842E+02 2.858E-01 1.079E-03 
4.500E-01 2.686E+02 2.589E-01 1.258E-03 
5.000E-01 2.548E+02 2.369E-01 1.447E-03 
5.500E-01 2.425E+02 2.185E-01 1.646E-03 
6.000E-01 2.314E+02 2.030E-01 1.855E-03 
6.500E-01 2.215E+02 1.897E-01 2.074E-03 
7.000E-01 2.124E+02 1.781E-01 2.303E-03 
7.500E-01 2.042E+02 1.679E-01 2.541E-03 
8.000E-01 1.966E+02 1.589E-01 2.788E-03 
8.500E-01 1.897E+02 1.509E-01 3.045E-03 
9.000E-01 1.833E+02 1.436E-01 3.311E-03 
9.500E-01 1.774E+02 1.371E-01 3.586E-03 
1.000E+00 1.719E+02 1.312E-01 3.870E-03 
1.250E+00 1.494E+02 1.082E-01 5.424E-03 
1.500E+00 1.327E+02 9.232E-02 7.191E-03 
1.750E+00 1.198E+02 8.066E-02 9.164E-03 
2.000E+00 1.094E+02 7.173E-02 1.134E-02 
2.250E+00 1.009E+02 6.466E-02 1.370E-02 
2.500E+00 9.377E+01 5.891E-02 1.626E-02 
2.750E+00 8.769E+01 5.414E-02 1.900E-02 
3.000E+00 8.245E+01 5.011E-02 2.193E-02 
3.500E+00 7.383E+01 4.369E-02 2.832E-02 
4.000E+00 6.703E+01 3.877E-02 3.540E-02 
4.500E+00 6.151E+01 3.489E-02 4.315E-02 
5.000E+00 5.691E+01 3.174E-02 5.157E-02 
5.500E+00 5.303E+01 2.913E-02 6.063E-02 
6.000E+00 4.970E+01 2.693E-02 7.033E-02 
6.500E+00 4.681E+01 2.505E-02 8.065E-02 
7.000E+00 4.428E+01 2.342E-02 9.158E-02 
7.500E+00 4.203E+01 2.200E-02 1.031E-01 
8.000E+00 4.002E+01 2.075E-02 1.153E-01 
8.500E+00 3.822E+01 1.963E-02 1.280E-01 
9.000E+00 3.658E+01 1.864E-02 1.413E-01 
9.500E+00 3.510E+01 1.774E-02 1.552E-01 
1.000E+01 3.375E+01 1.693E-02 1.697E-01 
1.250E+01 2.841E+01 1.380E-02 2.504E-01 
1.500E+01 2.465E+01 1.166E-02 3.448E-01 
1.750E+01 2.185E+01 1.012E-02 4.523E-01 
2.000E+01 1.968E+01 8.940E-03 5.726E-01 
2.500E+01 1.651E+01 7.266E-03 8.501E-01 
2.750E+01 1.532E+01 6.649E-03 1.007E+00 
3.000E+01 1.430E+01 6.130E-03 1.175E+00 
3.500E+01 1.267E+01 5.308E-03 1.546E+00 
4.000E+01 1.141E+01 4.684E-03 1.961E+00 
4.500E+01 1.041E+01 4.194E-03 2.419E+00 
5.000E+01 9.590E+00 3.798E-03 2.918E+00 
5.500E+01 8.908E+00 3.473E-03 3.458E+00 
6.000E+01 8.330E+00 3.200E-03 4.037E+00 
6.500E+01 7.835E+00 2.967E-03 4.654E+00 
7.000E+01 7.405E+00 2.767E-03 5.309E+00 
7.500E+01 7.029E+00 2.593E-03 6.000E+00 
8.000E+01 6.696E+00 2.439E-03 6.727E+00 
8.500E+01 6.399E+00 2.304E-03 7.488E+00 
9.000E+01 6.133E+00 2.182E-03 8.284E+00 
9.500E+01 5.893E+00 2.074E-03 9.114E+00 
1.000E+02 5.676E+00 1.976E-03 9.976E+00 
1.250E+02 4.835E+00 1.600E-03 1.476E+01 
1.500E+02 4.261E+00 1.346E-03 2.026E+01 
1.750E+02 3.843E+00 1.163E-03 2.644E+01 
2.000E+02 3.525E+00 1.025E-03 3.322E+01 
2.250E+02 3.276E+00 9.164E-04 4.057E+01 
2.500E+02 3.075E+00 8.293E-04 4.843E+01 
2.750E+02 2.910E+00 7.576E-04 5.678E+01 
3.000E+02 2.772E+00 6.976E-04 6.556E+01 
3.500E+02 2.555E+00 6.027E-04 8.434E+01 
