PSTAR: Stopping Powers and Range Tables for Protons

GOLD                                                                    

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 1.476E+01 8.981E-01 9.842E-06 
1.500E-03 1.807E+01 9.183E-01 1.402E-05 
2.000E-03 2.087E+01 9.234E-01 1.814E-05 
2.500E-03 2.333E+01 9.217E-01 2.221E-05 
3.000E-03 2.556E+01 9.163E-01 2.625E-05 
4.000E-03 2.951E+01 9.002E-01 3.428E-05 
5.000E-03 3.300E+01 8.811E-01 4.226E-05 
6.000E-03 3.615E+01 8.611E-01 5.020E-05 
7.000E-03 3.904E+01 8.411E-01 5.812E-05 
8.000E-03 4.174E+01 8.216E-01 6.601E-05 
9.000E-03 4.427E+01 8.029E-01 7.387E-05 
1.000E-02 4.666E+01 7.849E-01 8.171E-05 
1.250E-02 5.151E+01 7.434E-01 1.013E-04 
1.500E-02 5.580E+01 7.067E-01 1.209E-04 
1.750E-02 5.966E+01 6.740E-01 1.404E-04 
2.000E-02 6.318E+01 6.447E-01 1.598E-04 
2.250E-02 6.643E+01 6.184E-01 1.791E-04 
2.500E-02 6.943E+01 5.946E-01 1.984E-04 
2.750E-02 7.223E+01 5.730E-01 2.175E-04 
3.000E-02 7.484E+01 5.532E-01 2.366E-04 
3.500E-02 7.958E+01 5.182E-01 2.743E-04 
4.000E-02 8.377E+01 4.882E-01 3.117E-04 
4.500E-02 8.750E+01 4.621E-01 3.488E-04 
5.000E-02 9.081E+01 4.392E-01 3.855E-04 
5.500E-02 9.377E+01 4.188E-01 4.220E-04 
6.000E-02 9.640E+01 4.006E-01 4.583E-04 
6.500E-02 9.874E+01 3.841E-01 4.944E-04 
7.000E-02 1.008E+02 3.692E-01 5.303E-04 
7.500E-02 1.026E+02 3.556E-01 5.661E-04 
8.000E-02 1.043E+02 3.431E-01 6.019E-04 
8.500E-02 1.057E+02 3.316E-01 6.376E-04 
9.000E-02 1.069E+02 3.210E-01 6.733E-04 
9.500E-02 1.080E+02 3.112E-01 7.089E-04 
1.000E-01 1.089E+02 3.020E-01 7.446E-04 
1.250E-01 1.115E+02 2.641E-01 9.242E-04 
1.500E-01 1.120E+02 2.357E-01 1.107E-03 
1.750E-01 1.112E+02 2.134E-01 1.294E-03 
2.000E-01 1.096E+02 1.955E-01 1.487E-03 
2.250E-01 1.076E+02 1.806E-01 1.685E-03 
2.500E-01 1.054E+02 1.681E-01 1.889E-03 
2.750E-01 1.032E+02 1.574E-01 2.100E-03 
3.000E-01 1.010E+02 1.481E-01 2.316E-03 
3.500E-01 9.633E+01 1.328E-01 2.768E-03 
4.000E-01 9.180E+01 1.206E-01 3.246E-03 
4.500E-01 8.770E+01 1.106E-01 3.751E-03 
5.000E-01 8.405E+01 1.024E-01 4.282E-03 
5.500E-01 8.083E+01 9.534E-02 4.837E-03 
6.000E-01 7.800E+01 8.930E-02 5.416E-03 
6.500E-01 7.547E+01 8.406E-02 6.017E-03 
7.000E-01 7.318E+01 7.945E-02 6.638E-03 
7.500E-01 7.111E+01 7.536E-02 7.281E-03 
8.000E-01 6.921E+01 7.171E-02 7.942E-03 
8.500E-01 6.746E+01 6.843E-02 8.623E-03 
9.000E-01 6.583E+01 6.546E-02 9.322E-03 
9.500E-01 6.432E+01 6.276E-02 1.004E-02 
1.000E+00 6.291E+01 6.030E-02 1.077E-02 
1.250E+00 5.698E+01 5.057E-02 1.470E-02 
1.500E+00 5.239E+01 4.373E-02 1.902E-02 
1.750E+00 4.868E+01 3.863E-02 2.371E-02 
2.000E+00 4.558E+01 3.467E-02 2.875E-02 
2.250E+00 4.295E+01 3.149E-02 3.413E-02 
2.500E+00 4.067E+01 2.889E-02 3.984E-02 
2.750E+00 3.868E+01 2.671E-02 4.586E-02 
3.000E+00 3.692E+01 2.486E-02 5.219E-02 
3.500E+00 3.392E+01 2.188E-02 6.575E-02 
4.000E+00 3.146E+01 1.957E-02 8.045E-02 
4.500E+00 2.940E+01 1.773E-02 9.627E-02 
5.000E+00 2.765E+01 1.623E-02 1.132E-01 
5.500E+00 2.612E+01 1.498E-02 1.311E-01 
6.000E+00 2.479E+01 1.392E-02 1.501E-01 
6.500E+00 2.360E+01 1.300E-02 1.701E-01 
7.000E+00 2.255E+01 1.221E-02 1.910E-01 
7.500E+00 2.160E+01 1.151E-02 2.129E-01 
8.000E+00 2.074E+01 1.090E-02 2.358E-01 
8.500E+00 1.996E+01 1.034E-02 2.596E-01 
9.000E+00 1.924E+01 9.849E-03 2.843E-01 
9.500E+00 1.859E+01 9.402E-03 3.100E-01 
1.000E+01 1.798E+01 8.996E-03 3.365E-01 
1.250E+01 1.553E+01 7.420E-03 4.822E-01 
1.500E+01 1.374E+01 6.335E-03 6.489E-01 
1.750E+01 1.237E+01 5.539E-03 8.358E-01 
2.000E+01 1.129E+01 4.930E-03 1.042E+00 
2.500E+01 9.661E+00 4.054E-03 1.511E+00 
2.750E+01 9.035E+00 3.728E-03 1.772E+00 
3.000E+01 8.496E+00 3.452E-03 2.051E+00 
3.500E+01 7.615E+00 3.013E-03 2.659E+00 
4.000E+01 6.924E+00 2.677E-03 3.333E+00 
4.500E+01 6.365E+00 2.411E-03 4.071E+00 
5.000E+01 5.904E+00 2.195E-03 4.870E+00 
5.500E+01 5.516E+00 2.016E-03 5.728E+00 
6.000E+01 5.185E+00 1.865E-03 6.644E+00 
6.500E+01 4.899E+00 1.736E-03 7.616E+00 
7.000E+01 4.649E+00 1.624E-03 8.643E+00 
7.500E+01 4.429E+00 1.527E-03 9.724E+00 
8.000E+01 4.233E+00 1.441E-03 1.086E+01 
8.500E+01 4.058E+00 1.364E-03 1.204E+01 
9.000E+01 3.900E+00 1.296E-03 1.327E+01 
9.500E+01 3.757E+00 1.234E-03 1.455E+01 
1.000E+02 3.627E+00 1.178E-03 1.588E+01 
1.250E+02 3.120E+00 9.626E-04 2.321E+01 
1.500E+02 2.769E+00 8.156E-04 3.159E+01 
1.750E+02 2.512E+00 7.087E-04 4.093E+01 
2.000E+02 2.315E+00 6.272E-04 5.114E+01 
2.250E+02 2.160E+00 5.631E-04 6.216E+01 
2.500E+02 2.034E+00 5.112E-04 7.391E+01 
2.750E+02 1.930E+00 4.683E-04 8.635E+01 
3.000E+02 1.843E+00 4.322E-04 9.942E+01 
3.500E+02 1.706E+00 3.750E-04 1.273E+02 
