PSTAR: Stopping Powers and Range Tables for Protons

BERYLLIUM                                                               

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 1.497E+02 2.641E+01 3.269E-06 
1.500E-03 1.833E+02 2.143E+01 4.932E-06 
2.000E-03 2.117E+02 1.822E+01 6.542E-06 
2.500E-03 2.367E+02 1.595E+01 8.083E-06 
3.000E-03 2.592E+02 1.425E+01 9.559E-06 
4.000E-03 2.993E+02 1.183E+01 1.234E-05 
5.000E-03 3.347E+02 1.018E+01 1.492E-05 
6.000E-03 3.666E+02 8.972E+00 1.734E-05 
7.000E-03 3.960E+02 8.047E+00 1.962E-05 
8.000E-03 4.233E+02 7.311E+00 2.178E-05 
9.000E-03 4.490E+02 6.710E+00 2.384E-05 
1.000E-02 4.733E+02 6.210E+00 2.581E-05 
1.250E-02 5.172E+02 5.256E+00 3.047E-05 
1.500E-02 5.534E+02 4.576E+00 3.485E-05 
1.750E-02 5.836E+02 4.064E+00 3.901E-05 
2.000E-02 6.087E+02 3.664E+00 4.302E-05 
2.250E-02 6.296E+02 3.340E+00 4.690E-05 
2.500E-02 6.468E+02 3.074E+00 5.067E-05 
2.750E-02 6.607E+02 2.850E+00 5.438E-05 
3.000E-02 6.719E+02 2.659E+00 5.802E-05 
3.500E-02 6.873E+02 2.349E+00 6.519E-05 
4.000E-02 6.955E+02 2.109E+00 7.226E-05 
4.500E-02 6.984E+02 1.916E+00 7.929E-05 
5.000E-02 6.976E+02 1.758E+00 8.633E-05 
5.500E-02 6.942E+02 1.625E+00 9.340E-05 
6.000E-02 6.891E+02 1.513E+00 1.005E-04 
6.500E-02 6.828E+02 1.416E+00 1.077E-04 
7.000E-02 6.757E+02 1.331E+00 1.150E-04 
7.500E-02 6.682E+02 1.257E+00 1.223E-04 
8.000E-02 6.605E+02 1.191E+00 1.298E-04 
8.500E-02 6.527E+02 1.133E+00 1.373E-04 
9.000E-02 6.449E+02 1.080E+00 1.450E-04 
9.500E-02 6.372E+02 1.032E+00 1.527E-04 
1.000E-01 6.296E+02 9.882E-01 1.605E-04 
1.250E-01 5.942E+02 8.186E-01 2.011E-04 
1.500E-01 5.630E+02 7.012E-01 2.440E-04 
1.750E-01 5.354E+02 6.148E-01 2.893E-04 
2.000E-01 5.107E+02 5.484E-01 3.368E-04 
2.250E-01 4.884E+02 4.956E-01 3.867E-04 
2.500E-01 4.682E+02 4.526E-01 4.387E-04 
2.750E-01 4.498E+02 4.169E-01 4.930E-04 
3.000E-01 4.328E+02 3.867E-01 5.494E-04 
3.500E-01 4.044E+02 3.380E-01 6.686E-04 
4.000E-01 3.801E+02 3.004E-01 7.957E-04 
4.500E-01 3.581E+02 2.706E-01 9.308E-04 
5.000E-01 3.376E+02 2.464E-01 1.074E-03 
5.500E-01 3.188E+02 2.263E-01 1.226E-03 
6.000E-01 3.022E+02 2.094E-01 1.387E-03 
6.500E-01 2.874E+02 1.949E-01 1.556E-03 
7.000E-01 2.742E+02 1.823E-01 1.734E-03 
7.500E-01 2.623E+02 1.713E-01 1.920E-03 
8.000E-01 2.515E+02 1.617E-01 2.114E-03 
8.500E-01 2.417E+02 1.530E-01 2.316E-03 
9.000E-01 2.327E+02 1.453E-01 2.527E-03 
9.500E-01 2.244E+02 1.384E-01 2.745E-03 
1.000E+00 2.168E+02 1.321E-01 2.971E-03 
1.250E+00 1.860E+02 1.078E-01 4.217E-03 
1.500E+00 1.636E+02 9.127E-02 5.651E-03 
1.750E+00 1.463E+02 7.922E-02 7.267E-03 
2.000E+00 1.326E+02 7.006E-02 9.060E-03 
2.250E+00 1.215E+02 6.284E-02 1.103E-02 
2.500E+00 1.123E+02 5.700E-02 1.317E-02 
2.750E+00 1.045E+02 5.218E-02 1.547E-02 
3.000E+00 9.776E+01 4.813E-02 1.794E-02 
3.500E+00 8.685E+01 4.170E-02 2.337E-02 
4.000E+00 7.828E+01 3.681E-02 2.943E-02 
4.500E+00 7.138E+01 3.297E-02 3.612E-02 
5.000E+00 6.569E+01 2.988E-02 4.342E-02 
5.500E+00 6.092E+01 2.732E-02 5.131E-02 
6.000E+00 5.684E+01 2.518E-02 5.980E-02 
6.500E+00 5.332E+01 2.336E-02 6.888E-02 
7.000E+00 5.025E+01 2.179E-02 7.853E-02 
7.500E+00 4.754E+01 2.042E-02 8.874E-02 
8.000E+00 4.513E+01 1.921E-02 9.953E-02 
8.500E+00 4.298E+01 1.815E-02 1.109E-01 
9.000E+00 4.104E+01 1.719E-02 1.228E-01 
9.500E+00 3.928E+01 1.634E-02 1.352E-01 
1.000E+01 3.768E+01 1.557E-02 1.482E-01 
1.250E+01 3.143E+01 1.261E-02 2.211E-01 
1.500E+01 2.708E+01 1.061E-02 3.069E-01 
1.750E+01 2.387E+01 9.169E-03 4.053E-01 
2.000E+01 2.140E+01 8.079E-03 5.160E-01 
2.500E+01 1.784E+01 6.537E-03 7.728E-01 
2.750E+01 1.650E+01 5.972E-03 9.184E-01 
3.000E+01 1.537E+01 5.498E-03 1.075E+00 
3.500E+01 1.356E+01 4.749E-03 1.422E+00 
4.000E+01 1.217E+01 4.182E-03 1.811E+00 
4.500E+01 1.107E+01 3.739E-03 2.242E+00 
5.000E+01 1.018E+01 3.383E-03 2.713E+00 
5.500E+01 9.436E+00 3.089E-03 3.223E+00 
6.000E+01 8.808E+00 2.844E-03 3.771E+00 
6.500E+01 8.271E+00 2.635E-03 4.357E+00 
7.000E+01 7.806E+00 2.455E-03 4.979E+00 
7.500E+01 7.400E+00 2.299E-03 5.636E+00 
8.000E+01 7.041E+00 2.162E-03 6.328E+00 
8.500E+01 6.721E+00 2.041E-03 7.055E+00 
9.000E+01 6.436E+00 1.933E-03 7.814E+00 
9.500E+01 6.178E+00 1.836E-03 8.607E+00 
1.000E+02 5.945E+00 1.748E-03 9.431E+00 
1.250E+02 5.046E+00 1.413E-03 1.401E+01 
1.500E+02 4.434E+00 1.188E-03 1.931E+01 
1.750E+02 3.990E+00 1.026E-03 2.526E+01 
2.000E+02 3.653E+00 9.033E-04 3.181E+01 
2.250E+02 3.389E+00 8.074E-04 3.892E+01 
2.500E+02 3.177E+00 7.303E-04 4.654E+01 
2.750E+02 3.002E+00 6.670E-04 5.463E+01 
3.000E+02 2.856E+00 6.140E-04 6.317E+01 
3.500E+02 2.626E+00 5.302E-04 8.145E+01 
