PSTAR: Stopping Powers and Range Tables for Protons

CESIUM IODIDE                                                           

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 3.467E+01 1.639E+00 7.272E-06 
1.500E-03 4.246E+01 1.640E+00 1.033E-05 
2.000E-03 4.903E+01 1.623E+00 1.333E-05 
2.500E-03 5.482E+01 1.597E+00 1.625E-05 
3.000E-03 6.005E+01 1.569E+00 1.913E-05 
4.000E-03 6.934E+01 1.510E+00 2.477E-05 
5.000E-03 7.752E+01 1.452E+00 3.027E-05 
6.000E-03 8.492E+01 1.398E+00 3.567E-05 
7.000E-03 9.173E+01 1.349E+00 4.097E-05 
8.000E-03 9.806E+01 1.302E+00 4.618E-05 
9.000E-03 1.040E+02 1.260E+00 5.131E-05 
1.000E-02 1.096E+02 1.220E+00 5.635E-05 
1.250E-02 1.210E+02 1.133E+00 6.871E-05 
1.500E-02 1.309E+02 1.060E+00 8.078E-05 
1.750E-02 1.399E+02 9.981E-01 9.259E-05 
2.000E-02 1.480E+02 9.441E-01 1.042E-04 
2.250E-02 1.555E+02 8.968E-01 1.155E-04 
2.500E-02 1.623E+02 8.549E-01 1.266E-04 
2.750E-02 1.686E+02 8.174E-01 1.376E-04 
3.000E-02 1.745E+02 7.837E-01 1.483E-04 
3.500E-02 1.849E+02 7.254E-01 1.694E-04 
4.000E-02 1.940E+02 6.765E-01 1.900E-04 
4.500E-02 2.018E+02 6.348E-01 2.101E-04 
5.000E-02 2.085E+02 5.988E-01 2.300E-04 
5.500E-02 2.142E+02 5.672E-01 2.495E-04 
6.000E-02 2.190E+02 5.393E-01 2.688E-04 
6.500E-02 2.230E+02 5.143E-01 2.879E-04 
7.000E-02 2.263E+02 4.919E-01 3.070E-04 
7.500E-02 2.289E+02 4.717E-01 3.259E-04 
8.000E-02 2.310E+02 4.533E-01 3.448E-04 
8.500E-02 2.325E+02 4.364E-01 3.637E-04 
9.000E-02 2.334E+02 4.210E-01 3.825E-04 
9.500E-02 2.340E+02 4.067E-01 4.015E-04 
1.000E-01 2.341E+02 3.935E-01 4.205E-04 
1.250E-01 2.304E+02 3.398E-01 5.171E-04 
1.500E-01 2.219E+02 3.003E-01 6.181E-04 
1.750E-01 2.114E+02 2.699E-01 7.246E-04 
2.000E-01 2.006E+02 2.456E-01 8.374E-04 
2.250E-01 1.901E+02 2.258E-01 9.571E-04 
2.500E-01 1.806E+02 2.092E-01 1.084E-03 
2.750E-01 1.719E+02 1.951E-01 1.217E-03 
3.000E-01 1.641E+02 1.829E-01 1.358E-03 
3.500E-01 1.511E+02 1.631E-01 1.659E-03 
4.000E-01 1.406E+02 1.474E-01 1.986E-03 
4.500E-01 1.321E+02 1.347E-01 2.336E-03 
5.000E-01 1.251E+02 1.242E-01 2.707E-03 
5.500E-01 1.191E+02 1.154E-01 3.099E-03 
6.000E-01 1.140E+02 1.078E-01 3.510E-03 
6.500E-01 1.096E+02 1.012E-01 3.939E-03 
7.000E-01 1.056E+02 9.550E-02 4.385E-03 
7.500E-01 1.021E+02 9.042E-02 4.848E-03 
8.000E-01 9.892E+01 8.590E-02 5.327E-03 
8.500E-01 9.583E+01 8.185E-02 5.821E-03 
9.000E-01 9.283E+01 7.819E-02 6.332E-03 
9.500E-01 8.995E+01 7.487E-02 6.859E-03 
1.000E+00 8.722E+01 7.184E-02 7.404E-03 
1.250E+00 7.576E+01 5.996E-02 1.038E-02 
1.500E+00 6.741E+01 5.166E-02 1.378E-02 
1.750E+00 6.126E+01 4.550E-02 1.756E-02 
2.000E+00 5.663E+01 4.074E-02 2.168E-02 
2.250E+00 5.299E+01 3.694E-02 2.612E-02 
2.500E+00 4.988E+01 3.383E-02 3.085E-02 
2.750E+00 4.724E+01 3.123E-02 3.586E-02 
3.000E+00 4.491E+01 2.903E-02 4.114E-02 
3.500E+00 4.101E+01 2.549E-02 5.251E-02 
4.000E+00 3.783E+01 2.276E-02 6.490E-02 
4.500E+00 3.519E+01 2.059E-02 7.828E-02 
5.000E+00 3.295E+01 1.882E-02 9.263E-02 
5.500E+00 3.103E+01 1.735E-02 1.079E-01 
6.000E+00 2.935E+01 1.610E-02 1.241E-01 
6.500E+00 2.787E+01 1.502E-02 1.412E-01 
7.000E+00 2.657E+01 1.409E-02 1.592E-01 
7.500E+00 2.539E+01 1.328E-02 1.781E-01 
8.000E+00 2.433E+01 1.255E-02 1.978E-01 
8.500E+00 2.336E+01 1.191E-02 2.183E-01 
9.000E+00 2.248E+01 1.133E-02 2.397E-01 
9.500E+00 2.167E+01 1.081E-02 2.619E-01 
1.000E+01 2.093E+01 1.034E-02 2.850E-01 
1.250E+01 1.795E+01 8.510E-03 4.119E-01 
1.500E+01 1.580E+01 7.253E-03 5.580E-01 
1.750E+01 1.417E+01 6.332E-03 7.225E-01 
2.000E+01 1.288E+01 5.628E-03 9.046E-01 
2.500E+01 1.096E+01 4.618E-03 1.320E+00 
2.750E+01 1.023E+01 4.243E-03 1.553E+00 
3.000E+01 9.603E+00 3.926E-03 1.801E+00 
3.500E+01 8.580E+00 3.421E-03 2.344E+00 
4.000E+01 7.781E+00 3.036E-03 2.948E+00 
4.500E+01 7.138E+00 2.731E-03 3.610E+00 
5.000E+01 6.609E+00 2.484E-03 4.328E+00 
5.500E+01 6.166E+00 2.279E-03 5.101E+00 
6.000E+01 5.788E+00 2.107E-03 5.927E+00 
6.500E+01 5.462E+00 1.960E-03 6.804E+00 
7.000E+01 5.178E+00 1.833E-03 7.732E+00 
7.500E+01 4.928E+00 1.721E-03 8.709E+00 
8.000E+01 4.706E+00 1.623E-03 9.734E+00 
8.500E+01 4.507E+00 1.536E-03 1.081E+01 
9.000E+01 4.329E+00 1.458E-03 1.192E+01 
9.500E+01 4.168E+00 1.388E-03 1.309E+01 
1.000E+02 4.021E+00 1.325E-03 1.429E+01 
1.250E+02 3.451E+00 1.080E-03 2.095E+01 
1.500E+02 3.058E+00 9.134E-04 2.858E+01 
1.750E+02 2.770E+00 7.925E-04 3.709E+01 
2.000E+02 2.551E+00 7.006E-04 4.640E+01 
2.250E+02 2.378E+00 6.283E-04 5.646E+01 
2.500E+02 2.238E+00 5.698E-04 6.719E+01 
2.750E+02 2.123E+00 5.216E-04 7.855E+01 
3.000E+02 2.027E+00 4.811E-04 9.050E+01 
3.500E+02 1.875E+00 4.169E-04 1.159E+02 
