PSTAR: Stopping Powers and Range Tables for Protons

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 1.509E+02 3.190E+01 2.900E-06 
1.500E-03 1.849E+02 2.614E+01 4.370E-06 
2.000E-03 2.135E+02 2.241E+01 5.809E-06 
2.500E-03 2.387E+02 1.975E+01 7.200E-06 
3.000E-03 2.614E+02 1.773E+01 8.543E-06 
4.000E-03 2.978E+02 1.486E+01 1.111E-05 
5.000E-03 3.302E+02 1.287E+01 1.355E-05 
6.000E-03 3.596E+02 1.141E+01 1.587E-05 
7.000E-03 3.864E+02 1.028E+01 1.808E-05 
8.000E-03 4.105E+02 9.372E+00 2.020E-05 
9.000E-03 4.325E+02 8.630E+00 2.225E-05 
1.000E-02 4.530E+02 8.008E+00 2.422E-05 
1.250E-02 4.949E+02 6.816E+00 2.892E-05 
1.500E-02 5.303E+02 5.959E+00 3.336E-05 
1.750E-02 5.612E+02 5.310E+00 3.759E-05 
2.000E-02 5.888E+02 4.799E+00 4.164E-05 
2.250E-02 6.134E+02 4.386E+00 4.556E-05 
2.500E-02 6.353E+02 4.044E+00 4.935E-05 
2.750E-02 6.547E+02 3.756E+00 5.304E-05 
3.000E-02 6.723E+02 3.509E+00 5.665E-05 
3.500E-02 7.034E+02 3.108E+00 6.364E-05 
4.000E-02 7.305E+02 2.796E+00 7.038E-05 
4.500E-02 7.535E+02 2.545E+00 7.692E-05 
5.000E-02 7.723E+02 2.338E+00 8.330E-05 
5.500E-02 7.870E+02 2.165E+00 8.956E-05 
6.000E-02 7.983E+02 2.017E+00 9.573E-05 
6.500E-02 8.066E+02 1.890E+00 1.018E-04 
7.000E-02 8.124E+02 1.779E+00 1.079E-04 
7.500E-02 8.160E+02 1.681E+00 1.139E-04 
8.000E-02 8.176E+02 1.594E+00 1.200E-04 
8.500E-02 8.174E+02 1.516E+00 1.260E-04 
9.000E-02 8.158E+02 1.446E+00 1.320E-04 
9.500E-02 8.129E+02 1.383E+00 1.381E-04 
1.000E-01 8.089E+02 1.326E+00 1.442E-04 
1.250E-01 7.776E+02 1.101E+00 1.753E-04 
1.500E-01 7.365E+02 9.443E-01 2.080E-04 
1.750E-01 6.934E+02 8.291E-01 2.427E-04 
2.000E-01 6.519E+02 7.404E-01 2.796E-04 
2.250E-01 6.136E+02 6.697E-01 3.189E-04 
2.500E-01 5.791E+02 6.121E-01 3.606E-04 
2.750E-01 5.482E+02 5.640E-01 4.047E-04 
3.000E-01 5.206E+02 5.231E-01 4.513E-04 
3.500E-01 4.729E+02 4.576E-01 5.517E-04 
4.000E-01 4.340E+02 4.074E-01 6.616E-04 
4.500E-01 4.022E+02 3.676E-01 7.808E-04 
5.000E-01 3.761E+02 3.352E-01 9.089E-04 
5.500E-01 3.543E+02 3.083E-01 1.045E-03 
6.000E-01 3.350E+02 2.855E-01 1.190E-03 
6.500E-01 3.182E+02 2.660E-01 1.343E-03 
7.000E-01 3.032E+02 2.490E-01 1.503E-03 
7.500E-01 2.898E+02 2.342E-01 1.671E-03 
8.000E-01 2.777E+02 2.211E-01 1.847E-03 
8.500E-01 2.667E+02 2.095E-01 2.030E-03 
9.000E-01 2.566E+02 1.990E-01 2.220E-03 
9.500E-01 2.474E+02 1.896E-01 2.418E-03 
1.000E+00 2.389E+02 1.811E-01 2.623E-03 
1.250E+00 2.048E+02 1.482E-01 3.754E-03 
1.500E+00 1.802E+02 1.257E-01 5.054E-03 
1.750E+00 1.614E+02 1.093E-01 6.518E-03 
2.000E+00 1.465E+02 9.676E-02 8.142E-03 
2.250E+00 1.344E+02 8.691E-02 9.920E-03 
2.500E+00 1.244E+02 7.893E-02 1.185E-02 
2.750E+00 1.159E+02 7.233E-02 1.393E-02 
3.000E+00 1.086E+02 6.678E-02 1.615E-02 
3.500E+00 9.662E+01 5.795E-02 2.103E-02 
4.000E+00 8.724E+01 5.123E-02 2.647E-02 
4.500E+00 7.968E+01 4.594E-02 3.246E-02 
5.000E+00 7.343E+01 4.167E-02 3.899E-02 
5.500E+00 6.817E+01 3.814E-02 4.604E-02 
6.000E+00 6.368E+01 3.518E-02 5.362E-02 
6.500E+00 5.980E+01 3.265E-02 6.171E-02 
7.000E+00 5.640E+01 3.047E-02 7.030E-02 
7.500E+00 5.339E+01 2.857E-02 7.940E-02 
8.000E+00 5.072E+01 2.690E-02 8.899E-02 
8.500E+00 4.834E+01 2.542E-02 9.906E-02 
9.000E+00 4.618E+01 2.410E-02 1.096E-01 
9.500E+00 4.423E+01 2.291E-02 1.207E-01 
1.000E+01 4.245E+01 2.183E-02 1.322E-01 
1.250E+01 3.547E+01 1.771E-02 1.968E-01 
1.500E+01 3.061E+01 1.492E-02 2.727E-01 
1.750E+01 2.702E+01 1.290E-02 3.597E-01 
2.000E+01 2.425E+01 1.137E-02 4.573E-01 
2.500E+01 2.023E+01 9.210E-03 6.837E-01 
2.750E+01 1.873E+01 8.416E-03 8.120E-01 
3.000E+01 1.746E+01 7.751E-03 9.501E-01 
3.500E+01 1.541E+01 6.697E-03 1.255E+00 
4.000E+01 1.385E+01 5.901E-03 1.597E+00 
4.500E+01 1.260E+01 5.277E-03 1.976E+00 
5.000E+01 1.159E+01 4.775E-03 2.389E+00 
5.500E+01 1.075E+01 4.361E-03 2.837E+00 
6.000E+01 1.004E+01 4.015E-03 3.318E+00 
6.500E+01 9.428E+00 3.721E-03 3.831E+00 
7.000E+01 8.901E+00 3.468E-03 4.377E+00 
7.500E+01 8.439E+00 3.248E-03 4.953E+00 
8.000E+01 8.032E+00 3.055E-03 5.559E+00 
8.500E+01 7.670E+00 2.883E-03 6.196E+00 
9.000E+01 7.346E+00 2.731E-03 6.861E+00 
9.500E+01 7.054E+00 2.594E-03 7.555E+00 
1.000E+02 6.789E+00 2.470E-03 8.276E+00 
1.250E+02 5.768E+00 1.998E-03 1.228E+01 
1.500E+02 5.073E+00 1.679E-03 1.691E+01 
1.750E+02 4.568E+00 1.450E-03 2.211E+01 
2.000E+02 4.186E+00 1.277E-03 2.783E+01 
2.250E+02 3.886E+00 1.142E-03 3.403E+01 
2.500E+02 3.645E+00 1.033E-03 4.067E+01 
2.750E+02 3.447E+00 9.433E-04 4.772E+01 
3.000E+02 3.281E+00 8.684E-04 5.515E+01 
