ASTAR: Stopping Powers and Range Tables for Alpha Particles

ALUMINUM                                                                

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 5.580E+01 7.469E+01 2.529E-06 
1.500E-03 7.189E+01 7.285E+01 3.704E-06 
2.000E-03 8.605E+01 7.032E+01 4.895E-06 
2.500E-03 9.892E+01 6.773E+01 6.094E-06 
3.000E-03 1.109E+02 6.525E+01 7.300E-06 
4.000E-03 1.327E+02 6.078E+01 9.717E-06 
5.000E-03 1.525E+02 5.693E+01 1.213E-05 
6.000E-03 1.709E+02 5.361E+01 1.452E-05 
7.000E-03 1.882E+02 5.072E+01 1.689E-05 
8.000E-03 2.045E+02 4.818E+01 1.922E-05 
9.000E-03 2.201E+02 4.593E+01 2.153E-05 
1.000E-02 2.351E+02 4.391E+01 2.379E-05 
1.250E-02 2.701E+02 3.969E+01 2.931E-05 
1.500E-02 3.025E+02 3.632E+01 3.460E-05 
1.750E-02 3.328E+02 3.355E+01 3.969E-05 
2.000E-02 3.615E+02 3.124E+01 4.458E-05 
2.250E-02 3.886E+02 2.927E+01 4.929E-05 
2.500E-02 4.146E+02 2.756E+01 5.384E-05 
2.750E-02 4.394E+02 2.607E+01 5.824E-05 
3.000E-02 4.633E+02 2.475E+01 6.250E-05 
3.500E-02 5.084E+02 2.253E+01 7.064E-05 
4.000E-02 5.504E+02 2.071E+01 7.835E-05 
4.500E-02 5.896E+02 1.920E+01 8.568E-05 
5.000E-02 6.265E+02 1.792E+01 9.269E-05 
5.500E-02 6.611E+02 1.681E+01 9.941E-05 
6.000E-02 6.937E+02 1.585E+01 1.059E-04 
6.500E-02 7.243E+02 1.501E+01 1.121E-04 
7.000E-02 7.532E+02 1.426E+01 1.182E-04 
7.500E-02 7.803E+02 1.359E+01 1.241E-04 
8.000E-02 8.059E+02 1.298E+01 1.298E-04 
8.500E-02 8.301E+02 1.244E+01 1.354E-04 
9.000E-02 8.528E+02 1.194E+01 1.409E-04 
9.500E-02 8.743E+02 1.148E+01 1.462E-04 
1.000E-01 8.945E+02 1.107E+01 1.515E-04 
1.250E-01 9.800E+02 9.395E+00 1.764E-04 
1.500E-01 1.045E+03 8.198E+00 1.999E-04 
1.750E-01 1.096E+03 7.293E+00 2.222E-04 
2.000E-01 1.136E+03 6.583E+00 2.438E-04 
2.250E-01 1.168E+03 6.009E+00 2.648E-04 
2.500E-01 1.195E+03 5.535E+00 2.854E-04 
2.750E-01 1.216E+03 5.136E+00 3.056E-04 
3.000E-01 1.234E+03 4.795E+00 3.256E-04 
3.500E-01 1.262E+03 4.242E+00 3.648E-04 
4.000E-01 1.280E+03 3.811E+00 4.034E-04 
4.500E-01 1.291E+03 3.466E+00 4.417E-04 
5.000E-01 1.297E+03 3.182E+00 4.798E-04 
5.500E-01 1.298E+03 2.944E+00 5.179E-04 
6.000E-01 1.297E+03 2.742E+00 5.560E-04 
6.500E-01 1.293E+03 2.567E+00 5.942E-04 
7.000E-01 1.286E+03 2.415E+00 6.326E-04 
7.500E-01 1.279E+03 2.282E+00 6.712E-04 
8.000E-01 1.269E+03 2.163E+00 7.101E-04 
8.500E-01 1.259E+03 2.057E+00 7.493E-04 
9.000E-01 1.248E+03 1.961E+00 7.889E-04 
9.500E-01 1.237E+03 1.875E+00 8.289E-04 
1.000E+00 1.225E+03 1.796E+00 8.692E-04 
1.250E+00 1.161E+03 1.490E+00 1.077E-03 
1.500E+00 1.098E+03 1.277E+00 1.298E-03 
1.750E+00 1.039E+03 1.120E+00 1.531E-03 
2.000E+00 9.849E+02 1.000E+00 1.777E-03 
2.250E+00 9.376E+02 9.042E-01 2.036E-03 
2.500E+00 8.954E+02 8.261E-01 2.308E-03 
2.750E+00 8.568E+02 7.612E-01 2.592E-03 
3.000E+00 8.210E+02 7.062E-01 2.890E-03 
3.500E+00 7.561E+02 6.182E-01 3.523E-03 
4.000E+00 6.986E+02 5.506E-01 4.209E-03 
4.500E+00 6.478E+02 4.971E-01 4.951E-03 
5.000E+00 6.048E+02 4.535E-01 5.748E-03 
5.500E+00 5.678E+02 4.173E-01 6.600E-03 
6.000E+00 5.357E+02 3.867E-01 7.504E-03 
6.500E+00 5.074E+02 3.605E-01 8.462E-03 
7.000E+00 4.824E+02 3.379E-01 9.470E-03 
7.500E+00 4.600E+02 3.180E-01 1.053E-02 
8.000E+00 4.398E+02 3.004E-01 1.164E-02 
8.500E+00 4.216E+02 2.848E-01 1.280E-02 
9.000E+00 4.051E+02 2.708E-01 1.401E-02 
9.500E+00 3.899E+02 2.582E-01 1.526E-02 
1.000E+01 3.760E+02 2.468E-01 1.656E-02 
1.250E+01 3.205E+02 2.025E-01 2.378E-02 
1.500E+01 2.807E+02 1.722E-01 3.212E-02 
1.750E+01 2.507E+02 1.501E-01 4.155E-02 
2.000E+01 2.271E+02 1.332E-01 5.202E-02 
2.500E+01 1.922E+02 1.090E-01 7.601E-02 
2.750E+01 1.789E+02 1.001E-01 8.948E-02 
3.000E+01 1.675E+02 9.251E-02 1.039E-01 
3.500E+01 1.489E+02 8.048E-02 1.356E-01 
4.000E+01 1.344E+02 7.131E-02 1.709E-01 
4.500E+01 1.227E+02 6.407E-02 2.098E-01 
5.000E+01 1.131E+02 5.820E-02 2.523E-01 
5.500E+01 1.050E+02 5.334E-02 2.981E-01 
6.000E+01 9.812E+01 4.925E-02 3.473E-01 
6.500E+01 9.217E+01 4.577E-02 3.999E-01 
7.000E+01 8.697E+01 4.275E-02 4.556E-01 
7.500E+01 8.239E+01 4.012E-02 5.147E-01 
8.000E+01 7.831E+01 3.780E-02 5.768E-01 
8.500E+01 7.467E+01 3.574E-02 6.422E-01 
9.000E+01 7.138E+01 3.390E-02 7.106E-01 
9.500E+01 6.841E+01 3.225E-02 7.820E-01 
1.000E+02 6.570E+01 3.075E-02 8.565E-01 
1.250E+02 5.511E+01 2.496E-02 1.273E+00 
1.500E+02 4.776E+01 2.104E-02 1.761E+00 
1.750E+02 4.233E+01 1.820E-02 2.318E+00 
2.000E+02 3.816E+01 1.604E-02 2.940E+00 
2.250E+02 3.483E+01 1.434E-02 3.626E+00 
2.500E+02 3.213E+01 1.297E-02 4.373E+00 
2.750E+02 2.987E+01 1.184E-02 5.180E+00 
3.000E+02 2.797E+01 1.089E-02 6.044E+00 
3.500E+02 2.492E+01 9.385E-03 7.940E+00 
