ASTAR: Stopping Powers and Range Tables for Alpha Particles

GOLD                                                                    

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 1.150E+01 5.784E+00 6.354E-06 
1.500E-03 1.455E+01 6.326E+00 8.608E-06 
2.000E-03 1.720E+01 6.665E+00 1.078E-05 
2.500E-03 1.957E+01 6.889E+00 1.290E-05 
3.000E-03 2.176E+01 7.044E+00 1.500E-05 
4.000E-03 2.572E+01 7.223E+00 1.915E-05 
5.000E-03 2.927E+01 7.302E+00 2.329E-05 
6.000E-03 3.254E+01 7.323E+00 2.742E-05 
7.000E-03 3.559E+01 7.310E+00 3.156E-05 
8.000E-03 3.846E+01 7.275E+00 3.571E-05 
9.000E-03 4.118E+01 7.225E+00 3.988E-05 
1.000E-02 4.378E+01 7.167E+00 4.405E-05 
1.250E-02 4.983E+01 6.999E+00 5.454E-05 
1.500E-02 5.539E+01 6.820E+00 6.509E-05 
1.750E-02 6.056E+01 6.641E+00 7.567E-05 
2.000E-02 6.544E+01 6.468E+00 8.628E-05 
2.250E-02 7.006E+01 6.302E+00 9.691E-05 
2.500E-02 7.446E+01 6.144E+00 1.075E-04 
2.750E-02 7.868E+01 5.994E+00 1.181E-04 
3.000E-02 8.274E+01 5.852E+00 1.287E-04 
3.500E-02 9.045E+01 5.590E+00 1.499E-04 
4.000E-02 9.769E+01 5.354E+00 1.709E-04 
4.500E-02 1.045E+02 5.141E+00 1.917E-04 
5.000E-02 1.111E+02 4.947E+00 2.124E-04 
5.500E-02 1.173E+02 4.770E+00 2.329E-04 
6.000E-02 1.233E+02 4.607E+00 2.532E-04 
6.500E-02 1.291E+02 4.457E+00 2.733E-04 
7.000E-02 1.346E+02 4.318E+00 2.933E-04 
7.500E-02 1.400E+02 4.190E+00 3.130E-04 
8.000E-02 1.452E+02 4.070E+00 3.325E-04 
8.500E-02 1.503E+02 3.958E+00 3.518E-04 
9.000E-02 1.552E+02 3.853E+00 3.710E-04 
9.500E-02 1.600E+02 3.754E+00 3.899E-04 
1.000E-01 1.647E+02 3.662E+00 4.087E-04 
1.250E-01 1.864E+02 3.268E+00 4.999E-04 
1.500E-01 2.058E+02 2.962E+00 5.870E-04 
1.750E-01 2.235E+02 2.715E+00 6.707E-04 
2.000E-01 2.395E+02 2.511E+00 7.512E-04 
2.250E-01 2.542E+02 2.339E+00 8.291E-04 
2.500E-01 2.677E+02 2.192E+00 9.046E-04 
2.750E-01 2.801E+02 2.065E+00 9.780E-04 
3.000E-01 2.915E+02 1.953E+00 1.050E-03 
3.500E-01 3.116E+02 1.767E+00 1.188E-03 
4.000E-01 3.285E+02 1.616E+00 1.322E-03 
4.500E-01 3.426E+02 1.491E+00 1.451E-03 
5.000E-01 3.543E+02 1.387E+00 1.578E-03 
5.500E-01 3.638E+02 1.297E+00 1.702E-03 
6.000E-01 3.715E+02 1.220E+00 1.825E-03 
6.500E-01 3.775E+02 1.152E+00 1.946E-03 
7.000E-01 3.821E+02 1.092E+00 2.067E-03 
7.500E-01 3.855E+02 1.039E+00 2.186E-03 
8.000E-01 3.878E+02 9.906E-01 2.306E-03 
8.500E-01 3.891E+02 9.474E-01 2.426E-03 
9.000E-01 3.896E+02 9.081E-01 2.545E-03 
9.500E-01 3.894E+02 8.723E-01 2.665E-03 
1.000E+00 3.887E+02 8.394E-01 2.786E-03 
1.250E+00 3.844E+02 7.090E-01 3.398E-03 
1.500E+00 3.757E+02 6.162E-01 4.025E-03 
1.750E+00 3.626E+02 5.465E-01 4.675E-03 
2.000E+00 3.468E+02 4.921E-01 5.354E-03 
2.250E+00 3.305E+02 4.483E-01 6.069E-03 
2.500E+00 3.164E+02 4.122E-01 6.819E-03 
2.750E+00 3.040E+02 3.819E-01 7.602E-03 
3.000E+00 2.930E+02 3.561E-01 8.418E-03 
3.500E+00 2.741E+02 3.143E-01 1.014E-02 
4.000E+00 2.584E+02 2.819E-01 1.198E-02 
4.500E+00 2.450E+02 2.559E-01 1.392E-02 
5.000E+00 2.334E+02 2.347E-01 1.597E-02 
5.500E+00 2.231E+02 2.169E-01 1.812E-02 
6.000E+00 2.140E+02 2.018E-01 2.037E-02 
6.500E+00 2.058E+02 1.888E-01 2.271E-02 
7.000E+00 1.984E+02 1.775E-01 2.514E-02 
7.500E+00 1.916E+02 1.675E-01 2.767E-02 
8.000E+00 1.855E+02 1.587E-01 3.028E-02 
8.500E+00 1.797E+02 1.508E-01 3.297E-02 
9.000E+00 1.745E+02 1.437E-01 3.576E-02 
9.500E+00 1.696E+02 1.373E-01 3.862E-02 
1.000E+01 1.650E+02 1.315E-01 4.157E-02 
1.250E+01 1.461E+02 1.088E-01 5.749E-02 
1.500E+01 1.318E+02 9.317E-02 7.531E-02 
1.750E+01 1.205E+02 8.165E-02 9.494E-02 
2.000E+01 1.113E+02 7.279E-02 1.163E-01 
2.500E+01 9.720E+01 6.004E-02 1.640E-01 
2.750E+01 9.160E+01 5.528E-02 1.902E-01 
3.000E+01 8.672E+01 5.126E-02 2.180E-01 
3.500E+01 7.860E+01 4.483E-02 2.781E-01 
4.000E+01 7.207E+01 3.989E-02 3.440E-01 
4.500E+01 6.670E+01 3.599E-02 4.155E-01 
5.000E+01 6.218E+01 3.281E-02 4.926E-01 
5.500E+01 5.832E+01 3.018E-02 5.749E-01 
6.000E+01 5.498E+01 2.795E-02 6.626E-01 
6.500E+01 5.206E+01 2.605E-02 7.553E-01 
7.000E+01 4.947E+01 2.440E-02 8.531E-01 
7.500E+01 4.717E+01 2.295E-02 9.558E-01 
8.000E+01 4.511E+01 2.168E-02 1.063E+00 
8.500E+01 4.324E+01 2.054E-02 1.176E+00 
9.000E+01 4.155E+01 1.953E-02 1.293E+00 
9.500E+01 4.000E+01 1.861E-02 1.415E+00 
1.000E+02 3.859E+01 1.778E-02 1.541E+00 
1.250E+02 3.294E+01 1.457E-02 2.240E+00 
1.500E+02 2.892E+01 1.238E-02 3.047E+00 
1.750E+02 2.590E+01 1.078E-02 3.956E+00 
2.000E+02 2.354E+01 9.559E-03 4.963E+00 
2.250E+02 2.164E+01 8.595E-03 6.066E+00 
2.500E+02 2.007E+01 7.814E-03 7.259E+00 
2.750E+02 1.876E+01 7.168E-03 8.541E+00 
3.000E+02 1.764E+01 6.623E-03 9.908E+00 
3.500E+02 1.584E+01 5.755E-03 1.289E+01 
