ASTAR: Stopping Powers and Range Tables for Alpha Particles

BERYLLIUM                                                               

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 1.463E+02 1.669E+02 1.881E-06 
1.500E-03 1.771E+02 1.503E+02 2.833E-06 
2.000E-03 2.029E+02 1.370E+02 3.807E-06 
2.500E-03 2.254E+02 1.263E+02 4.789E-06 
3.000E-03 2.456E+02 1.174E+02 5.773E-06 
4.000E-03 2.813E+02 1.033E+02 7.731E-06 
5.000E-03 3.125E+02 9.275E+01 9.662E-06 
6.000E-03 3.406E+02 8.441E+01 1.156E-05 
7.000E-03 3.662E+02 7.764E+01 1.342E-05 
8.000E-03 3.900E+02 7.202E+01 1.523E-05 
9.000E-03 4.122E+02 6.726E+01 1.701E-05 
1.000E-02 4.332E+02 6.317E+01 1.875E-05 
1.250E-02 4.811E+02 5.505E+01 2.294E-05 
1.500E-02 5.241E+02 4.898E+01 2.693E-05 
1.750E-02 5.633E+02 4.425E+01 3.074E-05 
2.000E-02 5.997E+02 4.044E+01 3.439E-05 
2.250E-02 6.336E+02 3.730E+01 3.790E-05 
2.500E-02 6.654E+02 3.465E+01 4.128E-05 
2.750E-02 6.956E+02 3.240E+01 4.455E-05 
3.000E-02 7.242E+02 3.045E+01 4.772E-05 
3.500E-02 7.777E+02 2.724E+01 5.378E-05 
4.000E-02 8.270E+02 2.469E+01 5.953E-05 
4.500E-02 8.727E+02 2.262E+01 6.502E-05 
5.000E-02 9.155E+02 2.090E+01 7.028E-05 
5.500E-02 9.557E+02 1.945E+01 7.533E-05 
6.000E-02 9.937E+02 1.820E+01 8.021E-05 
6.500E-02 1.030E+03 1.711E+01 8.493E-05 
7.000E-02 1.064E+03 1.616E+01 8.951E-05 
7.500E-02 1.096E+03 1.532E+01 9.397E-05 
8.000E-02 1.128E+03 1.457E+01 9.831E-05 
8.500E-02 1.157E+03 1.389E+01 1.025E-04 
9.000E-02 1.186E+03 1.328E+01 1.067E-04 
9.500E-02 1.213E+03 1.273E+01 1.107E-04 
1.000E-01 1.239E+03 1.222E+01 1.147E-04 
1.250E-01 1.356E+03 1.023E+01 1.335E-04 
1.500E-01 1.453E+03 8.833E+00 1.510E-04 
1.750E-01 1.534E+03 7.794E+00 1.674E-04 
2.000E-01 1.602E+03 6.988E+00 1.832E-04 
2.250E-01 1.659E+03 6.343E+00 1.983E-04 
2.500E-01 1.706E+03 5.815E+00 2.130E-04 
2.750E-01 1.745E+03 5.373E+00 2.274E-04 
3.000E-01 1.776E+03 4.998E+00 2.415E-04 
3.500E-01 1.821E+03 4.394E+00 2.690E-04 
4.000E-01 1.846E+03 3.928E+00 2.961E-04 
4.500E-01 1.856E+03 3.557E+00 3.230E-04 
5.000E-01 1.855E+03 3.254E+00 3.498E-04 
5.500E-01 1.845E+03 3.002E+00 3.767E-04 
6.000E-01 1.829E+03 2.788E+00 4.038E-04 
6.500E-01 1.809E+03 2.604E+00 4.312E-04 
7.000E-01 1.785E+03 2.444E+00 4.589E-04 
7.500E-01 1.759E+03 2.304E+00 4.870E-04 
8.000E-01 1.732E+03 2.180E+00 5.156E-04 
8.500E-01 1.703E+03 2.070E+00 5.446E-04 
9.000E-01 1.674E+03 1.970E+00 5.742E-04 
9.500E-01 1.645E+03 1.881E+00 6.042E-04 
1.000E+00 1.617E+03 1.799E+00 6.348E-04 
1.250E+00 1.499E+03 1.484E+00 7.953E-04 
1.500E+00 1.406E+03 1.266E+00 9.673E-04 
1.750E+00 1.326E+03 1.107E+00 1.150E-03 
2.000E+00 1.254E+03 9.853E-01 1.344E-03 
2.250E+00 1.189E+03 8.887E-01 1.548E-03 
2.500E+00 1.129E+03 8.102E-01 1.764E-03 
2.750E+00 1.075E+03 7.450E-01 1.991E-03 
3.000E+00 1.024E+03 6.900E-01 2.229E-03 
3.500E+00 9.353E+02 6.021E-01 2.739E-03 
4.000E+00 8.587E+02 5.350E-01 3.297E-03 
4.500E+00 7.929E+02 4.818E-01 3.903E-03 
5.000E+00 7.376E+02 4.387E-01 4.556E-03 
5.500E+00 6.900E+02 4.030E-01 5.257E-03 
6.000E+00 6.487E+02 3.729E-01 6.004E-03 
6.500E+00 6.125E+02 3.471E-01 6.797E-03 
7.000E+00 5.804E+02 3.248E-01 7.635E-03 
7.500E+00 5.520E+02 3.053E-01 8.518E-03 
8.000E+00 5.264E+02 2.881E-01 9.445E-03 
8.500E+00 5.033E+02 2.728E-01 1.042E-02 
9.000E+00 4.824E+02 2.591E-01 1.143E-02 
9.500E+00 4.633E+02 2.468E-01 1.249E-02 
1.000E+01 4.458E+02 2.357E-01 1.359E-02 
1.250E+01 3.763E+02 1.926E-01 1.971E-02 
1.500E+01 3.270E+02 1.632E-01 2.685E-02 
1.750E+01 2.900E+02 1.418E-01 3.498E-02 
2.000E+01 2.610E+02 1.255E-01 4.407E-02 
2.500E+01 2.187E+02 1.022E-01 6.508E-02 
2.750E+01 2.026E+02 9.359E-02 7.695E-02 
3.000E+01 1.889E+02 8.635E-02 8.973E-02 
3.500E+01 1.669E+02 7.483E-02 1.179E-01 
4.000E+01 1.498E+02 6.605E-02 1.496E-01 
4.500E+01 1.361E+02 5.915E-02 1.846E-01 
5.000E+01 1.249E+02 5.358E-02 2.230E-01 
5.500E+01 1.156E+02 4.900E-02 2.646E-01 
6.000E+01 1.077E+02 4.514E-02 3.094E-01 
6.500E+01 1.009E+02 4.185E-02 3.574E-01 
7.000E+01 9.493E+01 3.901E-02 4.085E-01 
7.500E+01 8.972E+01 3.653E-02 4.627E-01 
8.000E+01 8.511E+01 3.434E-02 5.199E-01 
8.500E+01 8.099E+01 3.240E-02 5.801E-01 
9.000E+01 7.730E+01 3.068E-02 6.432E-01 
9.500E+01 7.396E+01 2.912E-02 7.093E-01 
1.000E+02 7.092E+01 2.772E-02 7.783E-01 
1.250E+02 5.914E+01 2.236E-02 1.166E+00 
1.500E+02 5.101E+01 1.875E-02 1.622E+00 
1.750E+02 4.505E+01 1.615E-02 2.145E+00 
2.000E+02 4.049E+01 1.418E-02 2.731E+00 
2.250E+02 3.687E+01 1.263E-02 3.378E+00 
2.500E+02 3.393E+01 1.138E-02 4.085E+00 
2.750E+02 3.150E+01 1.037E-02 4.850E+00 
3.000E+02 2.944E+01 9.519E-03 5.672E+00 
3.500E+02 2.616E+01 8.180E-03 7.476E+00 
