ASTAR: Stopping Powers and Range Tables for Alpha Particles

CESIUM IODIDE                                                           

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 4.060E+01 1.051E+01 4.704E-06 
1.500E-03 4.854E+01 1.126E+01 6.409E-06 
2.000E-03 5.516E+01 1.167E+01 8.067E-06 
2.500E-03 6.095E+01 1.190E+01 9.690E-06 
3.000E-03 6.615E+01 1.203E+01 1.129E-05 
4.000E-03 7.533E+01 1.210E+01 1.446E-05 
5.000E-03 8.338E+01 1.204E+01 1.760E-05 
6.000E-03 9.064E+01 1.192E+01 2.072E-05 
7.000E-03 9.729E+01 1.176E+01 2.382E-05 
8.000E-03 1.035E+02 1.159E+01 2.692E-05 
9.000E-03 1.093E+02 1.141E+01 3.000E-05 
1.000E-02 1.148E+02 1.122E+01 3.307E-05 
1.250E-02 1.273E+02 1.077E+01 4.072E-05 
1.500E-02 1.387E+02 1.035E+01 4.830E-05 
1.750E-02 1.492E+02 9.961E+00 5.581E-05 
2.000E-02 1.589E+02 9.601E+00 6.325E-05 
2.250E-02 1.680E+02 9.269E+00 7.062E-05 
2.500E-02 1.767E+02 8.963E+00 7.793E-05 
2.750E-02 1.849E+02 8.680E+00 8.516E-05 
3.000E-02 1.928E+02 8.418E+00 9.232E-05 
3.500E-02 2.076E+02 7.947E+00 1.064E-04 
4.000E-02 2.213E+02 7.534E+00 1.203E-04 
4.500E-02 2.342E+02 7.170E+00 1.338E-04 
5.000E-02 2.464E+02 6.845E+00 1.472E-04 
5.500E-02 2.580E+02 6.554E+00 1.602E-04 
6.000E-02 2.691E+02 6.290E+00 1.731E-04 
6.500E-02 2.797E+02 6.051E+00 1.857E-04 
7.000E-02 2.899E+02 5.832E+00 1.982E-04 
7.500E-02 2.997E+02 5.630E+00 2.104E-04 
8.000E-02 3.092E+02 5.445E+00 2.224E-04 
8.500E-02 3.183E+02 5.273E+00 2.343E-04 
9.000E-02 3.271E+02 5.113E+00 2.459E-04 
9.500E-02 3.357E+02 4.965E+00 2.575E-04 
1.000E-01 3.440E+02 4.826E+00 2.688E-04 
1.250E-01 3.823E+02 4.246E+00 3.235E-04 
1.500E-01 4.158E+02 3.806E+00 3.751E-04 
1.750E-01 4.456E+02 3.458E+00 4.242E-04 
2.000E-01 4.721E+02 3.176E+00 4.713E-04 
2.250E-01 4.957E+02 2.940E+00 5.166E-04 
2.500E-01 5.167E+02 2.742E+00 5.605E-04 
2.750E-01 5.354E+02 2.571E+00 6.032E-04 
3.000E-01 5.518E+02 2.422E+00 6.449E-04 
3.500E-01 5.789E+02 2.176E+00 7.260E-04 
4.000E-01 5.992E+02 1.980E+00 8.046E-04 
4.500E-01 6.138E+02 1.819E+00 8.817E-04 
5.000E-01 6.238E+02 1.685E+00 9.578E-04 
5.500E-01 6.299E+02 1.571E+00 1.033E-03 
6.000E-01 6.330E+02 1.473E+00 1.109E-03 
6.500E-01 6.336E+02 1.387E+00 1.184E-03 
7.000E-01 6.323E+02 1.312E+00 1.260E-03 
7.500E-01 6.295E+02 1.245E+00 1.336E-03 
8.000E-01 6.255E+02 1.186E+00 1.412E-03 
8.500E-01 6.206E+02 1.132E+00 1.490E-03 
9.000E-01 6.151E+02 1.083E+00 1.568E-03 
9.500E-01 6.091E+02 1.039E+00 1.647E-03 
1.000E+00 6.028E+02 9.985E-01 1.727E-03 
1.250E+00 5.677E+02 8.387E-01 2.143E-03 
1.500E+00 5.330E+02 7.261E-01 2.587E-03 
1.750E+00 5.018E+02 6.419E-01 3.060E-03 
2.000E+00 4.744E+02 5.765E-01 3.563E-03 
2.250E+00 4.503E+02 5.241E-01 4.095E-03 
2.500E+00 4.290E+02 4.810E-01 4.655E-03 
2.750E+00 4.101E+02 4.449E-01 5.242E-03 
3.000E+00 3.933E+02 4.142E-01 5.856E-03 
3.500E+00 3.646E+02 3.648E-01 7.159E-03 
4.000E+00 3.409E+02 3.265E-01 8.561E-03 
4.500E+00 3.210E+02 2.960E-01 1.005E-02 
5.000E+00 3.040E+02 2.710E-01 1.164E-02 
5.500E+00 2.892E+02 2.502E-01 1.331E-02 
6.000E+00 2.759E+02 2.325E-01 1.506E-02 
6.500E+00 2.641E+02 2.173E-01 1.689E-02 
7.000E+00 2.536E+02 2.041E-01 1.881E-02 
7.500E+00 2.439E+02 1.925E-01 2.080E-02 
8.000E+00 2.350E+02 1.822E-01 2.287E-02 
8.500E+00 2.267E+02 1.731E-01 2.501E-02 
9.000E+00 2.189E+02 1.649E-01 2.724E-02 
9.500E+00 2.119E+02 1.574E-01 2.954E-02 
1.000E+01 2.054E+02 1.507E-01 3.192E-02 
1.250E+01 1.793E+02 1.244E-01 4.488E-02 
1.500E+01 1.602E+02 1.063E-01 5.954E-02 
1.750E+01 1.453E+02 9.305E-02 7.583E-02 
2.000E+01 1.334E+02 8.287E-02 9.368E-02 
2.500E+01 1.153E+02 6.823E-02 1.339E-01 
2.750E+01 1.082E+02 6.277E-02 1.561E-01 
3.000E+01 1.021E+02 5.817E-02 1.798E-01 
3.500E+01 9.196E+01 5.080E-02 2.311E-01 
4.000E+01 8.389E+01 4.517E-02 2.878E-01 
4.500E+01 7.732E+01 4.071E-02 3.496E-01 
5.000E+01 7.182E+01 3.709E-02 4.164E-01 
5.500E+01 6.716E+01 3.408E-02 4.880E-01 
6.000E+01 6.315E+01 3.155E-02 5.644E-01 
6.500E+01 5.965E+01 2.938E-02 6.455E-01 
7.000E+01 5.658E+01 2.751E-02 7.312E-01 
7.500E+01 5.384E+01 2.587E-02 8.213E-01 
8.000E+01 5.140E+01 2.442E-02 9.159E-01 
8.500E+01 4.920E+01 2.313E-02 1.015E+00 
9.000E+01 4.720E+01 2.198E-02 1.118E+00 
9.500E+01 4.539E+01 2.094E-02 1.226E+00 
1.000E+02 4.372E+01 2.000E-02 1.337E+00 
1.250E+02 3.715E+01 1.637E-02 1.957E+00 
1.500E+02 3.250E+01 1.388E-02 2.675E+00 
1.750E+02 2.903E+01 1.208E-02 3.487E+00 
2.000E+02 2.633E+01 1.070E-02 4.389E+00 
2.250E+02 2.416E+01 9.607E-03 5.378E+00 
2.500E+02 2.238E+01 8.725E-03 6.449E+00 
2.750E+02 2.089E+01 7.996E-03 7.602E+00 
3.000E+02 1.962E+01 7.382E-03 8.833E+00 
