ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILICON                                                                 

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 4.732E+01 7.396E+01 2.534E-06 
1.500E-03 6.163E+01 7.254E+01 3.711E-06 
2.000E-03 7.434E+01 7.031E+01 4.907E-06 
2.500E-03 8.598E+01 6.794E+01 6.114E-06 
3.000E-03 9.682E+01 6.562E+01 7.332E-06 
4.000E-03 1.168E+02 6.137E+01 9.782E-06 
5.000E-03 1.351E+02 5.767E+01 1.224E-05 
6.000E-03 1.521E+02 5.445E+01 1.468E-05 
7.000E-03 1.682E+02 5.163E+01 1.711E-05 
8.000E-03 1.834E+02 4.913E+01 1.950E-05 
9.000E-03 1.981E+02 4.691E+01 2.188E-05 
1.000E-02 2.121E+02 4.492E+01 2.421E-05 
1.250E-02 2.453E+02 4.072E+01 2.991E-05 
1.500E-02 2.761E+02 3.735E+01 3.540E-05 
1.750E-02 3.052E+02 3.457E+01 4.068E-05 
2.000E-02 3.327E+02 3.224E+01 4.577E-05 
2.250E-02 3.591E+02 3.024E+01 5.067E-05 
2.500E-02 3.844E+02 2.851E+01 5.541E-05 
2.750E-02 4.087E+02 2.700E+01 5.998E-05 
3.000E-02 4.322E+02 2.566E+01 6.441E-05 
3.500E-02 4.770E+02 2.339E+01 7.287E-05 
4.000E-02 5.193E+02 2.153E+01 8.086E-05 
4.500E-02 5.594E+02 1.998E+01 8.844E-05 
5.000E-02 5.975E+02 1.866E+01 9.567E-05 
5.500E-02 6.339E+02 1.753E+01 1.026E-04 
6.000E-02 6.686E+02 1.654E+01 1.092E-04 
6.500E-02 7.019E+02 1.567E+01 1.156E-04 
7.000E-02 7.337E+02 1.489E+01 1.217E-04 
7.500E-02 7.643E+02 1.420E+01 1.277E-04 
8.000E-02 7.935E+02 1.357E+01 1.335E-04 
8.500E-02 8.216E+02 1.301E+01 1.391E-04 
9.000E-02 8.485E+02 1.249E+01 1.445E-04 
9.500E-02 8.744E+02 1.202E+01 1.498E-04 
1.000E-01 8.991E+02 1.159E+01 1.550E-04 
1.250E-01 1.008E+03 9.850E+00 1.794E-04 
1.500E-01 1.097E+03 8.603E+00 2.019E-04 
1.750E-01 1.168E+03 7.660E+00 2.229E-04 
2.000E-01 1.225E+03 6.918E+00 2.430E-04 
2.250E-01 1.270E+03 6.318E+00 2.624E-04 
2.500E-01 1.307E+03 5.822E+00 2.812E-04 
2.750E-01 1.336E+03 5.405E+00 2.996E-04 
3.000E-01 1.359E+03 5.047E+00 3.177E-04 
3.500E-01 1.390E+03 4.468E+00 3.533E-04 
4.000E-01 1.408E+03 4.016E+00 3.884E-04 
4.500E-01 1.416E+03 3.653E+00 4.232E-04 
5.000E-01 1.417E+03 3.355E+00 4.580E-04 
5.500E-01 1.413E+03 3.105E+00 4.929E-04 
6.000E-01 1.405E+03 2.893E+00 5.279E-04 
6.500E-01 1.395E+03 2.709E+00 5.632E-04 
7.000E-01 1.383E+03 2.549E+00 5.989E-04 
7.500E-01 1.370E+03 2.409E+00 6.348E-04 
8.000E-01 1.356E+03 2.284E+00 6.712E-04 
8.500E-01 1.341E+03 2.172E+00 7.080E-04 
9.000E-01 1.326E+03 2.071E+00 7.452E-04 
9.500E-01 1.310E+03 1.980E+00 7.829E-04 
1.000E+00 1.295E+03 1.897E+00 8.210E-04 
1.250E+00 1.218E+03 1.574E+00 1.019E-03 
1.500E+00 1.146E+03 1.350E+00 1.229E-03 
1.750E+00 1.081E+03 1.185E+00 1.453E-03 
2.000E+00 1.023E+03 1.058E+00 1.690E-03 
2.250E+00 9.706E+02 9.568E-01 1.940E-03 
2.500E+00 9.239E+02 8.743E-01 2.203E-03 
2.750E+00 8.814E+02 8.057E-01 2.479E-03 
3.000E+00 8.424E+02 7.476E-01 2.768E-03 
3.500E+00 7.731E+02 6.546E-01 3.386E-03 
4.000E+00 7.131E+02 5.832E-01 4.058E-03 
4.500E+00 6.612E+02 5.266E-01 4.785E-03 
5.000E+00 6.174E+02 4.805E-01 5.566E-03 
5.500E+00 5.797E+02 4.422E-01 6.400E-03 
6.000E+00 5.470E+02 4.098E-01 7.286E-03 
6.500E+00 5.182E+02 3.821E-01 8.223E-03 
7.000E+00 4.927E+02 3.581E-01 9.210E-03 
7.500E+00 4.700E+02 3.371E-01 1.025E-02 
8.000E+00 4.495E+02 3.185E-01 1.133E-02 
8.500E+00 4.309E+02 3.020E-01 1.247E-02 
9.000E+00 4.140E+02 2.872E-01 1.365E-02 
9.500E+00 3.986E+02 2.738E-01 1.488E-02 
1.000E+01 3.844E+02 2.617E-01 1.615E-02 
1.250E+01 3.278E+02 2.148E-01 2.321E-02 
1.500E+01 2.872E+02 1.827E-01 3.136E-02 
1.750E+01 2.565E+02 1.593E-01 4.057E-02 
2.000E+01 2.325E+02 1.414E-01 5.080E-02 
2.500E+01 1.968E+02 1.158E-01 7.422E-02 
2.750E+01 1.832E+02 1.063E-01 8.738E-02 
3.000E+01 1.715E+02 9.825E-02 1.015E-01 
3.500E+01 1.526E+02 8.549E-02 1.324E-01 
4.000E+01 1.377E+02 7.576E-02 1.669E-01 
4.500E+01 1.258E+02 6.809E-02 2.048E-01 
5.000E+01 1.159E+02 6.186E-02 2.462E-01 
5.500E+01 1.077E+02 5.671E-02 2.909E-01 
6.000E+01 1.006E+02 5.237E-02 3.389E-01 
6.500E+01 9.454E+01 4.867E-02 3.901E-01 
7.000E+01 8.922E+01 4.547E-02 4.445E-01 
7.500E+01 8.453E+01 4.267E-02 5.020E-01 
8.000E+01 8.036E+01 4.021E-02 5.626E-01 
8.500E+01 7.662E+01 3.803E-02 6.263E-01 
9.000E+01 7.326E+01 3.607E-02 6.929E-01 
9.500E+01 7.021E+01 3.431E-02 7.626E-01 
1.000E+02 6.744E+01 3.272E-02 8.351E-01 
1.250E+02 5.659E+01 2.659E-02 1.241E+00 
1.500E+02 4.905E+01 2.241E-02 1.716E+00 
1.750E+02 4.349E+01 1.939E-02 2.258E+00 
2.000E+02 3.920E+01 1.710E-02 2.864E+00 
2.250E+02 3.580E+01 1.529E-02 3.531E+00 
2.500E+02 3.302E+01 1.383E-02 4.258E+00 
2.750E+02 3.070E+01 1.263E-02 5.043E+00 
3.000E+02 2.875E+01 1.162E-02 5.884E+00 
3.500E+02 2.562E+01 1.002E-02 7.728E+00 
