ASTAR: Stopping Powers and Range Tables for Alpha Particles

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

1.000E-03 1.632E+02 1.829E+02 1.681E-06 
1.500E-03 1.953E+02 1.680E+02 2.487E-06 
2.000E-03 2.218E+02 1.554E+02 3.310E-06 
2.500E-03 2.449E+02 1.449E+02 4.139E-06 
3.000E-03 2.656E+02 1.359E+02 4.972E-06 
4.000E-03 3.019E+02 1.215E+02 6.637E-06 
5.000E-03 3.335E+02 1.103E+02 8.292E-06 
6.000E-03 3.618E+02 1.013E+02 9.928E-06 
7.000E-03 3.876E+02 9.388E+01 1.154E-05 
8.000E-03 4.115E+02 8.764E+01 1.313E-05 
9.000E-03 4.338E+02 8.230E+01 1.470E-05 
1.000E-02 4.548E+02 7.767E+01 1.624E-05 
1.250E-02 5.027E+02 6.835E+01 1.998E-05 
1.500E-02 5.457E+02 6.127E+01 2.359E-05 
1.750E-02 5.848E+02 5.568E+01 2.706E-05 
2.000E-02 6.210E+02 5.114E+01 3.040E-05 
2.250E-02 6.548E+02 4.736E+01 3.364E-05 
2.500E-02 6.866E+02 4.416E+01 3.678E-05 
2.750E-02 7.167E+02 4.142E+01 3.983E-05 
3.000E-02 7.453E+02 3.903E+01 4.280E-05 
3.500E-02 7.987E+02 3.507E+01 4.850E-05 
4.000E-02 8.479E+02 3.191E+01 5.394E-05 
4.500E-02 8.938E+02 2.933E+01 5.916E-05 
5.000E-02 9.368E+02 2.717E+01 6.417E-05 
5.500E-02 9.774E+02 2.534E+01 6.900E-05 
6.000E-02 1.016E+03 2.376E+01 7.368E-05 
6.500E-02 1.052E+03 2.238E+01 7.821E-05 
7.000E-02 1.087E+03 2.117E+01 8.262E-05 
7.500E-02 1.121E+03 2.009E+01 8.691E-05 
8.000E-02 1.153E+03 1.913E+01 9.109E-05 
8.500E-02 1.183E+03 1.827E+01 9.517E-05 
9.000E-02 1.213E+03 1.748E+01 9.916E-05 
9.500E-02 1.241E+03 1.677E+01 1.031E-04 
1.000E-01 1.269E+03 1.612E+01 1.069E-04 
1.250E-01 1.393E+03 1.354E+01 1.250E-04 
1.500E-01 1.500E+03 1.173E+01 1.419E-04 
1.750E-01 1.593E+03 1.037E+01 1.577E-04 
2.000E-01 1.673E+03 9.315E+00 1.727E-04 
2.250E-01 1.744E+03 8.468E+00 1.871E-04 
2.500E-01 1.806E+03 7.773E+00 2.010E-04 
2.750E-01 1.860E+03 7.191E+00 2.144E-04 
3.000E-01 1.908E+03 6.696E+00 2.275E-04 
3.500E-01 1.985E+03 5.897E+00 2.529E-04 
4.000E-01 2.042E+03 5.279E+00 2.776E-04 
4.500E-01 2.083E+03 4.786E+00 3.016E-04 
5.000E-01 2.110E+03 4.382E+00 3.253E-04 
5.500E-01 2.126E+03 4.046E+00 3.487E-04 
6.000E-01 2.133E+03 3.760E+00 3.721E-04 
6.500E-01 2.133E+03 3.515E+00 3.954E-04 
7.000E-01 2.126E+03 3.301E+00 4.188E-04 
7.500E-01 2.115E+03 3.114E+00 4.422E-04 
8.000E-01 2.100E+03 2.948E+00 4.659E-04 
8.500E-01 2.082E+03 2.800E+00 4.897E-04 
9.000E-01 2.061E+03 2.667E+00 5.137E-04 
9.500E-01 2.038E+03 2.547E+00 5.381E-04 
1.000E+00 2.014E+03 2.437E+00 5.626E-04 
1.250E+00 1.874E+03 2.013E+00 6.908E-04 
1.500E+00 1.731E+03 1.720E+00 8.293E-04 
1.750E+00 1.599E+03 1.506E+00 9.793E-04 
2.000E+00 1.482E+03 1.341E+00 1.141E-03 
2.250E+00 1.379E+03 1.210E+00 1.316E-03 
2.500E+00 1.290E+03 1.104E+00 1.503E-03 
2.750E+00 1.215E+03 1.016E+00 1.703E-03 
3.000E+00 1.148E+03 9.414E-01 1.914E-03 
3.500E+00 1.038E+03 8.223E-01 2.372E-03 
4.000E+00 9.485E+02 7.311E-01 2.876E-03 
4.500E+00 8.753E+02 6.590E-01 3.425E-03 
5.000E+00 8.138E+02 6.004E-01 4.017E-03 
5.500E+00 7.615E+02 5.517E-01 4.651E-03 
6.000E+00 7.163E+02 5.107E-01 5.328E-03 
6.500E+00 6.766E+02 4.757E-01 6.045E-03 
7.000E+00 6.416E+02 4.453E-01 6.803E-03 
7.500E+00 6.105E+02 4.188E-01 7.602E-03 
8.000E+00 5.825E+02 3.953E-01 8.439E-03 
8.500E+00 5.573E+02 3.745E-01 9.316E-03 
9.000E+00 5.344E+02 3.558E-01 1.023E-02 
9.500E+00 5.136E+02 3.390E-01 1.118E-02 
1.000E+01 4.945E+02 3.238E-01 1.218E-02 
1.250E+01 4.186E+02 2.650E-01 1.769E-02 
1.500E+01 3.645E+02 2.248E-01 2.410E-02 
1.750E+01 3.238E+02 1.955E-01 3.138E-02 
2.000E+01 2.920E+02 1.732E-01 3.951E-02 
2.500E+01 2.452E+02 1.413E-01 5.826E-02 
2.750E+01 2.275E+02 1.295E-01 6.884E-02 
3.000E+01 2.123E+02 1.195E-01 8.021E-02 
3.500E+01 1.878E+02 1.037E-01 1.053E-01 
4.000E+01 1.688E+02 9.168E-02 1.334E-01 
4.500E+01 1.536E+02 8.221E-02 1.644E-01 
5.000E+01 1.411E+02 7.454E-02 1.984E-01 
5.500E+01 1.306E+02 6.819E-02 2.353E-01 
6.000E+01 1.217E+02 6.286E-02 2.749E-01 
6.500E+01 1.141E+02 5.831E-02 3.173E-01 
7.000E+01 1.075E+02 5.439E-02 3.624E-01 
7.500E+01 1.016E+02 5.097E-02 4.103E-01 
8.000E+01 9.642E+01 4.796E-02 4.608E-01 
8.500E+01 9.180E+01 4.529E-02 5.139E-01 
9.000E+01 8.764E+01 4.291E-02 5.696E-01 
9.500E+01 8.388E+01 4.077E-02 6.279E-01 
1.000E+02 8.046E+01 3.884E-02 6.887E-01 
1.250E+02 6.717E+01 3.139E-02 1.030E+00 
1.500E+02 5.800E+01 2.635E-02 1.432E+00 
1.750E+02 5.126E+01 2.271E-02 1.891E+00 
2.000E+02 4.610E+01 1.996E-02 2.405E+00 
2.250E+02 4.200E+01 1.781E-02 2.974E+00 
2.500E+02 3.867E+01 1.608E-02 3.594E+00 
2.750E+02 3.591E+01 1.466E-02 4.265E+00 
3.000E+02 3.358E+01 1.346E-02 4.985E+00 
