#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   9.9206e-03      5.4052e-01      2.1939e-03      6.9830e-03
   1.0913e-02      6.3688e-01      5.1946e-03      6.5370e-03
   1.1905e-02      7.1117e-01      9.3448e-03      6.1520e-03
   1.2897e-02      7.6753e-01      1.4555e-02      5.8140e-03
   1.3889e-02      8.1077e-01      2.0741e-02      5.5160e-03
   1.4881e-02      8.4465e-01      2.7831e-02      5.2500e-03
   1.5873e-02      8.7182e-01      3.5746e-02      5.0110e-03
   1.6865e-02      8.9406e-01      4.4421e-02      4.7950e-03
   1.7857e-02      9.1264e-01      5.3797e-02      4.6000e-03
   1.9841e-02      9.4223e-01      7.4415e-02      4.2570e-03
   2.2321e-02      9.6958e-01      1.0317e-01      3.9010e-03
   2.4802e-02      9.9013e-01      1.3463e-01      3.6050e-03
   2.7282e-02      1.0063e+00      1.6819e-01      3.3550e-03
   2.9762e-02      1.0196e+00      2.0337e-01      3.1410e-03
   3.2242e-02      1.0307e+00      2.3981e-01      2.9550e-03
   3.4722e-02      1.0402e+00      2.7718e-01      2.7910e-03
   3.7202e-02      1.0485e+00      3.1512e-01      2.6470e-03
   3.9683e-02      1.0559e+00      3.5351e-01      2.5180e-03
   4.4643e-02      1.0686e+00      4.3048e-01      2.2970e-03
   4.9603e-02      1.0792e+00      5.0689e-01      2.1150e-03
   5.4563e-02      1.0884e+00      5.8152e-01      1.9620e-03
   5.9524e-02      1.0964e+00      6.5374e-01      1.8310e-03
   6.4484e-02      1.1036e+00      7.2286e-01      1.7180e-03
   6.9444e-02      1.1102e+00      7.8847e-01      1.6190e-03
   7.9365e-02      1.1219e+00      9.0853e-01      1.4540e-03
   8.9286e-02      1.1322e+00      1.0129e+00      1.3220e-03
   9.9206e-02      1.1416e+00      1.1021e+00      1.2140e-03
   1.0913e-01      1.1503e+00      1.1773e+00      1.1230e-03
   1.1905e-01      1.1585e+00      1.2399e+00      1.0460e-03
   1.2897e-01      1.1664e+00      1.2914e+00      9.7940e-04
   1.3889e-01      1.1739e+00      1.3336e+00      9.2140e-04
   1.4881e-01      1.1813e+00      1.3677e+00      8.7040e-04
   1.5873e-01      1.1884e+00      1.3949e+00      8.2510e-04
   1.6865e-01      1.1955e+00      1.4161e+00      7.8460e-04
   1.7857e-01      1.2025e+00      1.4326e+00      7.4820e-04
   1.9841e-01      1.2162e+00      1.4538e+00      6.8530e-04
   2.2321e-01      1.2332e+00      1.4686e+00      6.2100e-04
   2.4802e-01      1.2500e+00      1.4710e+00      5.6840e-04
   2.7282e-01      1.2669e+00      1.4649e+00      5.2450e-04
   2.9762e-01      1.2839e+00      1.4530e+00      4.8740e-04
   3.2242e-01      1.3011e+00      1.4372e+00      4.5540e-04
   3.4722e-01      1.3184e+00      1.4186e+00      4.2770e-04
   3.7202e-01      1.3360e+00      1.3981e+00      4.0330e-04
   3.9683e-01      1.3539e+00      1.3765e+00      3.8170e-04
   4.4643e-01      1.3906e+00      1.3309e+00      3.4520e-04
   4.9603e-01      1.4285e+00      1.2848e+00      3.1540e-04
   5.4563e-01      1.4678e+00      1.2387e+00      2.9070e-04
   5.9524e-01      1.5086e+00      1.1943e+00      2.6970e-04
   6.4484e-01      1.5509e+00      1.1511e+00      2.5170e-04
   6.9444e-01      1.5948e+00      1.1096e+00      2.3610e-04
   7.9365e-01      1.6875e+00      1.0333e+00      2.1040e-04
   8.9286e-01      1.7869e+00      9.6495e-01      1.8990e-04
   9.9206e-01      1.8931e+00      9.0446e-01      1.7330e-04
   1.0913e+00      2.0056e+00      8.6038e-01      1.5950e-04
   1.1905e+00      2.1239e+00      8.1687e-01      1.4780e-04
   1.2897e+00      2.2488e+00      7.7298e-01      1.3780e-04
   1.3889e+00      2.3804e+00      7.3517e-01      1.2920e-04
   1.4881e+00      2.5184e+00      7.0298e-01      1.2160e-04
   1.5873e+00      2.6623e+00      6.7585e-01      1.1490e-04
   1.6865e+00      2.8119e+00      6.5075e-01      1.0890e-04
   1.7857e+00      2.9672e+00      6.2714e-01      1.0360e-04
   1.9841e+00      3.2951e+00      5.8435e-01      9.4420e-05
   2.2321e+00      3.7378e+00      5.3784e-01      8.5100e-05
   2.4802e+00      4.2171e+00      4.9873e-01      7.7540e-05
   2.7282e+00      4.7323e+00      4.6501e-01      7.1260e-05
   2.9762e+00      5.2834e+00      4.3571e-01      6.5970e-05
   3.2242e+00      5.8703e+00      4.1014e-01      6.1450e-05
   3.4722e+00      6.4923e+00      3.8779e-01      5.7530e-05
   3.7202e+00      7.1490e+00      3.6787e-01      5.4110e-05
   3.9683e+00      7.8405e+00      3.5007e-01      5.1090e-05
   4.4643e+00      9.3248e+00      3.1955e-01      4.6000e-05
   4.9603e+00      1.0943e+01      2.9438e-01      4.1870e-05
   5.4563e+00      1.2693e+01      2.7314e-01      3.8450e-05
   5.9524e+00      1.4574e+01      2.5504e-01      3.5570e-05
   6.4484e+00      1.6582e+01      2.3940e-01      3.3110e-05
   6.9444e+00      1.8716e+01      2.2571e-01      3.0980e-05
   7.9365e+00      2.3358e+01      2.0291e-01      2.7480e-05
   8.9286e+00      2.8489e+01      1.8462e-01      2.4720e-05
   9.9206e+00      3.4099e+01      1.6959e-01      2.2480e-05
   1.0913e+01      4.0184e+01      1.5704e-01      2.0630e-05
   1.1905e+01      4.6730e+01      1.4638e-01      1.9070e-05
   1.2897e+01      5.3733e+01      1.3718e-01      1.7740e-05
   1.3889e+01      6.1188e+01      1.2915e-01      1.6590e-05
   1.4881e+01      6.9088e+01      1.2215e-01      1.5590e-05
   1.5873e+01      7.7427e+01      1.1590e-01      1.4710e-05
   1.6865e+01      8.6202e+01      1.1031e-01      1.3920e-05
   1.7857e+01      9.5408e+01      1.0531e-01      1.3220e-05
   1.9841e+01      1.1509e+02      9.6619e-02      1.2010e-05
   2.2321e+01      1.4204e+02      8.7807e-02      1.0800e-05
   2.4802e+01      1.7157e+02      8.0568e-02      9.8100e-06
   2.7282e+01      2.0358e+02      7.4589e-02      8.9950e-06
   2.9762e+01      2.3805e+02      6.9474e-02      8.3100e-06
   3.2242e+01      2.7493e+02      6.5108e-02      7.7260e-06
   3.4722e+01      3.1419e+02      6.1331e-02      7.2210e-06
   3.7202e+01      3.5578e+02      5.8026e-02      6.7810e-06
   3.9683e+01      3.9967e+02      5.5076e-02      6.3930e-06
   4.4643e+01      4.9417e+02      5.0119e-02      5.7410e-06
   4.9603e+01      5.9748e+02      4.6067e-02      5.2130e-06
   5.4563e+01      7.0935e+02      4.2723e-02      4.7780e-06
   5.9524e+01      8.2958e+02      3.9891e-02      4.4120e-06
   6.4484e+01      9.5793e+02      3.7463e-02      4.1000e-06
   6.9444e+01      1.0942e+03      3.5363e-02      3.8310e-06
   7.9365e+01      1.3900e+03      3.1901e-02      3.3890e-06
   8.9286e+01      1.7155e+03      2.9167e-02      3.0420e-06
   9.9206e+01      2.0696e+03      2.6952e-02      2.7610e-06
   1.0913e+02      2.4512e+03      2.5115e-02      2.5290e-06
   1.1905e+02      2.8591e+03      2.3569e-02      2.3350e-06
   1.2897e+02      3.2924e+03      2.2251e-02      2.1690e-06
   1.3889e+02      3.7503e+03      2.1110e-02      2.0260e-06
   1.4881e+02      4.2317e+03      2.0118e-02      1.9010e-06
   1.5873e+02      4.7360e+03      1.9241e-02      1.7910e-06
   1.6865e+02      5.2623e+03      1.8466e-02      1.6930e-06
   1.7857e+02      5.8100e+03      1.7770e-02      1.6060e-06
   1.9841e+02      6.9663e+03      1.6586e-02      1.4580e-06
   2.2321e+02      8.5195e+03      1.5390e-02      1.3070e-06
   2.4802e+02      1.0185e+04      1.4430e-02      1.1860e-06
   2.7282e+02      1.1953e+04      1.3639e-02      1.0860e-06
   2.9762e+02      1.3818e+04      1.2978e-02      1.0020e-06
   3.2242e+02      1.5772e+04      1.2420e-02      9.3010e-07
   3.4722e+02      1.7808e+04      1.1940e-02      8.6840e-07
   3.7202e+02      1.9923e+04      1.1527e-02      8.1460e-07
   3.9683e+02      2.2110e+04      1.1165e-02      7.6730e-07
   4.4643e+02      2.6679e+04      1.0563e-02      6.8780e-07
   4.9603e+02      3.1485e+04      1.0087e-02      6.2370e-07
   5.4563e+02      3.6501e+04      9.6973e-03      5.7090e-07
   5.9524e+02      4.1702e+04      9.3826e-03      5.2650e-07
   6.4484e+02      4.7064e+04      9.1190e-03      4.8880e-07
   6.9444e+02      5.2572e+04      8.8948e-03      4.5620e-07
   7.9365e+02      6.3956e+04      8.5407e-03      4.0290e-07
   8.9286e+02      7.5754e+04      8.2811e-03      3.6100e-07
   9.9206e+02      8.7881e+04      8.0804e-03      3.2730e-07
