#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   9.9206e-03      1.8677e-01      2.1747e-02      4.8120e-03
   1.0913e-02      2.2063e-01      2.8153e-02      4.5250e-03
   1.1905e-02      2.4841e-01      3.5105e-02      4.2750e-03
   1.2897e-02      2.7165e-01      4.2535e-02      4.0540e-03
   1.3889e-02      2.9145e-01      5.0345e-02      3.8580e-03
   1.4881e-02      3.0858e-01      5.8451e-02      3.6820e-03
   1.5873e-02      3.2361e-01      6.6801e-02      3.5240e-03
   1.6865e-02      3.3697e-01      7.5352e-02      3.3800e-03
   1.7857e-02      3.4895e-01      8.4047e-02      3.2490e-03
   1.9841e-02      3.6977e-01      1.0186e-01      3.0180e-03
   2.2321e-02      3.9132e-01      1.2467e-01      2.7770e-03
   2.4802e-02      4.0929e-01      1.4812e-01      2.5750e-03
   2.7282e-02      4.2462e-01      1.7222e-01      2.4040e-03
   2.9762e-02      4.3795e-01      1.9691e-01      2.2560e-03
   3.2242e-02      4.4970e-01      2.2206e-01      2.1270e-03
   3.4722e-02      4.6020e-01      2.4764e-01      2.0140e-03
   3.7202e-02      4.6967e-01      2.7350e-01      1.9130e-03
   3.9683e-02      4.7829e-01      2.9955e-01      1.8230e-03
   4.4643e-02      4.9354e-01      3.5163e-01      1.6680e-03
   4.9603e-02      5.0669e-01      4.0304e-01      1.5400e-03
   5.4563e-02      5.1828e-01      4.5306e-01      1.4320e-03
   5.9524e-02      5.2867e-01      5.0146e-01      1.3390e-03
   6.4484e-02      5.3812e-01      5.4777e-01      1.2590e-03
   6.9444e-02      5.4682e-01      5.9174e-01      1.1880e-03
   7.9365e-02      5.6255e-01      6.7256e-01      1.0700e-03
   8.9286e-02      5.7657e-01      7.4350e-01      9.7530e-04
   9.9206e-02      5.8939e-01      8.0515e-01      8.9710e-04
   1.0913e-01      6.0132e-01      8.5826e-01      8.3140e-04
   1.1905e-01      6.1258e-01      9.0360e-01      7.7550e-04
   1.2897e-01      6.2332e-01      9.4194e-01      7.2710e-04
   1.3889e-01      6.3367e-01      9.7438e-01      6.8490e-04
   1.4881e-01      6.4371e-01      1.0016e+00      6.4770e-04
   1.5873e-01      6.5350e-01      1.0243e+00      6.1460e-04
   1.6865e-01      6.6309e-01      1.0430e+00      5.8500e-04
   1.7857e-01      6.7253e-01      1.0583e+00      5.5840e-04
   1.9841e-01      6.9107e-01      1.0805e+00      5.1220e-04
   2.2321e-01      7.1385e-01      1.0960e+00      4.6490e-04
   2.4802e-01      7.3642e-01      1.1016e+00      4.2610e-04
   2.7282e-01      7.5894e-01      1.1001e+00      3.9380e-04
   2.9762e-01      7.8154e-01      1.0939e+00      3.6630e-04
   3.2242e-01      8.0431e-01      1.0843e+00      3.4260e-04
   3.4722e-01      8.2730e-01      1.0720e+00      3.2200e-04
   3.7202e-01      8.5058e-01      1.0583e+00      3.0390e-04
   3.9683e-01      8.7418e-01      1.0435e+00      2.8790e-04
   4.4643e-01      9.2244e-01      1.0119e+00      2.6070e-04
   4.9603e-01      9.7225e-01      9.7975e-01      2.3850e-04
   5.4563e-01      1.0237e+00      9.4755e-01      2.2000e-04
   5.9524e-01      1.0770e+00      9.1667e-01      2.0430e-04
   6.4484e-01      1.1320e+00      8.8665e-01      1.9080e-04
   6.9444e-01      1.1888e+00      8.5841e-01      1.7910e-04
   7.9365e-01      1.3081e+00      8.0604e-01      1.5980e-04
   8.9286e-01      1.4349e+00      7.5980e-01      1.4440e-04
   9.9206e-01      1.5692e+00      7.1834e-01      1.3190e-04
   1.0913e+00      1.7108e+00      6.8424e-01      1.2150e-04
   1.1905e+00      1.8597e+00      6.4879e-01      1.1270e-04
   1.2897e+00      2.0162e+00      6.1928e-01      1.0520e-04
   1.3889e+00      2.1800e+00      5.9281e-01      9.8620e-05
