#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   9.9206e-03      1.5384e-01      2.8021e-02      4.2220e-03
   1.0913e-02      1.8134e-01      3.6972e-02      3.9950e-03
   1.1905e-02      2.0325e-01      4.6825e-02      3.7940e-03
   1.2897e-02      2.2117e-01      5.7486e-02      3.6150e-03
   1.3889e-02      2.3614e-01      6.8872e-02      3.4550e-03
   1.4881e-02      2.4889e-01      8.0865e-02      3.3100e-03
   1.5873e-02      2.5992e-01      9.3426e-02      3.1790e-03
   1.6865e-02      2.6958e-01      1.0643e-01      3.0590e-03
   1.7857e-02      2.7815e-01      1.1981e-01      2.9490e-03
   1.9841e-02      2.9284e-01      1.4747e-01      2.7550e-03
   2.2321e-02      3.0777e-01      1.8313e-01      2.5490e-03
   2.4802e-02      3.2005e-01      2.1928e-01      2.3750e-03
   2.7282e-02      3.3046e-01      2.5531e-01      2.2260e-03
   2.9762e-02      3.3951e-01      2.9088e-01      2.0970e-03
   3.2242e-02      3.4752e-01      3.2561e-01      1.9840e-03
   3.4722e-02      3.5474e-01      3.5939e-01      1.8830e-03
   3.7202e-02      3.6132e-01      3.9198e-01      1.7940e-03
   3.9683e-02      3.6739e-01      4.2334e-01      1.7130e-03
   4.4643e-02      3.7835e-01      4.8209e-01      1.5750e-03
   4.9603e-02      3.8810e-01      5.3567e-01      1.4590e-03
   5.4563e-02      3.9695e-01      5.8421e-01      1.3600e-03
   5.9524e-02      4.0513e-01      6.2805e-01      1.2760e-03
   6.4484e-02      4.1278e-01      6.6751e-01      1.2020e-03
   6.9444e-02      4.2001e-01      7.0303e-01      1.1370e-03
   7.9365e-02      4.3354e-01      7.6371e-01      1.0280e-03
   8.9286e-02      4.4612e-01      8.1276e-01      9.4030e-04
   9.9206e-02      4.5803e-01      8.5244e-01      8.6730e-04
   1.0913e-01      4.6945e-01      8.8442e-01      8.0570e-04
   1.1905e-01      4.8050e-01      9.1011e-01      7.5310e-04
   1.2897e-01      4.9127e-01      9.3095e-01      7.0750e-04
   1.3889e-01      5.0182e-01      9.4729e-01      6.6750e-04
   1.4881e-01      5.1222e-01      9.6039e-01      6.3220e-04
   1.5873e-01      5.2249e-01      9.7041e-01      6.0080e-04
   1.6865e-01      5.3266e-01      9.7805e-01      5.7260e-04
   1.7857e-01      5.4277e-01      9.8373e-01      5.4710e-04
   1.9841e-01      5.6286e-01      9.9022e-01      5.0300e-04
   2.2321e-01      5.8788e-01      9.9161e-01      4.5760e-04
   2.4802e-01      6.1293e-01      9.8783e-01      4.2030e-04
   2.7282e-01      6.3812e-01      9.8059e-01      3.8900e-04
   2.9762e-01      6.6353e-01      9.7096e-01      3.6240e-04
   3.2242e-01      6.8921e-01      9.5979e-01      3.3950e-04
   3.4722e-01      7.1521e-01      9.4757e-01      3.1940e-04
   3.7202e-01      7.4155e-01      9.3485e-01      3.0180e-04
   3.9683e-01      7.6827e-01      9.2168e-01      2.8620e-04
   4.4643e-01      8.2287e-01      8.9498e-01      2.5960e-04
