#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      3.7580e-03      9.2380e-02      1.1970e-02
   1.5000e-03      5.5900e-03      1.1310e-01      1.0720e-02
   2.0000e-03      7.4130e-03      1.3060e-01      9.7490e-03
   2.5000e-03      9.2050e-03      1.4610e-01      8.9670e-03
   3.0000e-03      1.0960e-02      1.6000e-01      8.3240e-03
   4.0000e-03      1.4380e-02      1.8480e-01      7.3220e-03
   5.0000e-03      1.7650e-02      2.0660e-01      6.5710e-03
   6.0000e-03      2.0800e-02      2.2630e-01      5.9820e-03
   7.0000e-03      2.3840e-02      2.4440e-01      5.5050e-03
   8.0000e-03      2.6770e-02      2.6130e-01      5.1100e-03
   9.0000e-03      2.9610e-02      2.7710e-01      4.7750e-03
   1.0000e-02      3.2360e-02      2.9210e-01      4.4880e-03
   1.2500e-02      3.8950e-02      3.2060e-01      3.9170e-03
   1.5000e-02      4.5230e-02      3.4480e-01      3.4910e-03
   1.7500e-02      5.1270e-02      3.6570e-01      3.1570e-03
   2.0000e-02      5.7110e-02      3.8380e-01      2.8890e-03
   2.2500e-02      6.2770e-02      3.9960e-01      2.6670e-03
   2.5000e-02      6.8290e-02      4.1320e-01      2.4800e-03
   2.7500e-02      7.3700e-02      4.2500e-01      2.3210e-03
   3.0000e-02      7.9020e-02      4.3510e-01      2.1830e-03
   3.5000e-02      8.9430e-02      4.5100e-01      1.9550e-03
   4.0000e-02      9.9640e-02      4.6200e-01      1.7740e-03
   4.5000e-02      1.0970e-01      4.6920e-01      1.6270e-03
   5.0000e-02      1.1980e-01      4.7340e-01      1.5040e-03
   5.5000e-02      1.2980e-01      4.7520e-01      1.4010e-03
   6.0000e-02      1.3980e-01      4.7510e-01      1.3110e-03
   6.5000e-02      1.4990e-01      4.7370e-01      1.2340e-03
   7.0000e-02      1.6010e-01      4.7120e-01      1.1660e-03
   7.5000e-02      1.7030e-01      4.6800e-01      1.1060e-03
   8.0000e-02      1.8070e-01      4.6420e-01      1.0520e-03
   8.5000e-02      1.9110e-01      4.6010e-01      1.0030e-03
   9.0000e-02      2.0170e-01      4.5580e-01      9.5970e-04
