#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      9.8420e-03      1.4760e-02      8.9810e-04
   1.5000e-03      1.4020e-02      1.8070e-02      9.1830e-04
   2.0000e-03      1.8140e-02      2.0870e-02      9.2340e-04
   2.5000e-03      2.2210e-02      2.3330e-02      9.2170e-04
   3.0000e-03      2.6250e-02      2.5560e-02      9.1630e-04
   4.0000e-03      3.4280e-02      2.9510e-02      9.0020e-04
   5.0000e-03      4.2260e-02      3.3000e-02      8.8110e-04
   6.0000e-03      5.0200e-02      3.6150e-02      8.6110e-04
   7.0000e-03      5.8120e-02      3.9040e-02      8.4110e-04
   8.0000e-03      6.6010e-02      4.1740e-02      8.2160e-04
   9.0000e-03      7.3870e-02      4.4270e-02      8.0290e-04
   1.0000e-02      8.1710e-02      4.6660e-02      7.8490e-04
   1.2500e-02      1.0130e-01      5.1510e-02      7.4340e-04
   1.5000e-02      1.2090e-01      5.5800e-02      7.0670e-04
   1.7500e-02      1.4040e-01      5.9660e-02      6.7400e-04
   2.0000e-02      1.5980e-01      6.3180e-02      6.4470e-04
   2.2500e-02      1.7910e-01      6.6430e-02      6.1840e-04
   2.5000e-02      1.9840e-01      6.9430e-02      5.9460e-04
   2.7500e-02      2.1750e-01      7.2230e-02      5.7300e-04
   3.0000e-02      2.3660e-01      7.4840e-02      5.5320e-04
   3.5000e-02      2.7430e-01      7.9580e-02      5.1820e-04
   4.0000e-02      3.1170e-01      8.3770e-02      4.8820e-04
   4.5000e-02      3.4880e-01      8.7500e-02      4.6210e-04
   5.0000e-02      3.8550e-01      9.0810e-02      4.3920e-04
   5.5000e-02      4.2200e-01      9.3770e-02      4.1880e-04
   6.0000e-02      4.5830e-01      9.6400e-02      4.0060e-04
   6.5000e-02      4.9440e-01      9.8740e-02      3.8410e-04
   7.0000e-02      5.3030e-01      1.0080e-01      3.6920e-04
   7.5000e-02      5.6610e-01      1.0260e-01      3.5560e-04
   8.0000e-02      6.0190e-01      1.0430e-01      3.4310e-04
   8.5000e-02      6.3760e-01      1.0570e-01      3.3160e-04
   9.0000e-02      6.7330e-01      1.0690e-01      3.2100e-04
   9.5000e-02      7.0890e-01      1.0800e-01      3.1120e-04
   1.0000e-01      7.4460e-01      1.0890e-01      3.0200e-04
   1.2500e-01      9.2420e-01      1.1150e-01      2.6410e-04
   1.5000e-01      1.1070e+00      1.1200e-01      2.3570e-04
   1.7500e-01      1.2940e+00      1.1120e-01      2.1340e-04
   2.0000e-01      1.4870e+00      1.0960e-01      1.9550e-04
   2.2500e-01      1.6850e+00      1.0760e-01      1.8060e-04
   2.5000e-01      1.8890e+00      1.0540e-01      1.6810e-04
   2.7500e-01      2.1000e+00      1.0320e-01      1.5740e-04
   3.0000e-01      2.3160e+00      1.0100e-01      1.4810e-04
   3.5000e-01      2.7680e+00      9.6330e-02      1.3280e-04
   4.0000e-01      3.2460e+00      9.1800e-02      1.2060e-04
   4.5000e-01      3.7510e+00      8.7700e-02      1.1060e-04
   5.0000e-01      4.2820e+00      8.4050e-02      1.0240e-04
   5.5000e-01      4.8370e+00      8.0830e-02      9.5340e-05
   6.0000e-01      5.4160e+00      7.8000e-02      8.9300e-05
   6.5000e-01      6.0170e+00      7.5470e-02      8.4060e-05
   7.0000e-01      6.6380e+00      7.3180e-02      7.9450e-05
   7.5000e-01      7.2810e+00      7.1110e-02      7.5360e-05
   8.0000e-01      7.9420e+00      6.9210e-02      7.1710e-05
   8.5000e-01      8.6230e+00      6.7460e-02      6.8430e-05
   9.0000e-01      9.3220e+00      6.5830e-02      6.5460e-05
