#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      3.2690e-03      1.4970e-01      2.6410e-02
   1.5000e-03      4.9320e-03      1.8330e-01      2.1430e-02
   2.0000e-03      6.5420e-03      2.1170e-01      1.8220e-02
   2.5000e-03      8.0830e-03      2.3670e-01      1.5950e-02
   3.0000e-03      9.5590e-03      2.5920e-01      1.4250e-02
   4.0000e-03      1.2340e-02      2.9930e-01      1.1830e-02
   5.0000e-03      1.4920e-02      3.3470e-01      1.0180e-02
   6.0000e-03      1.7340e-02      3.6660e-01      8.9720e-03
   7.0000e-03      1.9620e-02      3.9600e-01      8.0470e-03
   8.0000e-03      2.1780e-02      4.2330e-01      7.3110e-03
   9.0000e-03      2.3840e-02      4.4900e-01      6.7100e-03
   1.0000e-02      2.5810e-02      4.7330e-01      6.2100e-03
   1.2500e-02      3.0470e-02      5.1720e-01      5.2560e-03
   1.5000e-02      3.4850e-02      5.5340e-01      4.5760e-03
   1.7500e-02      3.9010e-02      5.8360e-01      4.0640e-03
   2.0000e-02      4.3020e-02      6.0870e-01      3.6640e-03
   2.2500e-02      4.6900e-02      6.2960e-01      3.3400e-03
   2.5000e-02      5.0670e-02      6.4680e-01      3.0740e-03
   2.7500e-02      5.4380e-02      6.6070e-01      2.8500e-03
   3.0000e-02      5.8020e-02      6.7190e-01      2.6590e-03
   3.5000e-02      6.5190e-02      6.8730e-01      2.3490e-03
   4.0000e-02      7.2260e-02      6.9550e-01      2.1090e-03
   4.5000e-02      7.9290e-02      6.9840e-01      1.9160e-03
   5.0000e-02      8.6330e-02      6.9760e-01      1.7580e-03
   5.5000e-02      9.3400e-02      6.9420e-01      1.6250e-03
   6.0000e-02      1.0050e-01      6.8910e-01      1.5130e-03
   6.5000e-02      1.0770e-01      6.8280e-01      1.4160e-03
   7.0000e-02      1.1500e-01      6.7570e-01      1.3310e-03
   7.5000e-02      1.2230e-01      6.6820e-01      1.2570e-03
   8.0000e-02      1.2980e-01      6.6050e-01      1.1910e-03
   8.5000e-02      1.3730e-01      6.5270e-01      1.1330e-03
   9.0000e-02      1.4500e-01      6.4490e-01      1.0800e-03
   9.5000e-02      1.5270e-01      6.3720e-01      1.0320e-03
   1.0000e-01      1.6050e-01      6.2960e-01      9.8820e-04
   1.2500e-01      2.0110e-01      5.9420e-01      8.1860e-04
   1.5000e-01      2.4400e-01      5.6300e-01      7.0120e-04
   1.7500e-01      2.8930e-01      5.3540e-01      6.1480e-04
   2.0000e-01      3.3680e-01      5.1070e-01      5.4840e-04
   2.2500e-01      3.8670e-01      4.8840e-01      4.9560e-04
   2.5000e-01      4.3870e-01      4.6820e-01      4.5260e-04
   2.7500e-01      4.9300e-01      4.4980e-01      4.1690e-04
   3.0000e-01      5.4940e-01      4.3280e-01      3.8670e-04
   3.5000e-01      6.6860e-01      4.0440e-01      3.3800e-04
   4.0000e-01      7.9570e-01      3.8010e-01      3.0040e-04
   4.5000e-01      9.3080e-01      3.5810e-01      2.7060e-04
   5.0000e-01      1.0740e+00      3.3760e-01      2.4640e-04
   5.5000e-01      1.2260e+00      3.1880e-01      2.2630e-04
   6.0000e-01      1.3870e+00      3.0220e-01      2.0940e-04
   6.5000e-01      1.5560e+00      2.8740e-01      1.9490e-04
   7.0000e-01      1.7340e+00      2.7420e-01      1.8230e-04
   7.5000e-01      1.9200e+00      2.6230e-01      1.7130e-04
   8.0000e-01      2.1140e+00      2.5150e-01      1.6170e-04
   8.5000e-01      2.3160e+00      2.4170e-01      1.5300e-04
   9.0000e-01      2.5270e+00      2.3270e-01      1.4530e-04
   9.5000e-01      2.7450e+00      2.2440e-01      1.3840e-04
   1.0000e+00      2.9710e+00      2.1680e-01      1.3210e-04
   1.2500e+00      4.2170e+00      1.8600e-01      1.0780e-04
   1.5000e+00      5.6510e+00      1.6360e-01      9.1270e-05
   1.7500e+00      7.2670e+00      1.4630e-01      7.9220e-05
   2.0000e+00      9.0600e+00      1.3260e-01      7.0060e-05
   2.2500e+00      1.1030e+01      1.2150e-01      6.2840e-05
   2.5000e+00      1.3170e+01      1.1230e-01      5.7000e-05
   2.7500e+00      1.5470e+01      1.0450e-01      5.2180e-05
   3.0000e+00      1.7940e+01      9.7760e-02      4.8130e-05
   3.5000e+00      2.3370e+01      8.6850e-02      4.1700e-05
   4.0000e+00      2.9430e+01      7.8280e-02      3.6810e-05
   4.5000e+00      3.6120e+01      7.1380e-02      3.2970e-05
   5.0000e+00      4.3420e+01      6.5690e-02      2.9880e-05
   5.5000e+00      5.1310e+01      6.0920e-02      2.7320e-05
   6.0000e+00      5.9800e+01      5.6840e-02      2.5180e-05
   6.5000e+00      6.8880e+01      5.3320e-02      2.3360e-05
   7.0000e+00      7.8530e+01      5.0250e-02      2.1790e-05
   7.5000e+00      8.8740e+01      4.7540e-02      2.0420e-05
   8.0000e+00      9.9530e+01      4.5130e-02      1.9210e-05
   8.5000e+00      1.1090e+02      4.2980e-02      1.8150e-05
   9.0000e+00      1.2280e+02      4.1040e-02      1.7190e-05
   9.5000e+00      1.3520e+02      3.9280e-02      1.6340e-05
   1.0000e+01      1.4820e+02      3.7680e-02      1.5570e-05
   1.2500e+01      2.2110e+02      3.1430e-02      1.2610e-05
   1.5000e+01      3.0690e+02      2.7080e-02      1.0610e-05
   1.7500e+01      4.0530e+02      2.3870e-02      9.1690e-06
   2.0000e+01      5.1600e+02      2.1400e-02      8.0790e-06
   2.5000e+01      7.7280e+02      1.7840e-02      6.5370e-06
