#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      7.2720e-03      3.4670e-02      1.6390e-03
   1.5000e-03      1.0330e-02      4.2460e-02      1.6400e-03
   2.0000e-03      1.3330e-02      4.9030e-02      1.6230e-03
   2.5000e-03      1.6250e-02      5.4820e-02      1.5970e-03
   3.0000e-03      1.9130e-02      6.0050e-02      1.5690e-03
   4.0000e-03      2.4770e-02      6.9340e-02      1.5100e-03
   5.0000e-03      3.0270e-02      7.7520e-02      1.4520e-03
   6.0000e-03      3.5670e-02      8.4920e-02      1.3980e-03
   7.0000e-03      4.0970e-02      9.1730e-02      1.3490e-03
   8.0000e-03      4.6180e-02      9.8060e-02      1.3020e-03
   9.0000e-03      5.1310e-02      1.0400e-01      1.2600e-03
   1.0000e-02      5.6350e-02      1.0960e-01      1.2200e-03
   1.2500e-02      6.8710e-02      1.2100e-01      1.1330e-03
   1.5000e-02      8.0780e-02      1.3090e-01      1.0600e-03
   1.7500e-02      9.2590e-02      1.3990e-01      9.9810e-04
   2.0000e-02      1.0420e-01      1.4800e-01      9.4410e-04
   2.2500e-02      1.1550e-01      1.5550e-01      8.9680e-04
   2.5000e-02      1.2660e-01      1.6230e-01      8.5490e-04
   2.7500e-02      1.3760e-01      1.6860e-01      8.1740e-04
   3.0000e-02      1.4830e-01      1.7450e-01      7.8370e-04
   3.5000e-02      1.6940e-01      1.8490e-01      7.2540e-04
   4.0000e-02      1.9000e-01      1.9400e-01      6.7650e-04
   4.5000e-02      2.1010e-01      2.0180e-01      6.3480e-04
   5.0000e-02      2.3000e-01      2.0850e-01      5.9880e-04
   5.5000e-02      2.4950e-01      2.1420e-01      5.6720e-04
   6.0000e-02      2.6880e-01      2.1900e-01      5.3930e-04
   6.5000e-02      2.8790e-01      2.2300e-01      5.1430e-04
   7.0000e-02      3.0700e-01      2.2630e-01      4.9190e-04
   7.5000e-02      3.2590e-01      2.2890e-01      4.7170e-04
   8.0000e-02      3.4480e-01      2.3100e-01      4.5330e-04
   8.5000e-02      3.6370e-01      2.3250e-01      4.3640e-04
   9.0000e-02      3.8250e-01      2.3340e-01      4.2100e-04
   9.5000e-02      4.0150e-01      2.3400e-01      4.0670e-04
   1.0000e-01      4.2050e-01      2.3410e-01      3.9350e-04
   1.2500e-01      5.1710e-01      2.3040e-01      3.3980e-04
   1.5000e-01      6.1810e-01      2.2190e-01      3.0030e-04
   1.7500e-01      7.2460e-01      2.1140e-01      2.6990e-04
   2.0000e-01      8.3740e-01      2.0060e-01      2.4560e-04
   2.2500e-01      9.5710e-01      1.9010e-01      2.2580e-04
   2.5000e-01      1.0840e+00      1.8060e-01      2.0920e-04
   2.7500e-01      1.2170e+00      1.7190e-01      1.9510e-04
   3.0000e-01      1.3580e+00      1.6410e-01      1.8290e-04
   3.5000e-01      1.6590e+00      1.5110e-01      1.6310e-04
   4.0000e-01      1.9860e+00      1.4060e-01      1.4740e-04
   4.5000e-01      2.3360e+00      1.3210e-01      1.3470e-04
   5.0000e-01      2.7070e+00      1.2510e-01      1.2420e-04
   5.5000e-01      3.0990e+00      1.1910e-01      1.1540e-04
   6.0000e-01      3.5100e+00      1.1400e-01      1.0780e-04
   6.5000e-01      3.9390e+00      1.0960e-01      1.0120e-04
   7.0000e-01      4.3850e+00      1.0560e-01      9.5500e-05
   7.5000e-01      4.8480e+00      1.0210e-01      9.0420e-05
