#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      3.5580e-03      1.0500e-01      1.1880e-02
   1.5000e-03      5.2420e-03      1.2860e-01      1.0720e-02
   2.0000e-03      6.9060e-03      1.4850e-01      9.7920e-03
   2.5000e-03      8.5320e-03      1.6600e-01      9.0400e-03
   3.0000e-03      1.0120e-02      1.8180e-01      8.4160e-03
   4.0000e-03      1.3190e-02      2.1000e-01      7.4360e-03
   5.0000e-03      1.6130e-02      2.3480e-01      6.6950e-03
   6.0000e-03      1.8950e-02      2.5720e-01      6.1110e-03
   7.0000e-03      2.1660e-02      2.7780e-01      5.6360e-03
   8.0000e-03      2.4270e-02      2.9690e-01      5.2400e-03
   9.0000e-03      2.6800e-02      3.1500e-01      4.9050e-03
   1.0000e-02      2.9240e-02      3.3200e-01      4.6150e-03
   1.2500e-02      3.5080e-02      3.6460e-01      4.0390e-03
   1.5000e-02      4.0650e-02      3.9250e-01      3.6070e-03
   1.7500e-02      4.5980e-02      4.1670e-01      3.2670e-03
   2.0000e-02      5.1130e-02      4.3780e-01      2.9930e-03
   2.2500e-02      5.6110e-02      4.5630e-01      2.7670e-03
   2.5000e-02      6.0970e-02      4.7250e-01      2.5760e-03
   2.7500e-02      6.5720e-02      4.8660e-01      2.4120e-03
   3.0000e-02      7.0370e-02      4.9890e-01      2.2700e-03
   3.5000e-02      7.9470e-02      5.1840e-01      2.0360e-03
   4.0000e-02      8.8360e-02      5.3230e-01      1.8490e-03
   4.5000e-02      9.7140e-02      5.4160e-01      1.6970e-03
   5.0000e-02      1.0580e-01      5.4700e-01      1.5710e-03
   5.5000e-02      1.1450e-01      5.4920e-01      1.4630e-03
   6.0000e-02      1.2320e-01      5.4900e-01      1.3710e-03
   6.5000e-02      1.3200e-01      5.4680e-01      1.2900e-03
   7.0000e-02      1.4080e-01      5.4300e-01      1.2200e-03
   7.5000e-02      1.4970e-01      5.3800e-01      1.1570e-03
   8.0000e-02      1.5880e-01      5.3220e-01      1.1010e-03
