#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      1.6593e-03      3.0190e-01      1.2150e-01
   1.2500e-03      2.0730e-03      3.3350e-01      1.1030e-01
   1.5000e-03      2.4820e-03      3.6180e-01      1.0130e-01
   1.7500e-03      2.8850e-03      3.8760e-01      9.3880e-02
   2.0000e-03      3.2825e-03      4.1150e-01      8.7640e-02
   2.2500e-03      3.6750e-03      4.3380e-01      8.2300e-02
   2.5000e-03      4.0600e-03      4.5480e-01      7.7670e-02
   3.1250e-03      4.9950e-03      5.0270e-01      6.8350e-02
   3.7500e-03      5.8975e-03      5.4570e-01      6.1270e-02
   4.3750e-03      6.7650e-03      5.8480e-01      5.5680e-02
   5.0000e-03      7.6000e-03      6.2100e-01      5.1140e-02
   5.6250e-03      8.4100e-03      6.5480e-01      4.7360e-02
   6.2500e-03      9.1950e-03      6.8660e-01      4.4160e-02
   6.8750e-03      9.9575e-03      7.1670e-01      4.1420e-02
   7.5000e-03      1.0700e-02      7.4530e-01      3.9030e-02
   8.7500e-03      1.2125e-02      7.9870e-01      3.5070e-02
   1.0000e-02      1.3485e-02      8.4790e-01      3.1910e-02
   1.1250e-02      1.4790e-02      8.9380e-01      2.9330e-02
   1.2500e-02      1.6043e-02      9.3680e-01      2.7170e-02
   1.3750e-02      1.7250e-02      9.7740e-01      2.5340e-02
   1.5000e-02      1.8420e-02      1.0160e+00      2.3760e-02
   1.6250e-02      1.9553e-02      1.0520e+00      2.2380e-02
   1.7500e-02      2.0655e-02      1.0870e+00      2.1170e-02
   1.8750e-02      2.1728e-02      1.1210e+00      2.0090e-02
   2.0000e-02      2.2772e-02      1.1530e+00      1.9130e-02
   2.1250e-02      2.3793e-02      1.1830e+00      1.8270e-02
   2.2500e-02      2.4790e-02      1.2130e+00      1.7480e-02
   2.3750e-02      2.5775e-02      1.2410e+00      1.6770e-02
   2.5000e-02      2.6725e-02      1.2690e+00      1.6120e-02
   3.1250e-02      3.1250e-02      1.3930e+00      1.3540e-02
   3.7500e-02      3.5475e-02      1.5000e+00      1.1730e-02
   4.3750e-02      3.9425e-02      1.5930e+00      1.0370e-02
   5.0000e-02      4.3175e-02      1.6730e+00      9.3150e-03
   5.6250e-02      4.6775e-02      1.7440e+00      8.4680e-03
   6.2500e-02      5.0250e-02      1.8060e+00      7.7730e-03
   6.8750e-02      5.3600e-02      1.8600e+00      7.1910e-03
   7.5000e-02      5.6875e-02      1.9080e+00      6.6960e-03
   8.7500e-02      6.3225e-02      1.9850e+00      5.8970e-03
   1.0000e-01      6.9400e-02      2.0420e+00      5.2790e-03
   1.1250e-01      7.5400e-02      2.0830e+00      4.7860e-03
   1.2500e-01      8.1325e-02      2.1100e+00      4.3820e-03
   1.3750e-01      8.7175e-02      2.1260e+00      4.0460e-03
   1.5000e-01      9.3025e-02      2.1330e+00      3.7600e-03
   1.6250e-01      9.8850e-02      2.1330e+00      3.5150e-03
   1.7500e-01      1.0470e-01      2.1260e+00      3.3010e-03
   1.8750e-01      1.1055e-01      2.1150e+00      3.1140e-03
   2.0000e-01      1.1647e-01      2.1000e+00      2.9480e-03
   2.1250e-01      1.2243e-01      2.0820e+00      2.8000e-03
   2.2500e-01      1.2842e-01      2.0610e+00      2.6670e-03
   2.3750e-01      1.3453e-01      2.0380e+00      2.5470e-03
   2.5000e-01      1.4065e-01      2.0140e+00      2.4370e-03
   3.1250e-01      1.7270e-01      1.8740e+00      2.0130e-03
   3.7500e-01      2.0733e-01      1.7310e+00      1.7200e-03
   4.3750e-01      2.4483e-01      1.5990e+00      1.5060e-03
   5.0000e-01      2.8525e-01      1.4820e+00      1.3410e-03
   5.6250e-01      3.2900e-01      1.3790e+00      1.2100e-03
   6.2500e-01      3.7575e-01      1.2900e+00      1.1040e-03
   6.8750e-01      4.2575e-01      1.2150e+00      1.0160e-03
   7.5000e-01      4.7850e-01      1.1480e+00      9.4140e-04
   8.7500e-01      5.9300e-01      1.0380e+00      8.2230e-04
   1.0000e+00      7.1900e-01      9.4850e-01      7.3110e-04
   1.1250e+00      8.5625e-01      8.7530e-01      6.5900e-04
   1.2500e+00      1.0042e+00      8.1380e-01      6.0040e-04
   1.3750e+00      1.1627e+00      7.6150e-01      5.5170e-04
   1.5000e+00      1.3320e+00      7.1630e-01      5.1070e-04
   1.6250e+00      1.5112e+00      6.7660e-01      4.7570e-04
   1.7500e+00      1.7007e+00      6.4160e-01      4.4530e-04
   1.8750e+00      1.9005e+00      6.1050e-01      4.1880e-04
   2.0000e+00      2.1098e+00      5.8250e-01      3.9530e-04
   2.1250e+00      2.3290e+00      5.5730e-01      3.7450e-04
   2.2500e+00      2.5575e+00      5.3440e-01      3.5580e-04
   2.3750e+00      2.7950e+00      5.1360e-01      3.3900e-04
   2.5000e+00      3.0450e+00      4.9450e-01      3.2380e-04
   3.1250e+00      4.4225e+00      4.1860e-01      2.6500e-04
   3.7500e+00      6.0250e+00      3.6450e-01      2.2480e-04
   4.3750e+00      7.8450e+00      3.2380e-01      1.9550e-04
   5.0000e+00      9.8775e+00      2.9200e-01      1.7320e-04
   6.2500e+00      1.4565e+01      2.4520e-01      1.4130e-04
   6.8750e+00      1.7210e+01      2.2750e-01      1.2950e-04
   7.5000e+00      2.0053e+01      2.1230e-01      1.1950e-04
   8.7500e+00      2.6325e+01      1.8780e-01      1.0370e-04
   1.0000e+01      3.3350e+01      1.6880e-01      9.1680e-05
   1.1250e+01      4.1100e+01      1.5360e-01      8.2210e-05
   1.2500e+01      4.9600e+01      1.4110e-01      7.4540e-05
   1.3750e+01      5.8825e+01      1.3060e-01      6.8190e-05
   1.5000e+01      6.8725e+01      1.2170e-01      6.2860e-05
   1.6250e+01      7.9325e+01      1.1410e-01      5.8310e-05
   1.7500e+01      9.0600e+01      1.0750e-01      5.4390e-05
   1.8750e+01      1.0258e+02      1.0160e-01      5.0970e-05
   2.0000e+01      1.1520e+02      9.6420e-02      4.7960e-05
   2.1250e+01      1.2847e+02      9.1800e-02      4.5290e-05
   2.2500e+01      1.4240e+02      8.7640e-02      4.2910e-05
   2.3750e+01      1.5697e+02      8.3880e-02      4.0770e-05
   2.5000e+01      1.7217e+02      8.0460e-02      3.8840e-05
   3.1250e+01      2.5750e+02      6.7170e-02      3.1390e-05
   3.7500e+01      3.5800e+02      5.8000e-02      2.6350e-05
   4.3750e+01      4.7275e+02      5.1260e-02      2.2710e-05
   5.0000e+01      6.0125e+02      4.6100e-02      1.9960e-05
   5.6250e+01      7.4350e+02      4.2000e-02      1.7810e-05
   6.2500e+01      8.9850e+02      3.8670e-02      1.6080e-05
   6.8750e+01      1.0662e+03      3.5910e-02      1.4660e-05
   7.5000e+01      1.2462e+03      3.3580e-02      1.3460e-05
   8.7500e+01      1.6418e+03      2.9860e-02      1.1570e-05
   1.0000e+02      2.0822e+03      2.7020e-02      1.0150e-05
   1.1250e+02      2.5650e+03      2.4770e-02      9.0370e-06
   1.2500e+02      3.0900e+03      2.2960e-02      8.1460e-06
