#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      2.0888e-03      1.8350e-01      9.4940e-02
   1.2500e-03      2.6300e-03      2.0670e-01      8.6980e-02
   1.5000e-03      3.1675e-03      2.2790e-01      8.0470e-02
   1.7500e-03      3.7025e-03      2.4750e-01      7.5010e-02
   2.0000e-03      4.2300e-03      2.6590e-01      7.0360e-02
   2.2500e-03      4.7500e-03      2.8320e-01      6.6350e-02
   2.5000e-03      5.2650e-03      2.9960e-01      6.2830e-02
   3.1250e-03      6.5150e-03      3.3770e-01      5.5680e-02
   3.7500e-03      7.7175e-03      3.7230e-01      5.0180e-02
   4.3750e-03      8.8750e-03      4.0430e-01      4.5790e-02
   5.0000e-03      9.9900e-03      4.3430e-01      4.2200e-02
   5.6250e-03      1.1068e-02      4.6260e-01      3.9190e-02
   6.2500e-03      1.2108e-02      4.8940e-01      3.6630e-02
   6.8750e-03      1.3117e-02      5.1500e-01      3.4430e-02
   7.5000e-03      1.4095e-02      5.3950e-01      3.2500e-02
   8.7500e-03      1.5967e-02      5.8580e-01      2.9290e-02
   1.0000e-02      1.7743e-02      6.2900e-01      2.6720e-02
   1.1250e-02      1.9435e-02      6.6960e-01      2.4610e-02
   1.2500e-02      2.1050e-02      7.0810e-01      2.2840e-02
   1.3750e-02      2.2602e-02      7.4480e-01      2.1330e-02
   1.5000e-02      2.4095e-02      7.7980e-01      2.0020e-02
   1.6250e-02      2.5525e-02      8.1340e-01      1.8880e-02
   1.7500e-02      2.6925e-02      8.4570e-01      1.7880e-02
   1.8750e-02      2.8275e-02      8.7680e-01      1.6990e-02
   2.0000e-02      2.9600e-02      9.0680e-01      1.6190e-02
   2.1250e-02      3.0875e-02      9.3590e-01      1.5470e-02
   2.2500e-02      3.2100e-02      9.6400e-01      1.4820e-02
   2.3750e-02      3.3325e-02      9.9130e-01      1.4220e-02
   2.5000e-02      3.4500e-02      1.0180e+00      1.3680e-02
   3.1250e-02      4.0050e-02      1.1400e+00      1.1520e-02
   3.7500e-02      4.5100e-02      1.2470e+00      9.9910e-03
   4.3750e-02      4.9775e-02      1.3430e+00      8.8480e-03
   5.0000e-02      5.4175e-02      1.4290e+00      7.9560e-03
   5.6250e-02      5.8350e-02      1.5060e+00      7.2400e-03
   6.2500e-02      6.2350e-02      1.5750e+00      6.6510e-03
   6.8750e-02      6.6175e-02      1.6370e+00      6.1570e-03
   7.5000e-02      6.9875e-02      1.6930e+00      5.7360e-03
   8.7500e-02      7.6950e-02      1.7870e+00      5.0570e-03
   1.0000e-01      8.3750e-02      1.8610e+00      4.5310e-03
   1.1250e-01      9.0300e-02      1.9180e+00      4.1110e-03
   1.2500e-01      9.6675e-02      1.9610e+00      3.7670e-03
   1.3750e-01      1.0295e-01      1.9900e+00      3.4790e-03
   1.5000e-01      1.0917e-01      2.0080e+00      3.2350e-03
   1.6250e-01      1.1535e-01      2.0170e+00      3.0250e-03
   1.7500e-01      1.2150e-01      2.0190e+00      2.8430e-03
   1.8750e-01      1.2768e-01      2.0130e+00      2.6820e-03
   2.0000e-01      1.3387e-01      2.0020e+00      2.5400e-03
   2.1250e-01      1.4010e-01      1.9870e+00      2.4130e-03
   2.2500e-01      1.4640e-01      1.9680e+00      2.2990e-03
   2.3750e-01      1.5277e-01      1.9460e+00      2.1960e-03
   2.5000e-01      1.5920e-01      1.9220e+00      2.1030e-03
   3.1250e-01      1.9290e-01      1.7740e+00      1.7380e-03
   3.7500e-01      2.2960e-01      1.6250e+00      1.4870e-03
   4.3750e-01      2.6975e-01      1.4940e+00      1.3020e-03
   5.0000e-01      3.1300e-01      1.3820e+00      1.1600e-03
   5.6250e-01      3.6000e-01      1.2870e+00      1.0480e-03
   6.2500e-01      4.1000e-01      1.2050e+00      9.5600e-04
   6.8750e-01      4.6350e-01      1.1330e+00      8.7990e-04
   7.5000e-01      5.2000e-01      1.0720e+00      8.1570e-04
   8.7500e-01      6.4275e-01      9.6860e-01      7.1290e-04
   1.0000e+00      7.7775e-01      8.8590e-01      6.3410e-04
