#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      2.3162e-03      1.7879e-01      3.7078e-02
   1.1250e-03      2.8900e-03      1.8416e-01      3.5742e-02
   1.2500e-03      3.4534e-03      1.8928e-01      3.4568e-02
   1.3750e-03      4.0070e-03      1.9421e-01      3.3522e-02
   1.5000e-03      4.5514e-03      1.9898e-01      3.2580e-02
   1.6250e-03      5.0869e-03      2.0363e-01      3.1725e-02
   1.7500e-03      5.6138e-03      2.0816e-01      3.0941e-02
   1.8750e-03      6.1326e-03      2.1259e-01      3.0219e-02
   2.0000e-03      6.6436e-03      2.1694e-01      2.9549e-02
   2.2500e-03      7.6433e-03      2.2543e-01      2.8341e-02
   2.5000e-03      8.6149e-03      2.3368e-01      2.7276e-02
   2.7500e-03      9.5602e-03      2.4172e-01      2.6325e-02
   3.0000e-03      1.0481e-02      2.4960e-01      2.5466e-02
   3.2500e-03      1.1379e-02      2.5732e-01      2.4685e-02
   3.5000e-03      1.2255e-02      2.6492e-01      2.3970e-02
   3.7500e-03      1.3110e-02      2.7239e-01      2.3310e-02
   4.0000e-03      1.3946e-02      2.7976e-01      2.2699e-02
   4.5000e-03      1.5564e-02      2.9420e-01      2.1600e-02
   5.0000e-03      1.7116e-02      3.0829e-01      2.0635e-02
   5.5000e-03      1.8607e-02      3.2207e-01      1.9777e-02
   6.0000e-03      2.0044e-02      3.3556e-01      1.9007e-02
   6.5000e-03      2.1430e-02      3.4879e-01      1.8312e-02
   7.0000e-03      2.2770e-02      3.6178e-01      1.7678e-02
   7.5000e-03      2.4067e-02      3.7453e-01      1.7098e-02
   8.0000e-03      2.5325e-02      3.8707e-01      1.6565e-02
   9.0000e-03      2.7734e-02      4.1152e-01      1.5613e-02
   1.0000e-02      3.0016e-02      4.3520e-01      1.4788e-02
   1.1250e-02      3.2713e-02      4.6381e-01      1.3896e-02
   1.2500e-02      3.5260e-02      4.9137e-01      1.3126e-02
   1.3750e-02      3.7677e-02      5.1797e-01      1.2452e-02
   1.5000e-02      3.9981e-02      5.4366e-01      1.1857e-02
   1.6250e-02      4.2184e-02      5.6849e-01      1.1326e-02
   1.7500e-02      4.4297e-02      5.9250e-01      1.0849e-02
   1.8750e-02      4.6331e-02      6.1573e-01      1.0417e-02
   2.0000e-02      4.8294e-02      6.3823e-01      1.0025e-02
   2.2500e-02      5.2032e-02      6.8113e-01      9.3352e-03
   2.5000e-02      5.5555e-02      7.2142e-01      8.7482e-03
   2.7500e-02      5.8895e-02      7.5932e-01      8.2412e-03
   3.0000e-02      6.2081e-02      7.9500e-01      7.7981e-03
   3.2500e-02      6.5133e-02      8.2861e-01      7.4068e-03
   3.5000e-02      6.8069e-02      8.6029e-01      7.0583e-03
   3.7500e-02      7.0904e-02      8.9017e-01      6.7456e-03
   4.0000e-02      7.3649e-02      9.1837e-01      6.4632e-03
   4.5000e-02      7.8914e-02      9.7013e-01      5.9723e-03
   5.0000e-02      8.3922e-02      1.0163e+00      5.5593e-03
   5.5000e-02      8.8720e-02      1.0575e+00      5.2063e-03
   6.0000e-02      9.3347e-02      1.0943e+00      4.9006e-03
   6.5000e-02      9.7830e-02      1.1272e+00      4.6328e-03
   7.0000e-02      1.0219e-01      1.1565e+00      4.3961e-03
   7.5000e-02      1.0645e-01      1.1826e+00      4.1850e-03
   8.0000e-02      1.1063e-01      1.2059e+00      3.9955e-03
   9.0000e-02      1.1876e-01      1.2449e+00      3.6688e-03
   1.0000e-01      1.2668e-01      1.2753e+00      3.3965e-03
   1.1250e-01      1.3635e-01      1.3035e+00      3.1133e-03
   1.2500e-01      1.4585e-01      1.3230e+00      2.8779e-03
   1.3750e-01      1.5523e-01      1.3355e+00      2.6788e-03
   1.5000e-01      1.6455e-01      1.3425e+00      2.5079e-03
   1.6250e-01      1.7383e-01      1.3449e+00      2.3594e-03
   1.7500e-01      1.8312e-01      1.3437e+00      2.2291e-03
   1.8750e-01      1.9242e-01      1.3396e+00      2.1137e-03
   2.0000e-01      2.0176e-01      1.3331e+00      2.0107e-03
   2.2500e-01      2.2061e-01      1.3149e+00      1.8344e-03
   2.5000e-01      2.3977e-01      1.2920e+00      1.6889e-03
   2.7500e-01      2.5929e-01      1.2660e+00      1.5665e-03
   3.0000e-01      2.7923e-01      1.2385e+00      1.4620e-03
   3.2500e-01      2.9963e-01      1.2101e+00      1.3716e-03
   3.5000e-01      3.2052e-01      1.1817e+00      1.2926e-03
   3.7500e-01      3.4191e-01      1.1534e+00      1.2229e-03
