#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   9.9206e-03      1.7382e-02      7.3600e-01      1.0580e-02
   1.0913e-02      1.8613e-02      7.6770e-01      9.8700e-03
   1.1905e-02      1.9804e-02      7.9730e-01      9.2590e-03
   1.2897e-02      2.0961e-02      8.2510e-01      8.7260e-03
   1.3889e-02      2.2083e-02      8.5120e-01      8.2580e-03
   1.4881e-02      2.3178e-02      8.7580e-01      7.8420e-03
   1.5873e-02      2.4247e-02      8.9890e-01      7.4700e-03
   1.6865e-02      2.5287e-02      9.2080e-01      7.1350e-03
   1.7857e-02      2.6315e-02      9.4140e-01      6.8320e-03
   1.9841e-02      2.8301e-02      9.7940e-01      6.3040e-03
   2.2321e-02      3.0703e-02      1.0210e+00      5.7580e-03
   2.4802e-02      3.3016e-02      1.0580e+00      5.3060e-03
   2.7282e-02      3.5268e-02      1.0900e+00      4.9260e-03
   2.9762e-02      3.7458e-02      1.1180e+00      4.6010e-03
   3.2242e-02      3.9608e-02      1.1420e+00      4.3200e-03
   3.4722e-02      4.1717e-02      1.1640e+00      4.0740e-03
   3.7202e-02      4.3792e-02      1.1820e+00      3.8570e-03
   3.9683e-02      4.5840e-02      1.1980e+00      3.6640e-03
   4.4643e-02      4.9867e-02      1.2240e+00      3.3340e-03
   4.9603e-02      5.3834e-02      1.2420e+00      3.0630e-03
   5.4563e-02      5.7759e-02      1.2540e+00      2.8360e-03
   5.9524e-02      6.1657e-02      1.2610e+00      2.6430e-03
   6.4484e-02      6.5549e-02      1.2630e+00      2.4760e-03
   6.9444e-02      6.9392e-02      1.2620e+00      2.3300e-03
   7.9365e-02      7.7556e-02      1.2500e+00      2.0880e-03
   8.9286e-02      8.5040e-02      1.2290e+00      1.8950e-03
   9.9206e-02      9.3203e-02      1.2030e+00      1.7370e-03
   1.0913e-01      1.0137e-01      1.1730e+00      1.6050e-03
   1.1905e-01      1.1021e-01      1.1410e+00      1.4920e-03
   1.2897e-01      1.1906e-01      1.1080e+00      1.3960e-03
   1.3889e-01      1.2790e-01      1.0750e+00      1.3120e-03
   1.4881e-01      1.3742e-01      1.0430e+00      1.2380e-03
   1.5873e-01      1.4695e-01      1.0120e+00      1.1720e-03
   1.6865e-01      1.5647e-01      9.8200e-01      1.1140e-03
   1.7857e-01      1.6668e-01      9.5340e-01      1.0620e-03
   1.9841e-01      1.8845e-01      9.0040e-01      9.7090e-04
