#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   2.2244e-03      3.9185e-04      1.8210e+00      3.6040e+00
   2.4468e-03      4.2976e-04      1.8980e+00      3.5040e+00
   2.6693e-03      4.6799e-04      1.9740e+00      3.4100e+00
   2.8917e-03      5.0652e-04      2.0480e+00      3.3220e+00
   3.1142e-03      5.4505e-04      2.1210e+00      3.2380e+00
   3.3366e-03      5.8390e-04      2.1940e+00      3.1590e+00
   3.5590e-03      6.2274e-04      2.2670e+00      3.0850e+00
   3.7815e-03      6.6158e-04      2.3390e+00      3.0140e+00
   4.0039e-03      7.0074e-04      2.4100e+00      2.9470e+00
   4.4488e-03      7.7874e-04      2.5500e+00      2.8230e+00
   5.0049e-03      8.7600e-04      2.7200e+00      2.6850e+00
   5.5610e-03      9.7264e-04      2.8830e+00      2.5610e+00
   6.1171e-03      1.0693e-03      3.0390e+00      2.4500e+00
   6.6732e-03      1.1650e-03      3.1870e+00      2.3500e+00
   7.2293e-03      1.2601e-03      3.3270e+00      2.2590e+00
   7.7854e-03      1.3546e-03      3.4600e+00      2.1760e+00
   8.3415e-03      1.4484e-03      3.5860e+00      2.1000e+00
   8.8976e-03      1.5416e-03      3.7060e+00      2.0300e+00
   1.0010e-02      1.7259e-03      3.9260e+00      1.9050e+00
   1.1122e-02      1.9080e-03      4.1260e+00      1.7970e+00
   1.2234e-02      2.0876e-03      4.3090e+00      1.7020e+00
   1.3346e-02      2.2647e-03      4.4780e+00      1.6180e+00
   1.4459e-02      2.4400e-03      4.6390e+00      1.5440e+00
   1.5571e-02      2.6131e-03      4.7920e+00      1.4760e+00
   1.7795e-02      2.9530e-03      5.0850e+00      1.3600e+00
   2.0020e-02      3.2939e-03      5.3690e+00      1.2640e+00
   2.2244e-02      3.6047e-03      5.6470e+00      1.1810e+00
   2.4468e-02      3.9154e-03      5.9220e+00      1.1110e+00
   2.6693e-02      4.2262e-03      6.1940e+00      1.0490e+00
   2.8917e-02      4.5059e-03      6.4630e+00      9.9440e-01
   3.1142e-02      4.8166e-03      6.7290e+00      9.4610e-01
   3.3366e-02      5.0963e-03      6.9910e+00      9.0270e-01
   3.5590e-02      5.3759e-03      7.2520e+00      8.6370e-01
   3.7815e-02      5.6245e-03      7.5090e+00      8.2830e-01
   4.0039e-02      5.9042e-03      7.7640e+00      7.9600e-01
   4.4488e-02      6.4014e-03      8.2660e+00      7.3930e-01
   5.0049e-02      6.9918e-03      8.8790e+00      6.8000e-01
   5.5610e-02      7.5512e-03      9.4790e+00      6.3040e-01
   6.1171e-02      8.0795e-03      1.0060e+01      5.8830e-01
   6.6732e-02      8.5767e-03      1.0640e+01      5.5200e-01
   7.2293e-02      9.0428e-03      1.1200e+01      5.2040e-01
   7.7854e-02      9.5089e-03      1.1740e+01      4.9260e-01
   8.3415e-02      9.9439e-03      1.2280e+01      4.6790e-01
   8.8976e-02      1.0379e-02      1.2800e+01      4.4570e-01
   1.0010e-01      1.1187e-02      1.3800e+01      4.0780e-01
   1.1122e-01      1.1933e-02      1.4760e+01      3.7630e-01
   1.2234e-01      1.2647e-02      1.5670e+01      3.4980e-01
   1.3346e-01      1.3331e-02      1.6520e+01      3.2710e-01
   1.4459e-01      1.3953e-02      1.7340e+01      3.0740e-01
   1.5571e-01      1.4574e-02      1.8100e+01      2.9010e-01
   1.7795e-01      1.5755e-02      1.9500e+01      2.6130e-01
   2.0020e-01      1.6843e-02      2.0750e+01      2.3810e-01
   2.2244e-01      1.7868e-02      2.1860e+01      2.1900e-01
