#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   7.0969e-03      6.1429e-04      2.6610e+00      8.1110e+00
   7.8066e-03      6.7623e-04      2.8160e+00      7.8820e+00
   8.5163e-03      7.3866e-04      2.9700e+00      7.6670e+00
   9.2259e-03      8.0142e-04      3.1220e+00      7.4640e+00
   9.9356e-03      8.6468e-04      3.2720e+00      7.2730e+00
   1.0645e-02      9.2827e-04      3.4200e+00      7.0930e+00
   1.1355e-02      9.9202e-04      3.5650e+00      6.9220e+00
   1.2065e-02      1.0561e-03      3.7070e+00      6.7610e+00
   1.2774e-02      1.1202e-03      3.8470e+00      6.6090e+00
   1.4194e-02      1.2490e-03      4.1190e+00      6.3270e+00
   1.5968e-02      1.4103e-03      4.4470e+00      6.0110e+00
   1.7742e-02      1.5716e-03      4.7650e+00      5.7310e+00
   1.9516e-02      1.7297e-03      5.0720e+00      5.4800e+00
   2.1291e-02      1.8944e-03      5.3710e+00      5.2530e+00
   2.3065e-02      2.0592e-03      5.6640e+00      5.0470e+00
   2.4839e-02      2.2074e-03      5.9500e+00      4.8600e+00
   2.6613e-02      2.3722e-03      6.2320e+00      4.6880e+00
   2.8388e-02      2.5204e-03      6.5090e+00      4.5300e+00
   3.1936e-02      2.8334e-03      7.0530e+00      4.2490e+00
   3.5484e-02      3.1299e-03      7.5850e+00      4.0050e+00
   3.9033e-02      3.4264e-03      8.1070e+00      3.7920e+00
   4.2581e-02      3.7065e-03      8.6210e+00      3.6040e+00
   4.6130e-02      3.9865e-03      9.1270e+00      3.4370e+00
   4.9678e-02      4.2501e-03      9.6260e+00      3.2860e+00
   5.6775e-02      4.7773e-03      1.0600e+01      3.0260e+00
   6.3872e-02      5.2714e-03      1.1540e+01      2.8100e+00
   7.0969e-02      5.7492e-03      1.2450e+01      2.6260e+00
   7.8066e-02      6.1940e-03      1.3330e+01      2.4670e+00
   8.5163e-02      6.6223e-03      1.4170e+01      2.3290e+00
   9.2259e-02      7.0341e-03      1.4980e+01      2.2080e+00
   9.9356e-02      7.4294e-03      1.5750e+01      2.1000e+00
   1.0645e-01      7.8248e-03      1.6480e+01      2.0030e+00
   1.1355e-01      8.1872e-03      1.7190e+01      1.9160e+00
   1.2065e-01      8.5496e-03      1.7860e+01      1.8370e+00
   1.2774e-01      8.9120e-03      1.8500e+01      1.7650e+00
