#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   7.1413e-04      4.6722e-04      4.2560e-01      7.4460e-01
   7.8555e-04      5.1203e-04      4.4630e-01      7.2980e-01
   8.5696e-04      5.5693e-04      4.6620e-01      7.1530e-01
   9.2837e-04      6.0201e-04      4.8520e-01      7.0130e-01
   9.9979e-04      6.4718e-04      5.0350e-01      6.8780e-01
   1.0712e-03      6.9244e-04      5.2120e-01      6.7480e-01
   1.1426e-03      7.3788e-04      5.3830e-01      6.6230e-01
   1.2140e-03      7.8340e-04      5.5490e-01      6.5030e-01
   1.2854e-03      8.2902e-04      5.7090e-01      6.3870e-01
   1.4283e-03      9.2034e-04      6.0180e-01      6.1680e-01
   1.6068e-03      1.0348e-03      6.3830e-01      5.9180e-01
   1.7853e-03      1.1493e-03      6.7290e-01      5.6890e-01
   1.9639e-03      1.2638e-03      7.0570e-01      5.4810e-01
   2.1424e-03      1.3792e-03      7.1580e-01      5.2890e-01
   2.3209e-03      1.4960e-03      7.3090e-01      5.1120e-01
   2.4995e-03      1.6135e-03      7.5300e-01      4.9490e-01
   2.6780e-03      1.7309e-03      7.7880e-01      4.7980e-01
   2.8565e-03      1.8478e-03      8.0620e-01      4.6570e-01
   3.2136e-03      2.0796e-03      8.6060e-01      4.4030e-01
   3.5707e-03      2.3085e-03      9.1030e-01      4.1790e-01
   3.9277e-03      2.5350e-03      9.5360e-01      3.9810e-01
   4.2848e-03      2.7597e-03      9.9030e-01      3.8030e-01
   4.6419e-03      2.9831e-03      1.0210e+00      3.6440e-01
   4.9989e-03      3.2060e-03      1.0460e+00      3.4990e-01
   5.7131e-03      3.6517e-03      1.0860e+00      3.2460e-01
   6.4272e-03      4.0986e-03      1.1140e+00      3.0320e-01
   7.1413e-03      4.5473e-03      1.1360e+00      2.8490e-01
   7.8555e-03      4.9983e-03      1.1540e+00      2.6890e-01
   8.5696e-03      5.4511e-03      1.1710e+00      2.5490e-01
   9.2837e-03      5.9052e-03      1.1880e+00      2.4250e-01
   9.9979e-03      6.3597e-03      1.2050e+00      2.3140e-01
   1.0712e-02      6.8140e-03      1.2220e+00      2.2140e-01
   1.1426e-02      7.2672e-03      1.2410e+00      2.1230e-01
   1.2140e-02      7.7184e-03      1.2610e+00      2.0410e-01
   1.2854e-02      8.1671e-03      1.2830e+00      1.9650e-01
   1.4283e-02      9.0159e-03      1.3300e+00      1.8320e-01
   1.6068e-02      1.0176e-02      1.3970e+00      1.6920e-01
   1.7853e-02      1.1158e-02      1.4720e+00      1.5740e-01
   1.9639e-02      1.2230e-02      1.5530e+00      1.4730e-01
   2.1424e-02      1.3211e-02      1.6390e+00      1.3850e-01
   2.3209e-02      1.4104e-02      1.7300e+00      1.3090e-01
   2.4995e-02      1.4997e-02      1.8230e+00      1.2420e-01
   2.6780e-02      1.5889e-02      1.9190e+00      1.1810e-01
   2.8565e-02      1.6693e-02      2.0160e+00      1.1270e-01
