#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      1.1959e-03      1.0864e+00      1.9744e+00
   1.1250e-03      1.2766e-03      1.5890e+00      1.9118e+00
   1.2500e-03      1.3533e-03      1.6659e+00      1.8562e+00
   1.3750e-03      1.4266e-03      1.7386e+00      1.8063e+00
   1.5000e-03      1.4971e-03      4.6374e-02      1.7613e+00
   1.6250e-03      1.5649e-03      1.5330e-01      1.7203e+00
   1.7500e-03      1.6305e-03      2.5399e-01      1.6827e+00
   1.8750e-03      1.6940e-03      3.4924e-01      1.6482e+00
   2.0000e-03      1.7557e-03      4.5292e-01      1.6162e+00
   2.2500e-03      1.8740e-03      6.0620e-01      1.5586e+00
   2.5000e-03      1.9866e-03      7.6153e-01      1.5080e+00
   2.7500e-03      2.0943e-03      9.0558e-01      1.4630e+00
   3.0000e-03      2.1977e-03      1.0402e+00      1.4225e+00
   3.2500e-03      2.2974e-03      1.1668e+00      1.3857e+00
   3.5000e-03      2.3936e-03      1.2866e+00      1.3520e+00
   3.7500e-03      2.4869e-03      1.4003e+00      1.3209e+00
   4.0000e-03      2.5774e-03      1.5267e+00      1.2921e+00
   4.5000e-03      2.7511e-03      1.7090e+00      1.2402e+00
   5.0000e-03      2.9164e-03      1.8975e+00      1.1945e+00
   5.5000e-03      3.0745e-03      2.0733e+00      1.1536e+00
   6.0000e-03      3.2263e-03      2.2383e+00      1.1168e+00
   6.5000e-03      3.3726e-03      2.3942e+00      1.0832e+00
   7.0000e-03      3.5139e-03      2.5422e+00      1.0525e+00
   7.5000e-03      3.6508e-03      2.6832e+00      1.0241e+00
   8.0000e-03      3.7836e-03      2.8425e+00      9.9783e-01
   9.0000e-03      4.0387e-03      3.0675e+00      9.5052e-01
   1.0000e-02      4.2814e-03      3.3141e+00      9.0892e-01
   1.1250e-02      4.5700e-03      3.5753e+00      8.6329e-01
   1.2500e-02      4.8446e-03      3.8301e+00      8.2331e-01
   1.3750e-02      5.1072e-03      4.0686e+00      7.8785e-01
   1.5000e-02      5.3594e-03      4.2932e+00      7.5611e-01
   1.6250e-02      5.6024e-03      4.5060e+00      7.2747e-01
   1.7500e-02      5.8371e-03      4.7084e+00      7.0145e-01
   1.8750e-02      6.0645e-03      4.9017e+00      6.7766e-01
   2.0000e-02      6.2852e-03      5.1238e+00      6.5581e-01
   2.2500e-02      6.7089e-03      5.4300e+00      6.1694e-01
   2.5000e-02      7.1120e-03      5.7563e+00      5.8333e-01
   2.7500e-02      7.4976e-03      6.0623e+00      5.5390e-01
   3.0000e-02      7.8678e-03      6.3512e+00      5.2785e-01
   3.2500e-02      8.2244e-03      6.6254e+00      5.0459e-01
   3.5000e-02      8.5690e-03      6.8866e+00      4.8366e-01
   3.7500e-02      8.9028e-03      7.1365e+00      4.6471e-01
   4.0000e-02      9.2268e-03      7.4266e+00      4.4745e-01
   4.5000e-02      9.8488e-03      7.8212e+00      4.1710e-01
   5.0000e-02      1.0441e-02      8.2457e+00      3.9122e-01
   5.5000e-02      1.1007e-02      8.6449e+00      3.6884e-01
   6.0000e-02      1.1550e-02      9.0226e+00      3.4925e-01
   6.5000e-02      1.2074e-02      9.3817e+00      3.3194e-01
   7.0000e-02      1.2580e-02      9.7246e+00      3.1651e-01
   7.5000e-02      1.3070e-02      1.0053e+01      3.0264e-01
   8.0000e-02      1.3545e-02      1.0437e+01      2.9011e-01
   9.0000e-02      1.4458e-02      1.0955e+01      2.6831e-01
   1.0000e-01      1.5327e-02      1.0838e+01      2.4994e-01
   1.1250e-01      1.6496e-02      1.1007e+01      2.3064e-01
   1.2500e-01      1.7552e-02      1.2145e+01      2.1443e-01
   1.3750e-01      1.8519e-02      1.3229e+01      2.0061e-01
   1.5000e-01      1.9413e-02      1.4252e+01      1.8865e-01
   1.6250e-01      2.0250e-02      1.5210e+01      1.7819e-01
   1.7500e-01      2.1038e-02      1.6103e+01      1.6896e-01
   1.8750e-01      2.1786e-02      1.6931e+01      1.6074e-01
   2.0000e-01      2.2501e-02      1.7853e+01      1.5336e-01
   2.2500e-01      2.3848e-02      1.9005e+01      1.4067e-01
   2.5000e-01      2.5112e-02      2.0158e+01      1.3010e-01
   2.7500e-01      2.6313e-02      2.1126e+01      1.2116e-01
   3.0000e-01      2.7466e-02      2.1937e+01      1.1348e-01
   3.2500e-01      2.8581e-02      2.2616e+01      1.0680e-01
   3.5000e-01      2.9666e-02      2.3185e+01      1.0094e-01
   3.7500e-01      3.0728e-02      2.3661e+01      9.5740e-02
   4.0000e-01      3.1771e-02      2.4131e+01      9.1100e-02
   4.5000e-01      3.3813e-02      2.4641e+01      8.3158e-02
   5.0000e-01      3.5815e-02      2.5068e+01      7.6595e-02
   5.5000e-01      3.7790e-02      2.5354e+01      7.1072e-02
   6.0000e-01      3.9748e-02      2.5537e+01      6.6353e-02
   6.5000e-01      4.1696e-02      2.5644e+01      6.2270e-02
   7.0000e-01      4.3638e-02      2.5692e+01      5.8699e-02
   7.5000e-01      4.5579e-02      2.5695e+01      5.5547e-02
   8.0000e-01      4.7522e-02      2.5646e+01      5.2742e-02
   9.0000e-01      5.1420e-02      2.5519e+01      4.7961e-02
   1.0000e+00      5.5344e-02      2.5303e+01      4.4032e-02
   1.1250e+00      6.0302e-02      2.5008e+01      4.0000e-02
   1.2500e+00      6.5325e-02      2.4664e+01      3.6690e-02
   1.3750e+00      7.0423e-02      2.4302e+01      3.3921e-02
   1.5000e+00      7.5598e-02      2.3932e+01      3.1567e-02
   1.6250e+00      8.0855e-02      2.3561e+01      2.9540e-02
   1.7500e+00      8.6196e-02      2.3193e+01      2.7774e-02
   1.8750e+00      9.1622e-02      2.2831e+01      2.6220e-02
   2.0000e+00      9.7133e-02      2.2389e+01      2.4843e-02
   2.2500e+00      1.0842e-01      2.1794e+01      2.2505e-02
   2.5000e+00      1.2005e-01      2.1150e+01      2.0594e-02
   2.7500e+00      1.3204e-01      2.0542e+01      1.9000e-02
   3.0000e+00      1.4437e-01      1.9970e+01      1.7649e-02
   3.2500e+00      1.5705e-01      1.9432e+01      1.6488e-02
   3.5000e+00      1.7008e-01      1.8925e+01      1.5479e-02
   3.7500e+00      1.8345e-01      1.8447e+01      1.4594e-02
   4.0000e+00      1.9716e-01      1.7886e+01      1.3810e-02
   4.5000e+00      2.2560e-01      1.7164e+01      1.2483e-02
   5.0000e+00      2.5538e-01      1.6416e+01      1.1401e-02
   5.5000e+00      2.8648e-01      1.5739e+01      1.0501e-02
   6.0000e+00      3.1887e-01      1.5123e+01      9.7404e-03
   6.5000e+00      3.5256e-01      1.4560e+01      9.0878e-03
   7.0000e+00      3.8751e-01      1.4044e+01      8.5217e-03
   7.5000e+00      4.2372e-01      1.3568e+01      8.0255e-03
