#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      1.3448e-02      6.1407e-02      3.7078e-02
   1.1250e-03      1.4306e-02      1.1390e-01      3.5742e-02
   1.2500e-03      1.5119e-02      1.2280e-01      3.4568e-02
   1.3750e-03      1.5894e-02      1.3117e-01      3.3522e-02
   1.5000e-03      1.6637e-02      1.3909e-01      3.2580e-02
   1.6250e-03      1.7350e-02      1.4662e-01      3.1725e-02
   1.7500e-03      1.8039e-02      1.5382e-01      3.0941e-02
   1.8750e-03      1.8704e-02      1.6071e-01      3.0219e-02
   2.0000e-03      1.9348e-02      1.6869e-01      2.9549e-02
   2.2500e-03      2.0582e-02      1.7968e-01      2.8341e-02
   2.5000e-03      2.1752e-02      1.9148e-01      2.7276e-02
   2.7500e-03      2.2867e-02      2.0262e-01      2.6325e-02
   3.0000e-03      2.3936e-02      2.1318e-01      2.5466e-02
   3.2500e-03      2.4962e-02      2.2324e-01      2.4685e-02
   3.5000e-03      2.5952e-02      2.3287e-01      2.3970e-02
   3.7500e-03      2.6909e-02      2.4211e-01      2.3310e-02
   4.0000e-03      2.7836e-02      2.5287e-01      2.2699e-02
   4.5000e-03      2.9611e-02      2.6757e-01      2.1600e-02
   5.0000e-03      3.1294e-02      2.8347e-01      2.0635e-02
   5.5000e-03      3.2899e-02      2.9848e-01      1.9777e-02
   6.0000e-03      3.4436e-02      3.1274e-01      1.9007e-02
   6.5000e-03      3.5914e-02      3.2633e-01      1.8312e-02
   7.0000e-03      3.7338e-02      3.3936e-01      1.7678e-02
   7.5000e-03      3.8715e-02      3.5186e-01      1.7098e-02
   8.0000e-03      4.0048e-02      3.6652e-01      1.6565e-02
   9.0000e-03      4.2602e-02      3.8637e-01      1.5613e-02
   1.0000e-02      4.5024e-02      4.0908e-01      1.4788e-02
   1.1250e-02      4.7894e-02      4.3306e-01      1.3896e-02
   1.2500e-02      5.0617e-02      4.5690e-01      1.3126e-02
