 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in  H- C- O.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   4,643E-01  2,569E+00     234 A        76 A        58 A   
  11,00 keV   4,870E-01  2,562E+00     254 A        82 A        62 A   
  12,00 keV   5,087E-01  2,553E+00     273 A        88 A        66 A   
  13,00 keV   5,294E-01  2,541E+00     293 A        93 A        70 A   
  14,00 keV   5,494E-01  2,527E+00     313 A        98 A        74 A   
  15,00 keV   5,687E-01  2,513E+00     333 A       104 A        78 A   
  16,00 keV   5,874E-01  2,497E+00     352 A       109 A        82 A   
  17,00 keV   6,054E-01  2,480E+00     372 A       114 A        86 A   
  18,00 keV   6,230E-01  2,463E+00     392 A       120 A        90 A   
  20,00 keV   6,567E-01  2,428E+00     432 A       130 A        97 A   
  22,50 keV   6,965E-01  2,383E+00     482 A       143 A       107 A   
  25,00 keV   7,342E-01  2,338E+00     532 A       155 A       116 A   
  27,50 keV   7,700E-01  2,294E+00     583 A       168 A       126 A   
  30,00 keV   8,043E-01  2,251E+00     634 A       180 A       135 A   
  32,50 keV   8,371E-01  2,208E+00     685 A       193 A       144 A   
  35,00 keV   8,687E-01  2,168E+00     737 A       205 A       153 A   
  37,50 keV   8,992E-01  2,128E+00     789 A       217 A       163 A   
  40,00 keV   9,287E-01  2,090E+00     841 A       228 A       172 A   
  45,00 keV   9,851E-01  2,018E+00     946 A       252 A       190 A   
