 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in Silicon.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,021E+00  1,061E+00    1673 A       611 A       456 A   
 110,00 keV   1,071E+00  1,021E+00    1842 A       657 A       496 A   
 120,00 keV   1,117E+00  9,848E-01    2011 A       701 A       535 A   
 130,00 keV   1,161E+00  9,513E-01    2181 A       745 A       573 A   
 140,00 keV   1,203E+00  9,204E-01    2350 A       787 A       611 A   
 150,00 keV   1,243E+00  8,918E-01    2520 A       828 A       648 A   
 160,00 keV   1,282E+00  8,652E-01    2690 A       867 A       685 A   
 170,00 keV   1,320E+00  8,404E-01    2859 A       906 A       721 A   
 180,00 keV   1,357E+00  8,172E-01    3028 A       943 A       757 A   
 200,00 keV   1,429E+00  7,751E-01    3366 A      1015 A       827 A   
 225,00 keV   1,517E+00  7,292E-01    3784 A      1100 A       912 A   
 250,00 keV   1,604E+00  6,892E-01    4197 A      1179 A       994 A   
 275,00 keV   1,691E+00  6,540E-01    4605 A      1252 A      1072 A   
 300,00 keV   1,778E+00  6,228E-01    5006 A      1321 A      1148 A   
 325,00 keV   1,867E+00  5,948E-01    5399 A      1385 A      1221 A   
 350,00 keV   1,955E+00  5,697E-01    5785 A      1445 A      1290 A   
 375,00 keV   2,044E+00  5,469E-01    6163 A      1500 A      1357 A   
 400,00 keV   2,134E+00  5,261E-01    6533 A      1552 A      1421 A   
