 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in  H- C- O.txt

 Ion = Argon [18] , Mass = 39,962 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,517E-01  3,685E+00     187 A        53 A        42 A   
  11,00 keV   7,884E-01  3,713E+00     201 A        56 A        45 A   
  12,00 keV   8,235E-01  3,733E+00     215 A        60 A        47 A   
  13,00 keV   8,571E-01  3,749E+00     228 A        63 A        50 A   
  14,00 keV   8,895E-01  3,760E+00     242 A        66 A        53 A   
  15,00 keV   9,207E-01  3,767E+00     255 A        69 A        55 A   
  16,00 keV   9,509E-01  3,772E+00     269 A        72 A        57 A   
  17,00 keV   9,802E-01  3,773E+00     282 A        75 A        60 A   
  18,00 keV   1,009E+00  3,773E+00     295 A        78 A        62 A   
  20,00 keV   1,063E+00  3,767E+00     321 A        84 A        67 A   
  22,50 keV   1,128E+00  3,751E+00     354 A        91 A        73 A   
  25,00 keV   1,189E+00  3,730E+00     387 A        98 A        78 A   
  27,50 keV   1,247E+00  3,704E+00     419 A       105 A        84 A   
  30,00 keV   1,302E+00  3,675E+00     451 A       112 A        89 A   
  32,50 keV   1,355E+00  3,644E+00     483 A       118 A        95 A   
  35,00 keV   1,406E+00  3,612E+00     515 A       125 A       100 A   
  37,50 keV   1,456E+00  3,578E+00     547 A       131 A       105 A   
  40,00 keV   1,504E+00  3,544E+00     579 A       138 A       110 A   
  45,00 keV   1,595E+00  3,476E+00     644 A       150 A       120 A   
