 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Silicon.txt

 Ion = Argon [18] , Mass = 39,962 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,623E+00  2,057E+00    1065 A       351 A       261 A   
 110,00 keV   1,723E+00  2,001E+00    1164 A       376 A       282 A   
 120,00 keV   1,803E+00  1,948E+00    1262 A       400 A       302 A   
 130,00 keV   1,869E+00  1,898E+00    1360 A       423 A       322 A   
 140,00 keV   1,926E+00  1,851E+00    1458 A       446 A       341 A   
 150,00 keV   1,975E+00  1,807E+00    1556 A       469 A       360 A   
 160,00 keV   2,019E+00  1,765E+00    1655 A       491 A       379 A   
 170,00 keV   2,059E+00  1,725E+00    1754 A       512 A       398 A   
 180,00 keV   2,096E+00  1,687E+00    1853 A       534 A       416 A   
 200,00 keV   2,165E+00  1,616E+00    2053 A       576 A       452 A   
 225,00 keV   2,242E+00  1,538E+00    2305 A       626 A       497 A   
 250,00 keV   2,315E+00  1,467E+00    2558 A       675 A       541 A   
 275,00 keV   2,385E+00  1,404E+00    2813 A       722 A       584 A   
 300,00 keV   2,453E+00  1,347E+00    3068 A       768 A       627 A   
 325,00 keV   2,522E+00  1,296E+00    3323 A       812 A       669 A   
 350,00 keV   2,591E+00  1,248E+00    3578 A       854 A       710 A   
 375,00 keV   2,661E+00  1,205E+00    3832 A       895 A       751 A   
 400,00 keV   2,731E+00  1,165E+00    4085 A       934 A       791 A   
 450,00 keV   2,875E+00  1,094E+00    4586 A      1010 A       870 A   
