 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Arsenic in  H- C- O.txt

 Ion = Arsenic [33] , Mass = 74,92 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,376E+00  6,934E+00     918 A       171 A       145 A   
 110,00 keV   1,443E+00  6,863E+00     998 A       183 A       156 A   
 120,00 keV   1,507E+00  6,789E+00    1079 A       196 A       166 A   
 130,00 keV   1,569E+00  6,712E+00    1160 A       208 A       177 A   
 140,00 keV   1,628E+00  6,635E+00    1241 A       220 A       188 A   
 150,00 keV   1,686E+00  6,557E+00    1322 A       232 A       198 A   
 160,00 keV   1,781E+00  6,480E+00    1404 A       244 A       209 A   
 170,00 keV   1,855E+00  6,403E+00    1485 A       256 A       219 A   
 180,00 keV   1,917E+00  6,327E+00    1567 A       268 A       230 A   
 200,00 keV   2,015E+00  6,179E+00    1731 A       291 A       250 A   
 225,00 keV   2,116E+00  6,002E+00    1939 A       320 A       276 A   
 250,00 keV   2,209E+00  5,834E+00    2149 A       349 A       302 A   
 275,00 keV   2,302E+00  5,675E+00    2361 A       377 A       327 A   
 300,00 keV   2,397E+00  5,525E+00    2575 A       404 A       353 A   
 325,00 keV   2,494E+00  5,383E+00    2790 A       431 A       378 A   
 350,00 keV   2,594E+00  5,249E+00    3007 A       458 A       403 A   
 375,00 keV   2,696E+00  5,123E+00    3225 A       484 A       428 A   
 400,00 keV   2,799E+00  5,003E+00    3444 A       510 A       453 A   
