 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Arsenic in Silicon.txt

 Ion = Arsenic [33] , Mass = 74,92 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,701E-01  5,224E+00     692 A       206 A       158 A   
 110,00 keV   9,125E-01  5,187E+00     753 A       221 A       170 A   
 120,00 keV   9,531E-01  5,147E+00     813 A       237 A       182 A   
 130,00 keV   9,920E-01  5,104E+00     875 A       252 A       194 A   
 140,00 keV   1,029E+00  5,059E+00     936 A       267 A       205 A   
 150,00 keV   1,067E+00  5,012E+00     997 A       282 A       217 A   
 160,00 keV   1,171E+00  4,965E+00    1059 A       297 A       228 A   
 170,00 keV   1,256E+00  4,917E+00    1120 A       312 A       239 A   
 180,00 keV   1,326E+00  4,869E+00    1181 A       326 A       251 A   
 200,00 keV   1,435E+00  4,774E+00    1303 A       355 A       273 A   
 225,00 keV   1,533E+00  4,657E+00    1456 A       389 A       301 A   
 250,00 keV   1,609E+00  4,544E+00    1610 A       424 A       328 A   
 275,00 keV   1,677E+00  4,436E+00    1766 A       458 A       355 A   
 300,00 keV   1,743E+00  4,332E+00    1924 A       491 A       382 A   
 325,00 keV   1,809E+00  4,234E+00    2082 A       525 A       409 A   
 350,00 keV   1,876E+00  4,139E+00    2243 A       557 A       436 A   
 375,00 keV   1,944E+00  4,049E+00    2404 A       590 A       462 A   
 400,00 keV   2,013E+00  3,964E+00    2566 A       622 A       489 A   
 450,00 keV   2,150E+00  3,804E+00    2892 A       685 A       542 A   
