 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Silicon.txt

 Ion = Beryllium [4] , Mass = 9,012 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   2,648E-01  2,244E-01     539 A       331 A       250 A   
  11,00 keV   2,777E-01  2,184E-01     593 A       356 A       271 A   
  12,00 keV   2,900E-01  2,127E-01     647 A       380 A       291 A   
  13,00 keV   3,019E-01  2,074E-01     701 A       404 A       310 A   
  14,00 keV   3,133E-01  2,023E-01     754 A       427 A       330 A   
  15,00 keV   3,243E-01  1,975E-01     808 A       450 A       349 A   
  16,00 keV   3,349E-01  1,930E-01     862 A       471 A       368 A   
  17,00 keV   3,452E-01  1,887E-01     916 A       493 A       386 A   
  18,00 keV   3,552E-01  1,846E-01     970 A       514 A       404 A   
  20,00 keV   3,807E-01  1,770E-01    1077 A       554 A       440 A   
  22,50 keV   4,089E-01  1,685E-01    1209 A       600 A       483 A   
  25,00 keV   4,341E-01  1,609E-01    1339 A       644 A       524 A   
  27,50 keV   4,572E-01  1,540E-01    1467 A       685 A       564 A   
  30,00 keV   4,788E-01  1,478E-01    1595 A       723 A       602 A   
  32,50 keV   4,996E-01  1,422E-01    1721 A       760 A       638 A   
  35,00 keV   5,199E-01  1,370E-01    1846 A       795 A       673 A   
  37,50 keV   5,397E-01  1,323E-01    1970 A       828 A       707 A   
  40,00 keV   5,591E-01  1,280E-01    2092 A       860 A       740 A   
  45,00 keV   5,967E-01  1,202E-01    2332 A       918 A       802 A   
