 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in Silicon.txt

 Ion = Boron [5] , Mass = 11,009 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,249E+00  1,278E-01    3180 A       886 A       837 A   
 110,00 keV   1,286E+00  1,205E-01    3455 A       923 A       883 A   
 120,00 keV   1,323E+00  1,142E-01    3727 A       958 A       927 A   
 130,00 keV   1,359E+00  1,085E-01    3995 A       991 A       969 A   
 140,00 keV   1,396E+00  1,035E-01    4259 A      1021 A      1009 A   
 150,00 keV   1,434E+00  9,901E-02    4519 A      1050 A      1047 A   
 160,00 keV   1,472E+00  9,492E-02    4774 A      1076 A      1084 A   
 170,00 keV   1,511E+00  9,120E-02    5025 A      1101 A      1119 A   
 180,00 keV   1,550E+00  8,780E-02    5271 A      1125 A      1152 A   
 200,00 keV   1,631E+00  8,179E-02    5749 A      1169 A      1215 A   
 225,00 keV   1,733E+00  7,547E-02    6322 A      1218 A      1287 A   
 250,00 keV   1,837E+00  7,017E-02    6868 A      1260 A      1352 A   
 275,00 keV   1,941E+00  6,564E-02    7389 A      1297 A      1411 A   
 300,00 keV   2,043E+00  6,172E-02    7888 A      1329 A      1464 A   
 325,00 keV   2,145E+00  5,830E-02    8365 A      1359 A      1513 A   
 350,00 keV   2,243E+00  5,527E-02    8824 A      1385 A      1558 A   
 375,00 keV   2,340E+00  5,258E-02    9265 A      1408 A      1600 A   
 400,00 keV   2,433E+00  5,016E-02    9690 A      1429 A      1638 A   
