 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in  H- C- O.txt

 Ion = Bromine [35] , Mass = 78,92 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,295E+00  7,417E+00     888 A       164 A       139 A   
 110,00 keV   1,358E+00  7,356E+00     965 A       176 A       150 A   
 120,00 keV   1,419E+00  7,290E+00    1042 A       187 A       160 A   
 130,00 keV   1,477E+00  7,221E+00    1119 A       199 A       170 A   
 140,00 keV   1,532E+00  7,149E+00    1196 A       211 A       180 A   
 150,00 keV   1,586E+00  7,076E+00    1274 A       222 A       190 A   
 160,00 keV   1,647E+00  7,003E+00    1352 A       233 A       200 A   
 170,00 keV   1,729E+00  6,929E+00    1429 A       245 A       210 A   
 180,00 keV   1,797E+00  6,856E+00    1507 A       256 A       220 A   
 200,00 keV   1,905E+00  6,711E+00    1664 A       278 A       240 A   
 225,00 keV   2,011E+00  6,536E+00    1861 A       306 A       264 A   
 250,00 keV   2,104E+00  6,368E+00    2060 A       333 A       288 A   
 275,00 keV   2,190E+00  6,208E+00    2262 A       360 A       313 A   
 300,00 keV   2,276E+00  6,055E+00    2465 A       386 A       337 A   
 325,00 keV   2,361E+00  5,911E+00    2670 A       412 A       361 A   
 350,00 keV   2,448E+00  5,773E+00    2877 A       438 A       385 A   
 375,00 keV   2,535E+00  5,643E+00    3085 A       463 A       409 A   
 400,00 keV   2,623E+00  5,518E+00    3295 A       488 A       433 A   
