 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Silicon.txt

 Ion = Bromine [35] , Mass = 78,92 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,188E-01  5,608E+00     667 A       196 A       152 A   
 110,00 keV   8,588E-01  5,579E+00     724 A       210 A       163 A   
 120,00 keV   8,970E-01  5,545E+00     782 A       225 A       174 A   
 130,00 keV   9,336E-01  5,507E+00     840 A       239 A       185 A   
 140,00 keV   9,688E-01  5,467E+00     898 A       254 A       196 A   
 150,00 keV   1,003E+00  5,424E+00     956 A       268 A       207 A   
 160,00 keV   1,051E+00  5,380E+00    1015 A       282 A       218 A   
 170,00 keV   1,142E+00  5,334E+00    1073 A       296 A       228 A   
 180,00 keV   1,219E+00  5,289E+00    1131 A       310 A       239 A   
 200,00 keV   1,340E+00  5,197E+00    1247 A       337 A       260 A   
 225,00 keV   1,448E+00  5,082E+00    1393 A       370 A       286 A   
 250,00 keV   1,529E+00  4,970E+00    1539 A       402 A       312 A   
 275,00 keV   1,596E+00  4,862E+00    1687 A       434 A       338 A   
 300,00 keV   1,657E+00  4,757E+00    1836 A       466 A       363 A   
 325,00 keV   1,716E+00  4,656E+00    1987 A       498 A       389 A   
 350,00 keV   1,774E+00  4,560E+00    2139 A       529 A       414 A   
 375,00 keV   1,832E+00  4,467E+00    2292 A       561 A       440 A   
 400,00 keV   1,890E+00  4,378E+00    2446 A       591 A       465 A   
 450,00 keV   2,007E+00  4,212E+00    2758 A       653 A       515 A   
