 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Calcium in  H- C- O.txt

 Ion = Calcium [20] , Mass = 39,963 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,798E+00  3,224E+00    1322 A       282 A       227 A   
 110,00 keV   1,878E+00  3,126E+00    1454 A       305 A       246 A   
 120,00 keV   1,964E+00  3,035E+00    1586 A       326 A       265 A   
 130,00 keV   2,054E+00  2,949E+00    1719 A       348 A       284 A   
 140,00 keV   2,144E+00  2,869E+00    1852 A       369 A       302 A   
 150,00 keV   2,233E+00  2,794E+00    1985 A       389 A       321 A   
 160,00 keV   2,320E+00  2,723E+00    2117 A       409 A       339 A   
 170,00 keV   2,404E+00  2,656E+00    2250 A       428 A       357 A   
 180,00 keV   2,486E+00  2,593E+00    2382 A       446 A       375 A   
 200,00 keV   2,643E+00  2,477E+00    2645 A       483 A       411 A   
 225,00 keV   2,824E+00  2,348E+00    2972 A       526 A       454 A   
 250,00 keV   2,990E+00  2,234E+00    3297 A       567 A       496 A   
 275,00 keV   3,144E+00  2,133E+00    3619 A       606 A       537 A   
 300,00 keV   3,287E+00  2,041E+00    3939 A       643 A       576 A   
 325,00 keV   3,420E+00  1,959E+00    4257 A       677 A       615 A   
 350,00 keV   3,545E+00  1,884E+00    4572 A       711 A       653 A   
 375,00 keV   3,663E+00  1,815E+00    4885 A       742 A       689 A   
 400,00 keV   3,775E+00  1,752E+00    5196 A       773 A       725 A   
