 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Calcium in Silicon.txt

 Ion = Calcium [20] , Mass = 39,963 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,260E+00  2,329E+00    1035 A       359 A       261 A   
 110,00 keV   1,345E+00  2,271E+00    1135 A       387 A       283 A   
 120,00 keV   1,423E+00  2,216E+00    1234 A       414 A       304 A   
 130,00 keV   1,495E+00  2,163E+00    1333 A       440 A       325 A   
 140,00 keV   1,562E+00  2,113E+00    1432 A       465 A       346 A   
 150,00 keV   1,626E+00  2,066E+00    1531 A       490 A       366 A   
 160,00 keV   1,687E+00  2,020E+00    1631 A       515 A       387 A   
 170,00 keV   1,745E+00  1,977E+00    1730 A       539 A       407 A   
 180,00 keV   1,801E+00  1,936E+00    1829 A       562 A       427 A   
 200,00 keV   1,905E+00  1,860E+00    2027 A       607 A       466 A   
 225,00 keV   2,025E+00  1,774E+00    2274 A       662 A       514 A   
 250,00 keV   2,135E+00  1,697E+00    2521 A       713 A       561 A   
 275,00 keV   2,237E+00  1,627E+00    2767 A       763 A       607 A   
 300,00 keV   2,333E+00  1,563E+00    3012 A       811 A       651 A   
 325,00 keV   2,424E+00  1,506E+00    3256 A       856 A       695 A   
 350,00 keV   2,513E+00  1,453E+00    3500 A       900 A       738 A   
 375,00 keV   2,599E+00  1,404E+00    3742 A       942 A       781 A   
 400,00 keV   2,684E+00  1,359E+00    3983 A       982 A       822 A   
 450,00 keV   2,851E+00  1,278E+00    4459 A      1059 A       902 A   
