 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- C- O.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,529E-01  7,876E-01     421 A       157 A       115 A   
  11,00 keV   6,847E-01  7,658E-01     461 A       168 A       124 A   
  12,00 keV   7,152E-01  7,453E-01     502 A       180 A       133 A   
  13,00 keV   7,444E-01  7,259E-01     542 A       191 A       142 A   
  14,00 keV   7,725E-01  7,076E-01     582 A       201 A       151 A   
  15,00 keV   7,996E-01  6,903E-01     622 A       212 A       160 A   
  16,00 keV   8,258E-01  6,740E-01     662 A       222 A       169 A   
  17,00 keV   8,513E-01  6,585E-01     702 A       232 A       177 A   
  18,00 keV   8,759E-01  6,439E-01     742 A       242 A       186 A   
  20,00 keV   9,233E-01  6,168E-01     822 A       260 A       202 A   
  22,50 keV   9,794E-01  5,864E-01     920 A       282 A       222 A   
  25,00 keV   1,029E+00  5,594E-01    1018 A       303 A       242 A   
  27,50 keV   1,072E+00  5,351E-01    1116 A       323 A       261 A   
  30,00 keV   1,113E+00  5,132E-01    1212 A       342 A       279 A   
  32,50 keV   1,152E+00  4,933E-01    1309 A       360 A       297 A   
  35,00 keV   1,189E+00  4,752E-01    1404 A       377 A       315 A   
  37,50 keV   1,224E+00  4,585E-01    1499 A       394 A       332 A   
  40,00 keV   1,258E+00  4,432E-01    1594 A       410 A       349 A   
  45,00 keV   1,322E+00  4,159E-01    1780 A       440 A       381 A   
