 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Chlorine in  H- C- O.txt

 Ion = Chlorine [17] , Mass = 34,969 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   8,379E-01  3,441E+00     188 A        56 A        44 A   
  11,00 keV   8,788E-01  3,458E+00     203 A        59 A        47 A   
  12,00 keV   9,179E-01  3,470E+00     217 A        63 A        49 A   
  13,00 keV   9,554E-01  3,477E+00     231 A        66 A        52 A   
  14,00 keV   9,914E-01  3,480E+00     245 A        69 A        55 A   
  15,00 keV   1,026E+00  3,481E+00     259 A        73 A        57 A   
  16,00 keV   1,060E+00  3,479E+00     272 A        76 A        60 A   
  17,00 keV   1,092E+00  3,474E+00     286 A        79 A        62 A   
  18,00 keV   1,124E+00  3,468E+00     300 A        82 A        65 A   
  20,00 keV   1,185E+00  3,452E+00     327 A        89 A        70 A   
  22,50 keV   1,257E+00  3,426E+00     361 A        96 A        76 A   
  25,00 keV   1,325E+00  3,395E+00     394 A       104 A        82 A   
  27,50 keV   1,390E+00  3,362E+00     428 A       111 A        88 A   
  30,00 keV   1,451E+00  3,326E+00     461 A       118 A        93 A   
  32,50 keV   1,511E+00  3,290E+00     495 A       125 A        99 A   
  35,00 keV   1,568E+00  3,253E+00     528 A       132 A       105 A   
  37,50 keV   1,623E+00  3,215E+00     561 A       139 A       110 A   
  40,00 keV   1,676E+00  3,178E+00     594 A       146 A       116 A   
  45,00 keV   1,778E+00  3,105E+00     660 A       159 A       126 A   
