 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Chlorine in Silicon.txt

 Ion = Chlorine [17] , Mass = 34,969 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,959E+00  1,773E+00    1090 A       364 A       276 A   
 110,00 keV   2,023E+00  1,720E+00    1187 A       387 A       297 A   
 120,00 keV   2,061E+00  1,670E+00    1285 A       411 A       317 A   
 130,00 keV   2,082E+00  1,624E+00    1384 A       434 A       337 A   
 140,00 keV   2,093E+00  1,581E+00    1484 A       457 A       356 A   
 150,00 keV   2,100E+00  1,540E+00    1586 A       480 A       375 A   
 160,00 keV   2,105E+00  1,501E+00    1690 A       503 A       394 A   
 170,00 keV   2,108E+00  1,465E+00    1794 A       526 A       412 A   
 180,00 keV   2,112E+00  1,431E+00    1900 A       548 A       431 A   
 200,00 keV   2,123E+00  1,367E+00    2116 A       594 A       468 A   
 225,00 keV   2,144E+00  1,297E+00    2391 A       650 A       515 A   
 250,00 keV   2,176E+00  1,235E+00    2671 A       705 A       562 A   
 275,00 keV   2,219E+00  1,179E+00    2954 A       759 A       609 A   
 300,00 keV   2,271E+00  1,129E+00    3239 A       811 A       656 A   
 325,00 keV   2,332E+00  1,084E+00    3524 A       861 A       703 A   
 350,00 keV   2,400E+00  1,042E+00    3809 A       909 A       750 A   
 375,00 keV   2,474E+00  1,005E+00    4091 A       955 A       796 A   
 400,00 keV   2,553E+00  9,700E-01    4371 A       999 A       841 A   
 450,00 keV   2,723E+00  9,085E-01    4922 A      1082 A       930 A   
