 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in  H- C- O.txt

 Ion = Chromium [24] , Mass = 51,94 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,699E+00  4,456E+00    1138 A       230 A       189 A   
 110,00 keV   1,740E+00  4,355E+00    1246 A       248 A       204 A   
 120,00 keV   1,773E+00  4,258E+00    1356 A       266 A       219 A   
 130,00 keV   1,822E+00  4,165E+00    1467 A       283 A       234 A   
 140,00 keV   1,881E+00  4,076E+00    1578 A       301 A       249 A   
 150,00 keV   1,945E+00  3,992E+00    1691 A       318 A       265 A   
 160,00 keV   2,012E+00  3,910E+00    1804 A       335 A       280 A   
 170,00 keV   2,080E+00  3,833E+00    1917 A       352 A       295 A   
 180,00 keV   2,148E+00  3,759E+00    2031 A       369 A       309 A   
 200,00 keV   2,280E+00  3,620E+00    2259 A       402 A       339 A   
 225,00 keV   2,434E+00  3,462E+00    2544 A       442 A       376 A   
 250,00 keV   2,574E+00  3,319E+00    2831 A       480 A       412 A   
 275,00 keV   2,702E+00  3,189E+00    3119 A       517 A       448 A   
 300,00 keV   2,817E+00  3,071E+00    3407 A       553 A       484 A   
 325,00 keV   2,922E+00  2,963E+00    3696 A       587 A       519 A   
 350,00 keV   3,018E+00  2,863E+00    3985 A       621 A       553 A   
 375,00 keV   3,106E+00  2,771E+00    4275 A       654 A       587 A   
 400,00 keV   3,188E+00  2,686E+00    4566 A       685 A       621 A   
