 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in Silicon.txt

 Ion = Chromium [24] , Mass = 51,94 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,074E+00  3,274E+00     881 A       288 A       212 A   
 110,00 keV   1,139E+00  3,215E+00     964 A       311 A       229 A   
 120,00 keV   1,209E+00  3,157E+00    1048 A       334 A       246 A   
 130,00 keV   1,277E+00  3,100E+00    1132 A       356 A       263 A   
 140,00 keV   1,342E+00  3,045E+00    1216 A       378 A       280 A   
 150,00 keV   1,403E+00  2,992E+00    1299 A       399 A       296 A   
 160,00 keV   1,460E+00  2,940E+00    1384 A       420 A       313 A   
 170,00 keV   1,514E+00  2,890E+00    1468 A       441 A       329 A   
 180,00 keV   1,565E+00  2,842E+00    1552 A       461 A       345 A   
 200,00 keV   1,660E+00  2,750E+00    1722 A       502 A       378 A   
 225,00 keV   1,765E+00  2,644E+00    1935 A       550 A       418 A   
 250,00 keV   1,859E+00  2,547E+00    2149 A       598 A       457 A   
 275,00 keV   1,943E+00  2,458E+00    2365 A       644 A       496 A   
 300,00 keV   2,018E+00  2,376E+00    2582 A       689 A       535 A   
 325,00 keV   2,086E+00  2,300E+00    2800 A       733 A       573 A   
 350,00 keV   2,149E+00  2,229E+00    3019 A       777 A       612 A   
 375,00 keV   2,207E+00  2,164E+00    3239 A       819 A       649 A   
 400,00 keV   2,262E+00  2,103E+00    3461 A       860 A       687 A   
 450,00 keV   2,364E+00  1,992E+00    3906 A       942 A       762 A   
