 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Cobalt in  H- C- O.txt

 Ion = Cobalt [27] , Mass = 58,93 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,248E+00  5,296E+00    1077 A       215 A       178 A   
 110,00 keV   1,309E+00  5,200E+00    1179 A       233 A       192 A   
 120,00 keV   1,387E+00  5,105E+00    1281 A       249 A       207 A   
 130,00 keV   1,501E+00  5,013E+00    1383 A       266 A       221 A   
 140,00 keV   1,573E+00  4,924E+00    1486 A       282 A       235 A   
 150,00 keV   1,620E+00  4,837E+00    1589 A       298 A       249 A   
 160,00 keV   1,651E+00  4,753E+00    1693 A       315 A       263 A   
 170,00 keV   1,674E+00  4,672E+00    1798 A       330 A       277 A   
 180,00 keV   1,692E+00  4,594E+00    1904 A       346 A       291 A   
 200,00 keV   1,724E+00  4,446E+00    2120 A       379 A       319 A   
 225,00 keV   1,767E+00  4,275E+00    2396 A       419 A       355 A   
 250,00 keV   1,821E+00  4,118E+00    2678 A       460 A       390 A   
 275,00 keV   1,887E+00  3,974E+00    2964 A       499 A       426 A   
 300,00 keV   1,963E+00  3,841E+00    3255 A       539 A       462 A   
 325,00 keV   2,047E+00  3,718E+00    3548 A       577 A       498 A   
 350,00 keV   2,137E+00  3,604E+00    3843 A       615 A       535 A   
 375,00 keV   2,230E+00  3,498E+00    4139 A       652 A       571 A   
 400,00 keV   2,325E+00  3,399E+00    4437 A       688 A       607 A   
