 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Cobalt in Silicon.txt

 Ion = Cobalt [27] , Mass = 58,93 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   7,892E-01  3,921E+00     822 A       265 A       196 A   
 110,00 keV   8,277E-01  3,866E+00     900 A       286 A       212 A   
 120,00 keV   8,872E-01  3,811E+00     977 A       308 A       228 A   
 130,00 keV   1,003E+00  3,756E+00    1055 A       329 A       243 A   
 140,00 keV   1,084E+00  3,701E+00    1132 A       349 A       259 A   
 150,00 keV   1,140E+00  3,647E+00    1209 A       369 A       274 A   
 160,00 keV   1,180E+00  3,594E+00    1286 A       388 A       289 A   
 170,00 keV   1,207E+00  3,542E+00    1364 A       408 A       304 A   
 180,00 keV   1,227E+00  3,492E+00    1442 A       428 A       319 A   
 200,00 keV   1,256E+00  3,395E+00    1602 A       467 A       349 A   
 225,00 keV   1,287E+00  3,281E+00    1806 A       516 A       387 A   
 250,00 keV   1,322E+00  3,175E+00    2014 A       565 A       424 A   
 275,00 keV   1,365E+00  3,076E+00    2225 A       614 A       462 A   
 300,00 keV   1,414E+00  2,983E+00    2440 A       663 A       500 A   
 325,00 keV   1,470E+00  2,897E+00    2658 A       711 A       538 A   
 350,00 keV   1,529E+00  2,817E+00    2877 A       758 A       577 A   
 375,00 keV   1,591E+00  2,741E+00    3098 A       805 A       616 A   
 400,00 keV   1,655E+00  2,670E+00    3320 A       851 A       654 A   
 450,00 keV   1,785E+00  2,541E+00    3766 A       940 A       732 A   
