 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Copper in  H- C- O.txt

 Ion = Copper [29] , Mass = 62,93 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   9,583E-01  5,825E+00    1044 A       208 A       172 A   
 110,00 keV   1,005E+00  5,734E+00    1142 A       225 A       186 A   
 120,00 keV   1,050E+00  5,643E+00    1241 A       241 A       200 A   
 130,00 keV   1,143E+00  5,554E+00    1341 A       258 A       214 A   
 140,00 keV   1,273E+00  5,466E+00    1440 A       274 A       228 A   
 150,00 keV   1,368E+00  5,380E+00    1539 A       289 A       241 A   
 160,00 keV   1,440E+00  5,296E+00    1638 A       305 A       255 A   
 170,00 keV   1,495E+00  5,214E+00    1737 A       320 A       269 A   
 180,00 keV   1,540E+00  5,135E+00    1837 A       335 A       282 A   
 200,00 keV   1,610E+00  4,984E+00    2040 A       366 A       309 A   
 225,00 keV   1,678E+00  4,807E+00    2297 A       404 A       343 A   
 250,00 keV   1,739E+00  4,643E+00    2559 A       442 A       376 A   
 275,00 keV   1,801E+00  4,492E+00    2826 A       479 A       410 A   
 300,00 keV   1,866E+00  4,351E+00    3096 A       516 A       444 A   
 325,00 keV   1,936E+00  4,221E+00    3370 A       552 A       478 A   
 350,00 keV   2,009E+00  4,099E+00    3646 A       588 A       512 A   
 375,00 keV   2,086E+00  3,985E+00    3925 A       624 A       546 A   
 400,00 keV   2,165E+00  3,878E+00    4206 A       659 A       580 A   
