 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Copper in Silicon.txt

 Ion = Copper [29] , Mass = 62,93 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   6,059E-01  4,330E+00     791 A       253 A       188 A   
 110,00 keV   6,355E-01  4,279E+00     864 A       274 A       203 A   
 120,00 keV   6,637E-01  4,227E+00     939 A       294 A       218 A   
 130,00 keV   7,374E-01  4,174E+00    1014 A       315 A       233 A   
 140,00 keV   8,539E-01  4,121E+00    1088 A       334 A       248 A   
 150,00 keV   9,439E-01  4,068E+00    1162 A       354 A       263 A   
 160,00 keV   1,013E+00  4,015E+00    1235 A       372 A       277 A   
 170,00 keV   1,067E+00  3,964E+00    1309 A       391 A       292 A   
 180,00 keV   1,110E+00  3,913E+00    1383 A       410 A       307 A   
 200,00 keV   1,170E+00  3,814E+00    1531 A       446 A       335 A   
 225,00 keV   1,223E+00  3,697E+00    1721 A       492 A       371 A   
 250,00 keV   1,265E+00  3,587E+00    1913 A       538 A       406 A   
 275,00 keV   1,306E+00  3,484E+00    2109 A       583 A       442 A   
 300,00 keV   1,349E+00  3,386E+00    2308 A       629 A       477 A   
 325,00 keV   1,394E+00  3,295E+00    2510 A       674 A       513 A   
 350,00 keV   1,442E+00  3,209E+00    2715 A       718 A       549 A   
 375,00 keV   1,492E+00  3,128E+00    2921 A       763 A       585 A   
 400,00 keV   1,545E+00  3,052E+00    3129 A       806 A       621 A   
 450,00 keV   1,656E+00  2,911E+00    3550 A       893 A       693 A   
