 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in  H- C- O.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,545E-01  1,581E+00     302 A       106 A        78 A   
  11,00 keV   5,816E-01  1,559E+00     330 A       114 A        84 A   
  12,00 keV   6,074E-01  1,536E+00     358 A       123 A        89 A   
  13,00 keV   6,322E-01  1,514E+00     385 A       131 A        95 A   
  14,00 keV   6,561E-01  1,492E+00     413 A       138 A       101 A   
  15,00 keV   6,791E-01  1,470E+00     441 A       146 A       107 A   
  16,00 keV   7,014E-01  1,449E+00     469 A       154 A       113 A   
  17,00 keV   7,230E-01  1,428E+00     497 A       161 A       118 A   
  18,00 keV   7,440E-01  1,408E+00     525 A       169 A       124 A   
  20,00 keV   7,842E-01  1,369E+00     582 A       184 A       135 A   
  22,50 keV   8,318E-01  1,323E+00     653 A       202 A       149 A   
  25,00 keV   8,768E-01  1,280E+00     725 A       219 A       163 A   
  27,50 keV   9,196E-01  1,240E+00     796 A       237 A       177 A   
  30,00 keV   9,605E-01  1,203E+00     868 A       253 A       190 A   
  32,50 keV   9,997E-01  1,169E+00     940 A       269 A       204 A   
  35,00 keV   1,037E+00  1,136E+00    1013 A       285 A       217 A   
  37,50 keV   1,074E+00  1,106E+00    1085 A       301 A       230 A   
  40,00 keV   1,160E+00  1,077E+00    1157 A       315 A       243 A   
  45,00 keV   1,289E+00  1,025E+00    1296 A       343 A       269 A   
