 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in Silicon.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,164E+00  4,908E-01    2188 A       744 A       610 A   
 110,00 keV   1,205E+00  4,681E-01    2406 A       793 A       656 A   
 120,00 keV   1,251E+00  4,477E-01    2622 A       840 A       701 A   
 130,00 keV   1,300E+00  4,293E-01    2836 A       884 A       745 A   
 140,00 keV   1,352E+00  4,126E-01    3048 A       925 A       788 A   
 150,00 keV   1,406E+00  3,973E-01    3256 A       964 A       830 A   
 160,00 keV   1,461E+00  3,833E-01    3461 A      1001 A       871 A   
 170,00 keV   1,517E+00  3,705E-01    3662 A      1036 A       910 A   
 180,00 keV   1,573E+00  3,586E-01    3860 A      1069 A       948 A   
 200,00 keV   1,685E+00  3,372E-01    4245 A      1130 A      1020 A   
 225,00 keV   1,823E+00  3,144E-01    4706 A      1198 A      1103 A   
 250,00 keV   1,957E+00  2,948E-01    5147 A      1257 A      1180 A   
 275,00 keV   2,088E+00  2,779E-01    5569 A      1310 A      1250 A   
 300,00 keV   2,214E+00  2,630E-01    5975 A      1357 A      1314 A   
 325,00 keV   2,336E+00  2,499E-01    6365 A      1399 A      1374 A   
 350,00 keV   2,453E+00  2,382E-01    6741 A      1437 A      1429 A   
 375,00 keV   2,568E+00  2,277E-01    7105 A      1472 A      1481 A   
 400,00 keV   2,678E+00  2,182E-01    7457 A      1504 A      1529 A   
