 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Gallium in  H- C- O.txt

 Ion = Gallium [31] , Mass = 68,93 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,457E+00  6,391E+00     952 A       181 A       152 A   
 110,00 keV   1,528E+00  6,309E+00    1037 A       195 A       164 A   
 120,00 keV   1,596E+00  6,226E+00    1122 A       208 A       176 A   
 130,00 keV   1,661E+00  6,142E+00    1208 A       221 A       187 A   
 140,00 keV   1,732E+00  6,058E+00    1294 A       234 A       198 A   
 150,00 keV   1,817E+00  5,976E+00    1380 A       247 A       210 A   
 160,00 keV   1,887E+00  5,894E+00    1466 A       260 A       221 A   
 170,00 keV   1,946E+00  5,814E+00    1553 A       273 A       232 A   
 180,00 keV   1,998E+00  5,736E+00    1640 A       285 A       243 A   
 200,00 keV   2,091E+00  5,585E+00    1815 A       310 A       266 A   
 225,00 keV   2,199E+00  5,406E+00    2036 A       342 A       293 A   
 250,00 keV   2,306E+00  5,239E+00    2260 A       372 A       321 A   
 275,00 keV   2,414E+00  5,083E+00    2485 A       402 A       348 A   
 300,00 keV   2,525E+00  4,936E+00    2712 A       431 A       375 A   
 325,00 keV   2,637E+00  4,799E+00    2941 A       460 A       402 A   
 350,00 keV   2,750E+00  4,670E+00    3170 A       488 A       429 A   
 375,00 keV   2,863E+00  4,549E+00    3400 A       516 A       456 A   
 400,00 keV   2,975E+00  4,435E+00    3631 A       543 A       483 A   
