 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Gallium in Silicon.txt

 Ion = Gallium [31] , Mass = 68,93 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   9,213E-01  4,784E+00     722 A       220 A       168 A   
 110,00 keV   9,662E-01  4,740E+00     787 A       237 A       180 A   
 120,00 keV   1,009E+00  4,693E+00     851 A       254 A       193 A   
 130,00 keV   1,050E+00  4,644E+00     916 A       270 A       205 A   
 140,00 keV   1,106E+00  4,594E+00     982 A       287 A       218 A   
 150,00 keV   1,207E+00  4,544E+00    1047 A       303 A       230 A   
 160,00 keV   1,289E+00  4,493E+00    1112 A       319 A       243 A   
 170,00 keV   1,358E+00  4,443E+00    1176 A       335 A       255 A   
 180,00 keV   1,416E+00  4,393E+00    1241 A       350 A       267 A   
 200,00 keV   1,509E+00  4,295E+00    1371 A       381 A       291 A   
 225,00 keV   1,601E+00  4,177E+00    1534 A       418 A       321 A   
 250,00 keV   1,680E+00  4,065E+00    1699 A       455 A       350 A   
 275,00 keV   1,756E+00  3,958E+00    1865 A       492 A       379 A   
 300,00 keV   1,831E+00  3,857E+00    2033 A       528 A       408 A   
 325,00 keV   1,906E+00  3,761E+00    2203 A       563 A       437 A   
 350,00 keV   1,981E+00  3,670E+00    2373 A       598 A       466 A   
 375,00 keV   2,057E+00  3,584E+00    2544 A       632 A       495 A   
 400,00 keV   2,131E+00  3,503E+00    2716 A       666 A       523 A   
 450,00 keV   2,278E+00  3,352E+00    3061 A       732 A       580 A   
