 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Germanium in  H- C- O.txt

 Ion = Germanium [32] , Mass = 73,92 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,179E+00  6,708E+00     952 A       178 A       151 A   
 110,00 keV   1,237E+00  6,634E+00    1036 A       192 A       162 A   
 120,00 keV   1,292E+00  6,557E+00    1122 A       205 A       174 A   
 130,00 keV   1,344E+00  6,478E+00    1207 A       218 A       185 A   
 140,00 keV   1,395E+00  6,399E+00    1293 A       231 A       197 A   
 150,00 keV   1,426E+00  6,320E+00    1379 A       245 A       208 A   
 160,00 keV   1,405E+00  6,242E+00    1467 A       258 A       219 A   
 170,00 keV   1,402E+00  6,164E+00    1555 A       271 A       231 A   
 180,00 keV   1,413E+00  6,088E+00    1645 A       284 A       242 A   
 200,00 keV   1,462E+00  5,940E+00    1826 A       310 A       265 A   
 225,00 keV   1,551E+00  5,763E+00    2056 A       343 A       293 A   
 250,00 keV   1,655E+00  5,596E+00    2288 A       376 A       322 A   
 275,00 keV   1,764E+00  5,439E+00    2523 A       408 A       351 A   
 300,00 keV   1,872E+00  5,291E+00    2759 A       439 A       380 A   
 325,00 keV   1,975E+00  5,151E+00    2997 A       470 A       408 A   
 350,00 keV   2,074E+00  5,020E+00    3237 A       501 A       437 A   
 375,00 keV   2,166E+00  4,896E+00    3477 A       531 A       465 A   
 400,00 keV   2,252E+00  4,779E+00    3720 A       560 A       494 A   
