 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Germanium in Silicon.txt

 Ion = Germanium [32] , Mass = 73,92 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   7,455E-01  5,051E+00     716 A       215 A       164 A   
 110,00 keV   7,819E-01  5,012E+00     780 A       231 A       177 A   
 120,00 keV   8,166E-01  4,970E+00     844 A       248 A       189 A   
 130,00 keV   8,500E-01  4,925E+00     909 A       264 A       202 A   
 140,00 keV   8,821E-01  4,878E+00     973 A       280 A       214 A   
 150,00 keV   9,101E-01  4,830E+00    1038 A       297 A       226 A   
 160,00 keV   9,302E-01  4,782E+00    1104 A       313 A       238 A   
 170,00 keV   9,547E-01  4,733E+00    1169 A       329 A       250 A   
 180,00 keV   9,823E-01  4,685E+00    1236 A       345 A       262 A   
 200,00 keV   1,043E+00  4,588E+00    1369 A       377 A       287 A   
 225,00 keV   1,125E+00  4,472E+00    1538 A       417 A       317 A   
 250,00 keV   1,206E+00  4,359E+00    1708 A       456 A       347 A   
 275,00 keV   1,285E+00  4,252E+00    1880 A       495 A       377 A   
 300,00 keV   1,361E+00  4,149E+00    2053 A       533 A       407 A   
 325,00 keV   1,432E+00  4,052E+00    2228 A       570 A       438 A   
 350,00 keV   1,499E+00  3,959E+00    2404 A       607 A       468 A   
 375,00 keV   1,561E+00  3,871E+00    2581 A       644 A       498 A   
 400,00 keV   1,618E+00  3,787E+00    2759 A       680 A       528 A   
 450,00 keV   1,720E+00  3,630E+00    3120 A       753 A       588 A   
