 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> settembre 23, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Heptane.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  6,8576E-01 g/cm3 = 9,4799E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    030,43    083,90   
      H      1    069,57    016,10   
 ====================================
 Bragg Correction = -1,17%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,360E-01  1,058E-02    2555 A       499 A       549 A   
  11,00 keV   7,677E-01  9,870E-03    2736 A       510 A       569 A   
  12,00 keV   7,973E-01  9,259E-03    2911 A       521 A       586 A   
  13,00 keV   8,251E-01  8,726E-03    3081 A       531 A       603 A   
  14,00 keV   8,512E-01  8,258E-03    3246 A       539 A       618 A   
  15,00 keV   8,758E-01  7,842E-03    3407 A       547 A       632 A   
  16,00 keV   8,989E-01  7,470E-03    3564 A       554 A       646 A   
  17,00 keV   9,208E-01  7,135E-03    3717 A       561 A       658 A   
  18,00 keV   9,414E-01  6,832E-03    3868 A       567 A       670 A   
  20,00 keV   9,794E-01  6,304E-03    4160 A       580 A       692 A   
  22,50 keV   1,021E+00  5,758E-03    4513 A       593 A       717 A   
  25,00 keV   1,058E+00  5,306E-03    4853 A       605 A       739 A   
  27,50 keV   1,090E+00  4,926E-03    5184 A       616 A       759 A   
  30,00 keV   1,118E+00  4,601E-03    5506 A       626 A       778 A   
  32,50 keV   1,142E+00  4,320E-03    5822 A       635 A       795 A   
  35,00 keV   1,164E+00  4,074E-03    6132 A       643 A       812 A   
  37,50 keV   1,182E+00  3,857E-03    6437 A       651 A       827 A   
  40,00 keV   1,198E+00  3,664E-03    6738 A       658 A       841 A   
