 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Iron in  H- C- O.txt

 Ion = Iron [26] , Mass = 55,935 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,451E+00  4,998E+00    1091 A       220 A       181 A   
 110,00 keV   1,522E+00  4,899E+00    1194 A       237 A       195 A   
 120,00 keV   1,654E+00  4,803E+00    1297 A       254 A       210 A   
 130,00 keV   1,763E+00  4,710E+00    1400 A       270 A       224 A   
 140,00 keV   1,842E+00  4,620E+00    1503 A       287 A       238 A   
 150,00 keV   1,902E+00  4,533E+00    1607 A       303 A       253 A   
 160,00 keV   1,950E+00  4,450E+00    1711 A       318 A       267 A   
 170,00 keV   1,988E+00  4,369E+00    1816 A       334 A       281 A   
 180,00 keV   2,021E+00  4,292E+00    1922 A       350 A       295 A   
 200,00 keV   2,076E+00  4,146E+00    2137 A       381 A       322 A   
 225,00 keV   2,136E+00  3,979E+00    2410 A       420 A       357 A   
 250,00 keV   2,194E+00  3,826E+00    2688 A       459 A       392 A   
 275,00 keV   2,253E+00  3,686E+00    2971 A       497 A       427 A   
 300,00 keV   2,316E+00  3,558E+00    3258 A       535 A       462 A   
 325,00 keV   2,382E+00  3,440E+00    3549 A       572 A       498 A   
 350,00 keV   2,451E+00  3,331E+00    3842 A       608 A       533 A   
 375,00 keV   2,521E+00  3,229E+00    4137 A       644 A       568 A   
 400,00 keV   2,594E+00  3,135E+00    4434 A       679 A       603 A   
