 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Iron in Silicon.txt

 Ion = Iron [26] , Mass = 55,935 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   9,176E-01  3,687E+00     838 A       272 A       201 A   
 110,00 keV   9,624E-01  3,630E+00     917 A       294 A       217 A   
 120,00 keV   1,090E+00  3,573E+00     995 A       316 A       233 A   
 130,00 keV   1,205E+00  3,517E+00    1073 A       336 A       249 A   
 140,00 keV   1,291E+00  3,462E+00    1151 A       356 A       265 A   
 150,00 keV   1,356E+00  3,408E+00    1228 A       376 A       280 A   
 160,00 keV   1,404E+00  3,355E+00    1306 A       395 A       296 A   
 170,00 keV   1,442E+00  3,303E+00    1384 A       415 A       311 A   
 180,00 keV   1,470E+00  3,253E+00    1462 A       434 A       326 A   
 200,00 keV   1,513E+00  3,158E+00    1621 A       472 A       356 A   
 225,00 keV   1,553E+00  3,046E+00    1824 A       520 A       394 A   
 250,00 keV   1,589E+00  2,943E+00    2031 A       568 A       431 A   
 275,00 keV   1,626E+00  2,847E+00    2242 A       615 A       468 A   
 300,00 keV   1,665E+00  2,758E+00    2456 A       663 A       505 A   
 325,00 keV   1,706E+00  2,675E+00    2673 A       709 A       543 A   
 350,00 keV   1,750E+00  2,598E+00    2892 A       756 A       581 A   
 375,00 keV   1,796E+00  2,526E+00    3114 A       801 A       619 A   
 400,00 keV   1,843E+00  2,458E+00    3338 A       846 A       657 A   
 450,00 keV   1,944E+00  2,335E+00    3788 A       935 A       733 A   
