 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C- O.txt

 Ion = Krypton [36] , Mass = 83,912 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   2,052E+00  7,704E+00     830 A       146 A       126 A   
 110,00 keV   2,152E+00  7,652E+00     899 A       156 A       135 A   
 120,00 keV   2,248E+00  7,594E+00     967 A       166 A       143 A   
 130,00 keV   2,340E+00  7,532E+00    1036 A       176 A       152 A   
 140,00 keV   2,428E+00  7,466E+00    1104 A       185 A       161 A   
 150,00 keV   2,513E+00  7,398E+00    1172 A       195 A       169 A   
 160,00 keV   2,596E+00  7,329E+00    1241 A       204 A       178 A   
 170,00 keV   2,591E+00  7,260E+00    1309 A       213 A       186 A   
 180,00 keV   2,336E+00  7,190E+00    1379 A       223 A       194 A   
 200,00 keV   2,039E+00  7,051E+00    1525 A       243 A       211 A   
 225,00 keV   1,905E+00  6,881E+00    1716 A       269 A       233 A   
 250,00 keV   1,912E+00  6,716E+00    1911 A       295 A       255 A   
 275,00 keV   1,991E+00  6,558E+00    2110 A       321 A       278 A   
 300,00 keV   2,105E+00  6,407E+00    2310 A       347 A       300 A   
 325,00 keV   2,233E+00  6,262E+00    2511 A       372 A       323 A   
 350,00 keV   2,365E+00  6,124E+00    2713 A       397 A       346 A   
 375,00 keV   2,494E+00  5,993E+00    2914 A       422 A       368 A   
 400,00 keV   2,618E+00  5,867E+00    3116 A       445 A       391 A   
