 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- C- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   3,942E-01  2,299E+00     251 A        86 A        64 A   
  11,00 keV   4,135E-01  2,286E+00     273 A        92 A        69 A   
  12,00 keV   4,319E-01  2,271E+00     295 A        99 A        73 A   
  13,00 keV   4,495E-01  2,255E+00     317 A       105 A        78 A   
  14,00 keV   4,665E-01  2,238E+00     340 A       112 A        82 A   
  15,00 keV   4,828E-01  2,220E+00     362 A       118 A        87 A   
  16,00 keV   4,987E-01  2,201E+00     384 A       124 A        92 A   
  17,00 keV   5,140E-01  2,182E+00     407 A       131 A        96 A   
  18,00 keV   5,289E-01  2,163E+00     429 A       137 A       101 A   
  20,00 keV   5,575E-01  2,125E+00     474 A       149 A       110 A   
  22,50 keV   5,914E-01  2,077E+00     531 A       165 A       121 A   
  25,00 keV   6,234E-01  2,030E+00     589 A       180 A       132 A   
  27,50 keV   6,538E-01  1,985E+00     647 A       195 A       143 A   
  30,00 keV   6,829E-01  1,942E+00     706 A       210 A       154 A   
  32,50 keV   7,107E-01  1,900E+00     765 A       224 A       165 A   
  35,00 keV   7,376E-01  1,860E+00     825 A       239 A       176 A   
  37,50 keV   7,635E-01  1,822E+00     885 A       253 A       187 A   
  40,00 keV   7,885E-01  1,785E+00     946 A       268 A       198 A   
  45,00 keV   8,363E-01  1,717E+00    1069 A       296 A       220 A   
