 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in Silicon.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   9,170E-01  8,760E-01    1885 A       707 A       537 A   
 110,00 keV   9,467E-01  8,411E-01    2080 A       762 A       583 A   
 120,00 keV   9,756E-01  8,093E-01    2276 A       815 A       629 A   
 130,00 keV   1,005E+00  7,802E-01    2475 A       867 A       674 A   
 140,00 keV   1,034E+00  7,535E-01    2674 A       918 A       719 A   
 150,00 keV   1,064E+00  7,288E-01    2874 A       968 A       764 A   
 160,00 keV   1,095E+00  7,060E-01    3075 A      1016 A       808 A   
 170,00 keV   1,126E+00  6,848E-01    3275 A      1062 A       852 A   
 180,00 keV   1,159E+00  6,651E-01    3475 A      1108 A       896 A   
 200,00 keV   1,226E+00  6,294E-01    3873 A      1195 A       981 A   
 225,00 keV   1,313E+00  5,906E-01    4364 A      1296 A      1085 A   
 250,00 keV   1,405E+00  5,570E-01    4846 A      1389 A      1184 A   
 275,00 keV   1,499E+00  5,275E-01    5316 A      1474 A      1280 A   
 300,00 keV   1,595E+00  5,015E-01    5774 A      1553 A      1370 A   
 325,00 keV   1,693E+00  4,783E-01    6220 A      1625 A      1456 A   
 350,00 keV   1,792E+00  4,575E-01    6653 A      1691 A      1537 A   
 375,00 keV   1,892E+00  4,386E-01    7072 A      1752 A      1614 A   
 400,00 keV   1,992E+00  4,215E-01    7480 A      1808 A      1687 A   
