 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Manganese in  H- C- O.txt

 Ion = Manganese [25] , Mass = 54,94 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,366E+00  4,758E+00    1135 A       229 A       188 A   
 110,00 keV   1,433E+00  4,659E+00    1243 A       248 A       204 A   
 120,00 keV   1,545E+00  4,563E+00    1352 A       266 A       219 A   
 130,00 keV   1,631E+00  4,470E+00    1461 A       283 A       234 A   
 140,00 keV   1,702E+00  4,381E+00    1571 A       301 A       249 A   
 150,00 keV   1,762E+00  4,295E+00    1681 A       318 A       264 A   
 160,00 keV   1,815E+00  4,212E+00    1792 A       335 A       279 A   
 170,00 keV   1,863E+00  4,133E+00    1903 A       351 A       294 A   
 180,00 keV   1,908E+00  4,058E+00    2015 A       368 A       309 A   
 200,00 keV   1,992E+00  3,915E+00    2242 A       401 A       339 A   
 225,00 keV   2,090E+00  3,752E+00    2528 A       442 A       376 A   
 250,00 keV   2,186E+00  3,604E+00    2819 A       482 A       413 A   
 275,00 keV   2,280E+00  3,468E+00    3112 A       521 A       449 A   
 300,00 keV   2,374E+00  3,345E+00    3408 A       559 A       486 A   
 325,00 keV   2,468E+00  3,231E+00    3705 A       597 A       522 A   
 350,00 keV   2,561E+00  3,126E+00    4004 A       633 A       559 A   
 375,00 keV   2,653E+00  3,028E+00    4303 A       668 A       595 A   
 400,00 keV   2,744E+00  2,938E+00    4603 A       703 A       630 A   
