 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Manganese in Silicon.txt

 Ion = Manganese [25] , Mass = 54,94 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,634E-01  3,510E+00     872 A       285 A       209 A   
 110,00 keV   9,066E-01  3,452E+00     955 A       308 A       226 A   
 120,00 keV   1,027E+00  3,394E+00    1038 A       331 A       243 A   
 130,00 keV   1,123E+00  3,338E+00    1120 A       352 A       260 A   
 140,00 keV   1,199E+00  3,283E+00    1202 A       374 A       277 A   
 150,00 keV   1,260E+00  3,229E+00    1284 A       395 A       293 A   
 160,00 keV   1,310E+00  3,176E+00    1366 A       416 A       309 A   
 170,00 keV   1,352E+00  3,125E+00    1449 A       436 A       326 A   
 180,00 keV   1,389E+00  3,076E+00    1532 A       457 A       342 A   
 200,00 keV   1,451E+00  2,982E+00    1700 A       497 A       374 A   
 225,00 keV   1,519E+00  2,873E+00    1912 A       547 A       414 A   
 250,00 keV   1,582E+00  2,772E+00    2128 A       597 A       453 A   
 275,00 keV   1,644E+00  2,679E+00    2346 A       645 A       492 A   
 300,00 keV   1,705E+00  2,593E+00    2567 A       693 A       532 A   
 325,00 keV   1,766E+00  2,513E+00    2790 A       740 A       571 A   
 350,00 keV   1,827E+00  2,439E+00    3014 A       786 A       610 A   
 375,00 keV   1,888E+00  2,370E+00    3239 A       831 A       649 A   
 400,00 keV   1,949E+00  2,305E+00    3466 A       876 A       688 A   
 450,00 keV   2,072E+00  2,187E+00    3920 A       962 A       766 A   
