 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Silicon.txt

 Ion = Molybdenum [42] , Mass = 97,905 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   7,958E-01  6,960E+00     595 A       163 A       130 A   
 110,00 keV   8,346E-01  6,967E+00     643 A       174 A       139 A   
 120,00 keV   8,718E-01  6,963E+00     691 A       185 A       148 A   
 130,00 keV   9,074E-01  6,953E+00     740 A       197 A       157 A   
 140,00 keV   9,416E-01  6,936E+00     788 A       208 A       165 A   
 150,00 keV   9,747E-01  6,914E+00     836 A       219 A       174 A   
 160,00 keV   1,007E+00  6,889E+00     884 A       230 A       183 A   
 170,00 keV   1,038E+00  6,860E+00     932 A       240 A       191 A   
 180,00 keV   1,068E+00  6,829E+00     981 A       251 A       200 A   
 200,00 keV   1,169E+00  6,761E+00    1077 A       273 A       217 A   
 225,00 keV   1,423E+00  6,669E+00    1197 A       298 A       238 A   
 250,00 keV   1,580E+00  6,573E+00    1316 A       323 A       258 A   
 275,00 keV   1,678E+00  6,475E+00    1434 A       348 A       278 A   
 300,00 keV   1,744E+00  6,376E+00    1553 A       372 A       298 A   
 325,00 keV   1,792E+00  6,279E+00    1673 A       396 A       318 A   
 350,00 keV   1,834E+00  6,183E+00    1794 A       420 A       337 A   
 375,00 keV   1,874E+00  6,089E+00    1916 A       444 A       357 A   
 400,00 keV   1,916E+00  5,996E+00    2039 A       468 A       376 A   
 450,00 keV   2,007E+00  5,819E+00    2288 A       515 A       415 A   
